key,text
MID_GR_Alfred_A_#001,"[阿尔弗雷德] 1 
[贝雷特] 2 
[贝雷特] 
阿尔弗雷德？ 
我看你似乎有什么话想说……怎么了吗？"
MID_GR_Alfred_A_#002,"[阿尔弗雷德] 
看来你是天生不容易长肌肉的体质…… 
你也是遗传的吗？"
MID_GR_Alfred_A_#003,"[贝雷特] 
不，我的父亲挺壮硕的……"
MID_GR_Alfred_A_#004,"[阿尔弗雷德] 
什么？！也就是说，你以后也会……？！ 
好羡慕啊……以后你变壮了一定要跟我说啊。"
MID_GR_Alfred_B_#001,"[阿尔弗雷德] 1 
[贝雷特] 2 
[阿尔弗雷德] 
呼！喝！哈──！喝！ 
好……今天差不多就练到这里吧。"
MID_GR_Alfred_B_#002,"[贝雷特] 
居然锻炼了一整天…… 
你的体力还真好。"
MID_GR_Alfred_C_#001,"[阿尔弗雷德] 1 
[贝雷特] 2 
[阿尔弗雷德] 
为了保卫国家，我坚持每日训练，从未懈怠。 
但真到了不得不挥剑之时，总觉得心情复杂。"
MID_GR_Alfred_C_#002,"[贝雷特] 
我们一起努力结束这场战争， 
让这世界的人们再也无需挥剑吧。"
MID_GR_Anna_A_#001,"[安娜] 1 
[贝雷特] 2 
[安娜] 
贝雷特， 
你会想看到什么样的商品呢？"
MID_GR_Anna_A_#002,"[贝雷特] 
我以前常在休假时去钓鱼， 
所以看到钓鱼用品我应该会高兴吧。"
MID_GR_Anna_A_#003,"[安娜] 
真是个好主意！谢谢你！ 
但可惜你没法用……"
MID_GR_Anna_A_#004,"[贝雷特] 
你不用在意我。 
能让更多人了解到钓鱼的魅力，我就很高兴了。"
MID_GR_Anna_B_#001,"[安娜] 1 
[贝雷特] 2 
[安娜] 
贝雷特，我问你哦～ 
你觉得要怎样才能卖出更多商品呢？"
MID_GR_Anna_B_#002,"[贝雷特] 
这个嘛……设置一些限量商品如何？ 
说不定能刺激大家的购买欲。"
MID_GR_Anna_C_#001,"[安娜] 1 
[贝雷特] 2 
[安娜] 
嗯？贝雷特？ 
你有什么事吗？"
MID_GR_Anna_C_#002,"[贝雷特] 
不好意思， 
只是觉得你很面熟……"
MID_GR_Bonet_A_#001,"[波聂] 1 
[贝雷特] 2 
[波聂] 
多亏有你，我才能完成这些料理。 
大家也都吃得很开心的样子，谢谢你。"
MID_GR_Bonet_A_#002,"[贝雷特] 
是吗？能帮上忙真是太好了。"
MID_GR_Bonet_A_#003,"[波聂] 
但是……我还没满足…… 
再教我……再教我做更多你所知道的料理吧！"
MID_GR_Bonet_A_#004,"[贝雷特] 
你这是欲罢不能了吗…… 
那我就奉陪到底吧。"
MID_GR_Bonet_B_#001,"[波聂] 1 
[贝雷特] 2 
[波聂] 
我听说你厨艺不错…… 
能不能教我做你们世界的料理呢？"
MID_GR_Bonet_B_#002,"[贝雷特] 
当然没问题， 
只是不知道这里有没有那些食材……"
MID_GR_Bonet_C_#001,"[波聂] 1 
[贝雷特] 2 
[波聂] 
你那个世界的学生食堂会出现什么样的料理呢…… 
光想象就让人兴奋啊……"
MID_GR_Bonet_C_#002,"[贝雷特] 
抱歉泼你冷水， 
我认为并没有什么特别的料理。"
MID_GR_Boucheron_A_#001,"[布修隆] 1 
[贝雷特] 2 
[贝雷特] 
布修隆你也会钓鱼啊。 
钓鱼……真是令人怀念……"
MID_GR_Boucheron_A_#002,"[布修隆] 
你也喜欢钓鱼吗？！ 
那正好，下次陪我一起钓吧。"
MID_GR_Boucheron_A_#003,"[布修隆] 
啊……但你只能旁观吧，这样会不会无聊？"
MID_GR_Boucheron_A_#004,"[贝雷特] 
不会，我很期待。"
MID_GR_Boucheron_B_#001,"[布修隆] 1 
[贝雷特] 2 
[贝雷特] 
你流了好多汗，是刚锻炼结束吗？ 
还真是勤奋啊。"
MID_GR_Boucheron_B_#002,"[布修隆] 
不，我是迷路了…… 
一整晚都在找路回来……"
MID_GR_Boucheron_C_#001,"[布修隆] 1 
[贝雷特] 2 
[贝雷特] 
布修隆，原来你在这里。 
阿尔弗雷德在那边找你哦。"
MID_GR_Boucheron_C_#002,"[布修隆] 
谢谢。 
啊……等一下贝雷特！那边是哪边？"
MID_GR_Celine_A_#001,"[锡莉奴] 1 
[贝雷特] 2 

[锡莉奴] 
贝雷特，你看！ 
我一直想送你这个！"
MID_GR_Celine_A_#002,"[贝雷特] 
花？ 
为什么要送我花？"
MID_GR_Celine_A_#003,"[锡莉奴] 
你连喜欢的红茶都喝不了，一定很难受吧？ 
所以我想让你看看芍药，心情也许会好些。"
MID_GR_Celine_A_#004,"[贝雷特] 
这花真漂亮…… 
锡莉奴，谢谢你的关心，我很高兴。"
MID_GR_Celine_B_#001,"[锡莉奴] 1 
[贝雷特] 2 
[贝雷特] 
锡莉奴，你心情似乎不错， 
什么事让你这么开心？"
MID_GR_Celine_B_#002,"[锡莉奴] 
是这样的，平时总是停在窗上看着我的小鸟， 
刚刚飞到我肩膀上来了，我好高兴啊！"
MID_GR_Celine_C_#001,"[锡莉奴] 1 
[贝雷特] 2 

[锡莉奴] 
我听说你以前经常办茶会， 
你在茶会上都聊过什么话题呢？"
