key,text
MID_KR_Alfred_M003,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] 
Angry 
[阿尔弗雷德] EmoTalk 
神龙大人……今后我将成为你的力量。 
我愿成为你的剑与盾……甚至是长伴身旁的鲜花。"
MID_KR_Alfred_M004,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] Strike 
[阿尔弗雷德] EmoTalk 
虽然成功与锡莉奴会合，但城内的状况令人担忧…… 
神龙大人，巡视完这附近就赶紧出发吧。"
MID_KR_Alfred_M005,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] 
Smile 
[阿尔弗雷德] EmoTalk 
谢谢你救了费列聂，这份恩情我此生必报。 
就从带你去祠堂开始吧。"
MID_KR_Alfred_M006,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] Sad 
[阿尔弗雷德] EmoTalk 
袭击村子的盗贼固然可恶， 
但我身为王族……本应事先做好预防措施的。"
MID_KR_Alfred_M015,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] 
Angry 
[阿尔弗雷德] EmoTalk 
没事吗……？冷静下来前先待在这里吧。 
不过……那家伙的样子好像哪里怪怪的。"
MID_KR_Alfred_M016,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] 
Angry 
[阿尔弗雷德] EmoTalk 
费列聂王国没事吧…… 
伊尔席翁……不，邪龙到底在盘算些什么？"
MID_KR_Alfred_M020,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] 
Smile 
[阿尔弗雷德] EmoTalk 
我需要你。希望你能留在我身边…… 
就算你选择离去……我也会追上去并再次牵起你的手。"
MID_KR_Alfred_M024,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
[阿尔弗雷德] 
Smile 
[阿尔弗雷德] EmoTalk 
千年前的你，是否也曾与我们相遇？ 
这让我不禁期盼起幸福的未来呢。"
MID_KR_Anna_S002,"[安娜] 2 
[安娜] 
[安娜] 
Smile 
[安娜] EmoTalk 
谢谢你，神龙大人。我好高兴能加入你们啊！ 
一个人还真是有点孤单呢。"
MID_KR_Bonet_M012,"[波聂] 2 
[波聂] 
[波聂] 
Smile 
[波聂] EmoTalk 
感谢您助自卫团一臂之力， 
让我们一起品尝胜利的滋味吧……"
MID_KR_Boucheron_M003,"[布修隆] 2 

[布修隆] 

[布修隆] Sad 

[布修隆] EmoTalk 
唉……琉弥艾尔大人。此事公诸于世后， 
费列聂国民不知道会留下多少泪水……"
MID_KR_Boucheron_M017,"[布修隆] 2 

[布修隆] 

[布修隆] Sad 

[布修隆] EmoTalk 
看到这样的惨况，我快要哭了……不过，村民才更想哭吧。 
为了让村子早日恢复原状，我会竭尽所能帮助大家。"
MID_KR_Byleth_S006,"[贝雷特] 2 
[贝雷特] 
[贝雷特] 
Smile 
[贝雷特] EmoTalk 
真是出色的指挥，团队的配合度也相当高。 
这次战斗让我获益良多。"
MID_KR_Celica_S013,"[赛莉卡] 2 
[赛莉卡] 
[赛莉卡] 
Smile 
[赛莉卡] EmoTalk 
我输了。不过，真是一场精彩的战斗。 
今后也让我们同心协力，一起加油吧！"
