key,text
MID_BT10_#001,"[莫布] b 
[莫布] 
Angry 
[莫布] 
只要是为了贝珥大人…… 
我……"
MID_BT11_#001,"[莫布] b 
[莫布] Pain 
[莫布] 
怎么做……才是正确的……"
MID_BT12_#001,"$ [异形兵] [海亚信斯] b 
, [异形兵] [海亚信斯] 
Smile 
[异形兵] [海亚信斯] 
……是艾比吗？"
MID_BT12_#002,"[艾比] t 
[艾比] Pain 

[艾比] 
父王……好久不见了， 
上次见面是在靠近布罗帝亚的国境那次吧……"
MID_BT12_#003,"想不到…… 
那竟成了我们最后的诀别……"
MID_BT12_#004,"[异形兵] [海亚信斯] 
我的女儿啊，要是你能像当时一样乖乖臣服…… 
我就会请尚卜尔大人让你加入我们。"
MID_BT12_#005,"[艾比] 
Angry 

[艾比] 
不，您只是一时的幻象…… 
我不打算臣服，也不想为您流泪……"
MID_BT12_#006,"[艾比] Die 
不过……我还是很感谢这一切， 
让我有机会告诉您那些我来不及说的话……"
MID_BT12_#007,"[艾比] Sad 
谢谢您……还有永别了，父王， 
我将来……"
MID_BT12_#008,"[艾比] StandBy 
一定会成为超越您的王者……"
MID_BT13_#001,"$ [异形兵] [海亚信斯] b 
, [异形兵] [海亚信斯] 
Smile 
[异形兵] [海亚信斯] 
是奥尔坦希亚啊……"
MID_BT13_#002,"[奥尔坦希亚] t 
[奥尔坦希亚] Sad 
[奥尔坦希亚] 
父王……！ 
人家好想您……一直很思念您啊。"
MID_BT13_#003,"父王去世后， 
人家真的好难过……！"
MID_BT13_#004,"[异形兵] [海亚信斯] 
我可爱的女儿啊，那你现在就听从我的命令， 
杀了你的伙伴，把戒指全都抢过来。"
MID_BT13_#005,"[奥尔坦希亚] 
……对不起，人家做不到， 
生前的父王……不对……"
MID_BT13_#006,"[奥尔坦希亚] Strike 
尚未受到邪龙洗脑的伊尔席翁王如此贤明， 
人家绝不会让他蒙羞的！"
MID_BT13_#007,". [异形兵] [海亚信斯] Strike 
[异形兵] [海亚信斯] 
呜……！"
MID_BT13_#008,"[奥尔坦希亚] Sad 
[奥尔坦希亚] 
永别了，父王，其实人家现在也很痛苦， 
也很想多陪陪您，人家真的很爱您，所以……"
MID_BT13_#009,"……别再战斗了， 
请您安息吧……"
MID_BT14_#001,"$ [异形兵] [海亚信斯] b 
* [异形兵] [海亚信斯] Pain 
[异形兵] [海亚信斯] 
想不起任何事…… 
我很可怕……还是很可恨呢……？"
MID_BT15_#001,"$ [异形兵] [海亚信斯] b 
* [异形兵] [海亚信斯] Pain 
[异形兵] [海亚信斯] 
……这就是受邪龙蛊惑者的……下场吧…… 
要是我能早点……发现就好……"
MID_BT15_#002,"( [异形兵] [海亚信斯] Sad 
抱歉……艾比、奥尔坦希亚…… 
我真的……很爱你们……"
MID_BT15_#003,"* [异形兵] [海亚信斯] Pain 
今后……就交给你们了……一定…… 
要把……伊尔席翁……"
MID_BT1_#001,"[贝珥] b 
[贝珥] 
Smile 
[贝珥] 
呵呵……真高兴你能来。"
MID_BT1_#002,"你还喜欢眼前的景色吗？ 
火势蔓延的样子比原先还要美丽对吧？"
MID_BT1_#003,"我可是为了吸引你， 
才特地烧了这里的……"
MID_BT1_#004,"还做了你很害怕的异形兵…… 
不过他那样并不可怕吧？"
MID_BT1_#005,"[琉尔] t 
[琉尔] Pain 

[琉尔] 
你是说海亚信斯王吗……"
MID_BT1_#006,"[贝珥] 
是啊，希望你能喜欢， 
毕竟我们是朋友，得好好相处才行。"
MID_BT1_#007,"对了，你不是跟我绝交了吗？ 
想必另一个我非常受伤吧。"
MID_BT1_#008,"[琉尔] Sad 

[琉尔] 
…………"
MID_BT2_#001,"[贝珥] b 
[贝珥] 
Smile 
[贝珥] 
来了一个很棒的玩具呢， 
让我好好享受一下吧。"
MID_BT2_#002,""" [贝珥] Strike 
你有办法赢过我跟马尔斯吗？"
MID_BT3_#001,"[贝珥] b 
[贝珥] Pain 
[贝珥] 
我……竟然会……？ 
下次见面之时……我就先杀了你……"
MID_BT4_#001,"[赛皮雅] b 
[赛皮雅] Strike 
[赛皮雅] 
要是你的勇气能胜过我的骑士…… 
就尽管放马过来吧。"
MID_BT5_#001,"[赛皮雅] b 
[赛皮雅] Pain 
[赛皮雅] 
呜……！ 
有这种力量……居然还敌不过他们……！"
MID_BT6_#001,"[孤栗] b 
[孤栗] Status 
[孤栗] 
哈哈哈！这才叫战斗啊…… 
互相残杀，享受痛楚吧！"
