key,text
MID_ED1_#001,"[琉尔] 1 
[贝珥] 3 

[琉尔] 
成功显现所有纹章士， 
也解决了所有的敌人。"
MID_ED1_#002,"[贝珥] 
太好了……"
MID_ED1_#003,"[阿尔弗雷德] 2 
[阿尔弗雷德] 
两位，我真的很抱歉。"
MID_ED1_#004,"[琉尔] 
阿尔弗雷德？"
MID_ED1_#005,"[阿尔弗雷德] 
刚才你复活成异形兵时， 
我忍不住就起了疑心……"
MID_ED1_#006,"我以为这是尚卜尔的诡计， 
想让我们互相残杀。"
MID_ED1_#007,"不过……一起并肩作战后， 
我很确定你们是我们的伙伴。"
MID_ED1_#008,"[艾比] 4 

[艾比] 
不管你变成什么样子， 
只要你能回来就好……"
MID_ED1_#009,"[琉尔] 
谢谢你们相信我。"
MID_ED1_#010,"[阿尔弗雷德] 

[蜜丝提拉] 2 

[蜜丝提拉] 
这都多亏贝珥公主没有放弃， 
真是太感谢你了！"
MID_ED1_#011,"[艾比] 
[帝亚曼德] 4 
[帝亚曼德] 
你不仅战胜了自己， 
还把神龙大人给带了回来……"
MID_ED1_#012,若没有你，我们所有人应该早就命丧此处了。
MID_ED1_#013,"[贝珥] 
没、没什么……大家过奖了。"
MID_ED1_#014,"[帝亚曼德] 

[琉尔] 

[贝珥] 
[贝珥] 1 
[琉尔] 2 

[琉尔] 
太好了， 
这样又能跟大家一起……"
MID_ED1_#015,咦……？
MID_ED1_#016,"[贝珥] 
怎么了？"
MID_ED1_#017,"[琉尔] 
身体动不了了……"
MID_ED1_#018,"[贝珥] 
你的手……！！"
MID_ED1_#019,"[琉尔] 
正在消失……"
MID_ED1_#020,"[贝珥] 
怎么会这样？明明没有受到致命伤， 
应该不会这么快消失啊。"
MID_ED1_#021,"我已经注入身体所能承受的最大力量了， 
如果是那股力量用尽了……"
MID_ED1_#022,"那表示我注入的力量根本不够用来 
显现十二纹章士吗……？"
MID_ED1_#023,"[琉尔] 
原来…… 
我使用的力量这么强大啊……"
MID_ED1_#024,"[贝珥] 
没事的， 
我再重新注入一次力量……！"
MID_ED1_#025,冥界的守卫，再次为尸体……
MID_ED1_#026,"[琉尔] 
呜呜！！"
MID_ED1_#027,"[贝珥] 
无法容纳力量……！？ 
这代表身体已经承受不住了吗……？"
MID_ED1_#028,"[琉尔] 
谢谢你……贝珥， 
看来我只能走到这里了。"
MID_ED1_#029,"[贝珥] 
咦！"
MID_ED1_#030,"[琉尔] 
放心吧…… 
现在十二名纹章士都到齐了。"
MID_ED1_#031,"就算没有我…… 
大家一定也能阻止尚卜尔。"
MID_ED1_#032,"[贝珥] 
我不要这样，明明我们这么努力、 
明明你就说我们要一起实现梦想……！"
MID_ED1_#033,"[琉尔] 
对不起，又让你难过了。"
MID_ED1_#034,"但幸好我在最后关头帮上了忙， 
让大家逃过一劫……"
MID_ED1_#035,"不过……我真的好想跟大家 
并肩作战到最后一刻……"
MID_ED1_#036,"[贝珥] 
哥哥……！"
MID_ED1_#036_F,"[贝珥] 
姐姐……！"
MID_ED1_#037,"[琉尔] 
我好不容易才取回戒指， 
能跟大家携手奋战……"
MID_ED1_#038,真想亲自完成母亲托付给我的使命……
MID_ED1_#039,"亲眼见证…… 
这个世界恢复和平……！"
MID_ED1_#040,"[琉尔] 
……光？"
MID_ED1_#041,"[贝珥] 

不明 1 
不明 
……龙之子，你渴望力量吗？ 
渴望拥有与众人奋战到最后一刻的力量吗？"
MID_ED1_#042,"[琉尔] 
这个声音……是……马尔斯……？"
MID_ED2_#001,"[琉尔] 2 
[贝珥] 1 
[阿尔弗雷德] 3 
[阿尔弗雷德] 
这是十二戒指的力量……？"
MID_ED2_#002,"[贝珥] 
好漂亮……"
MID_ED2_#003,"[贝珥] 
[阿尔弗雷德] 

[琉尔] 
这是……"
MID_ED2_#004,"[琉弥艾尔] 1 

[琉弥艾尔] 
在你沉睡前……我们就已经约定好了。"
MID_ED2_#005,"我跟你约好要在你生日时 
送你很棒的礼物。"
MID_ED2_#006,"我一直想…… 
在你生日时拿给你。"
MID_ED2_#007,生日快乐， 。
MID_ED2_#008,"[琉弥艾尔] 

[琉尔] 
……为什么这个戒指会……"
MID_ED2_#009,"[马尔斯] 1 
[马尔斯] 
它已经成为你的纹章士戒指了， 
。"
MID_ED2_#010,"[琉尔] 
马尔斯！ 
你的样子……！"
MID_ED2_#011,"[马尔斯] 
多亏你取回了神龙之力。 
那个戒指里寄宿着琉弥艾尔的──神龙的力量。"
MID_ED2_#012,"她可能之前就预见到了， 
你会像这样脱胎换骨。"
MID_ED2_#013,"[琉尔] 
我应该已经死了才对，为什么会变成这个样子…… 
还有纹章士戒指是指……？"
MID_ED2_#014,"[马尔斯] 
你藉由十二戒指之力重获新生， 
成了第十三位纹章士……"
MID_ED2_#015,“绊炎纹章士”。
MID_ED2_#016,"[琉尔] 
绊炎纹章士…… 
我是第十三位纹章士？"
MID_ED2_#017,"[马尔斯] 
[赛莉卡] 1 
[赛莉卡] 
没错， 。"
MID_ED2_#018,"那个戒指就跟我们寄宿的戒指一样， 
是新的纹章士戒指。"
MID_ED2_#019,"[赛莉卡] 
[西格尔特] 1 

[西格尔特] 
不过，你在这个世界拥有躯体， 
跟我们这些本就是灵魂的纹章士不一样……"
MID_ED2_#020,"或许正是因为这样， 
你才会成为这么特殊的纹章士。"
MID_ED2_#021,"[琉尔] 
咦……！ 
这是我变成异形兵之前的身躯……"
MID_ED2_#022,"[西格尔特] 
[里弗] 1 
[里弗] 
正如龙族的龙之冲动会蕴藏在石头里， 
纹章士的力量是储存在戒指之中的。"
MID_ED2_#023,"你那时确实已经丧命， 
但你又重生成拥有新躯体的纹章士了。"
MID_ED2_#024,"[琉尔] 
藉由十二戒指之力……对吧， 
不过为什么会发生这种事呢？"
MID_ED2_#025,"戒指之力不是一千年只能赋予一次吗？ 
而且早就给了尚卜尔才对。"
MID_ED2_#026,"[里弗] 

[罗伊] 1 
[罗伊] 
这都多亏了一个不可为这个世界的人所知晓的秘密…… 
也就是十二戒指的“另一股力量”。"
MID_ED2_#027,"[琉尔] 
另一股力量？"
MID_ED2_#028,"[罗伊] 

[琳] 1 
[琳] 
既然你也是纹章士了， 
那跟你说应该也无妨。"
MID_ED2_#029,"[琳] 

[艾莉可] 1 

[艾莉可] 
纹章士戒指拥有“纹章奇迹”， 
不用等待一千年即可强制发动力量。"
MID_ED2_#030,"[艾莉可] 
[艾克] 1 
[艾克] 
条件则是十二纹章士需齐聚一堂， 
许下相同的心愿。"
MID_ED2_#031,"[琉尔] 
你的意思是……"
MID_ED2_#032,"[艾克] 
[米卡雅] 1 
[米卡雅] 
当时我们所有人的心愿就是 
“想和 并肩作战”。"
MID_ED2_#033,"[米卡雅] 
[贝雷特] 1 
[贝雷特] 
不过，一旦发动…… 
哪怕过了几千年，都无法再次使用这股力量了。"
MID_ED2_#034,"[贝雷特] 
[露琪娜] 1 
[露琪娜] 
我们托付给你的是我们十二纹章士 
在这个世界上最后的力量了。"
MID_ED2_#035,"[露琪娜] 
[神威] 1 
[神威] 
即使要用尽往后所有的力量， 
我们也想与你同在。"
MID_ED2_#036,"[神威] 
[马尔斯] 1 
[马尔斯] 
……这是我们所有纹章士 
第一次许下相同的愿望。"
MID_ED2_#037,"[琉尔] 
你们……"
MID_ED2_#038,"[马尔斯] 
人死不能复生…… 
但我们觉得，这样就能救你。"
MID_ED2_#039,"或许你并不想成为纹章士…… 
请原谅我们的擅作主张。"
MID_ED2_#040,"[琉尔] 
别这么说……！这是我第二次面临生死关头， 
谢谢你们救我一命。"
