key,text
MID_MAP_HIS_Attack,已发动攻击。
MID_MAP_HIS_Breakdown,已占领该处。
MID_MAP_HIS_CommandSkill,已使用 。
MID_MAP_HIS_Dance,已跳完舞。
MID_MAP_HIS_Destroy,已将其破坏。
MID_MAP_HIS_DestroyVillage,已破坏民宅。
MID_MAP_HIS_Door,已开启门扉。
MID_MAP_HIS_EngageAttack,已使用 。
MID_MAP_HIS_EngageBreak,已发动结合破坏。
MID_MAP_HIS_EngageCharge,已发动霸克·天空。
MID_MAP_HIS_Escape,已撤离战场。
MID_MAP_HIS_Fixed,已待命。
MID_MAP_HIS_Guard,已使用连锁防御。
MID_MAP_HIS_ItemUse,已使用持有物品。
MID_MAP_HIS_LucinaEngage,已发动牵绊之盾。
MID_MAP_HIS_OverlapSkill,已使用龙脉。
MID_MAP_HIS_PhaseBegin_Ally,ALLY PHASE 开始
MID_MAP_HIS_PhaseBegin_Enemy,ENEMY PHASE 开始
MID_MAP_HIS_PhaseBegin_Player,PLAYER PHASE 开始
MID_MAP_HIS_PickUp,已行动完毕
MID_MAP_HIS_PutOff,已丢弃持有物品。
MID_MAP_HIS_Rod,已使用法杖。
MID_MAP_HIS_Talk,已进行对话。
MID_MAP_HIS_Torch_Off,已熄灭灯火。
MID_MAP_HIS_Torch_On,已点燃灯火。
MID_MAP_HIS_Trade,已交换持有物品。
MID_MAP_HIS_Transporter,已使用运输队。
MID_MAP_HIS_TreasureBox,已打开宝箱。
MID_MAP_HIS_VisionCreate,已制造残像。
MID_MAP_HIS_VisionDelete,已消除残像。
MID_MAP_HIS_Visit,已访问该处。
