key,text
MID_H_Movie_C01,"神龙 苏醒。 
随侍在侧的柯岚与芙岚感到又惊又喜， 
立刻离开祭坛报告喜讯。"
MID_H_Movie_C02,"一行人在里特司草原遭到怪物袭击。 
面对未知的敌军正当众人不知所措时， 
柯岚与芙岚却因擅自进攻而陷入险境。"
MID_H_Movie_C03,"从戒指里传来了某个人的声音。 
神龙 想起了声音的主人是谁， 
高喊咒文后，一位纹章士从戒指显现。"
MID_H_Movie_C04,"多亏纹章士马尔斯显现并参与了战斗， 
神龙 总算是打败了异形兵， 
并且成功救出柯岚与芙岚。"
MID_H_Movie_C05,"听到爆炸声后，神龙 
赶紧前往戒指之间和凡德雷等人会合。 
并得知这是来自某方势力的袭击。"
MID_H_Movie_C06,"神龙 将敌将逼入了绝境。 
此时对方却使用诡谲的力量绕至神龙身后， 
导致双方情势逆转。"
MID_H_Movie_C07,"遭受敌人攻击，奄奄一息的琉弥艾尔。 
她将“圣战骑士戒指”以及拯救世界的使命托付给 
神龙 后，安详地与世长辞。"
MID_H_Movie_C08,"遭遇异形兵袭击的费列聂公主锡莉奴。 
她的臣子路易与克萝艾在前方抵御敌人， 
好让她能尽快赶往阿尔弗雷德身旁。"
MID_H_Movie_C09,"费列聂王城被伊尔席翁军占领。 
正当敌将聂尔凯质问伊芙女王时， 
聂尔凯的上司赛皮雅出现了。"
MID_H_Movie_C10,"聂尔凯在费列聂王城战败后，踏上逃亡之路。 
不料被赛皮雅给逮住，无论他如何为失败做辩解， 
最后仍遭到无情的处置。"
MID_H_Movie_C11,"在国境一带警备的布罗帝亚王子史塔卢克。 
他一度将神龙 一行误认为盗贼， 
当得知来者身分后，为自己的无礼谢罪。"
MID_H_Movie_C12,"打算夺取戒指的伊尔席翁公主奥尔坦希亚。 
率领伊尔席翁大军占据古兰斯尔大桥， 
布好阵型等待神龙 等人到来。"
MID_H_Movie_C13,"听命于奥尔坦希亚的暗黑纹章士。 
神龙一行人因此得知，不仅是神龙之力， 
邪龙的力量也能使纹章士显现。"
MID_H_Movie_C14,"在背地里击败异形兵的贝珥。 
感叹着这点程度的力量仍远远不足， 
同时也想起了失散多年的手足。"
MID_H_Movie_C15,"莫力翁王败给海亚信斯王后被虏至伊尔席翁王国。 
虽然神龙 试图营救， 
却在途中遭到艾比阻挠。"
MID_H_Movie_C16,"在德斯坦大教会与海亚信斯王对峙的 
神龙 。在那里等着他们的是 
被变为异形兵的莫力翁王。"
MID_H_Movie_C17,"神龙 的纹章士戒指遭到掠夺。 
纹章士们被邪龙尚卜尔以力量重新显现， 
散发着暗黑力量，成了敌人站在神龙面前。"
MID_H_Movie_C18,"神龙 一行人在图拉沙漠迷路。 
正当束手无策之际，自称是自卫团团长的 
青年佛贾特出现在众人眼前。"
MID_H_Movie_C19,"在北城塞跳舞的舞蹈家赛安达斯。 
当他见到异形兵出现，本已做好了赴死的准备。 
这时他听见了一个声音，为他指引了一条生路。"
MID_H_Movie_C20,"弗鲁鲁风车村惨遭袭击， 
原本平静的村庄霎时化为一片火海。 
港口则停泊着大量伊尔席翁的战船。"
MID_H_Movie_C21,"藉由赛皮雅之术使负面人格觉醒的贝珥。 
她率领四狗以及暗黑纹章士们 
向神龙 宣战。"
MID_H_Movie_C22,"孤栗亲眼见证纹章士通过咒文之力而显现。 
他洋洋自得地放声大笑后， 
告诉神龙 一个惊人的事实。"
MID_H_Movie_C23,"玛伦因贝珥为黑暗所污染而感到不舍。 
她尝试破坏洗脑的关键魔法器具， 
却以失败告终，被赛皮雅当场处决。"
MID_H_Movie_C24,"神龙 为保护贝珥殒命， 
这时贝珥身上的龙石也随之粉碎， 
她寻觅多年的手足，其真实身分终于揭晓。"
MID_H_Movie_C25,"和另一个自己战斗的贝珥。 
在亲手摧毁魔法器具并恢复神志后， 
将神龙 以异形兵的姿态复活。"
MID_H_Movie_C26,"战败的赛皮雅与孤栗。 
两人在弥留之际， 
对彼此坦诚了真心。"
MID_H_Movie_C27,"守护最后龙纹的， 
是藉由尚卜尔之手化作异形兵的琉弥艾尔。 
贝珥下定决心要独自承担这场战斗。"
MID_H_Movie_C28,"临终前，琉弥艾尔想起了一切， 
她与神龙 对话， 
并勾起小指立下约定后，化为光芒消逝。"
MID_H_Movie_C29,"邪龙尚卜尔将异界之门关闭。 
在次元扭曲、纹章士们接连消失的情况下， 
神龙 与同伴们站了起来。"
