key,text
MID_RELIANCE_A_#001,"[布修隆] 1 

[艾媞耶] 2 

[艾媞耶] 
布修隆先生，我要向您道歉。"
MID_RELIANCE_A_#002,"[布修隆] 
什么？"
MID_RELIANCE_A_#003,"[艾媞耶] 
我在那之后又观察了您好一阵子， 
结果还是没有任何发现。"
MID_RELIANCE_A_#004,"[艾媞耶] 
您真的是天生易增肌体质呢。"
MID_RELIANCE_A_#005,"[艾媞耶] 
很抱歉，一直这样怀疑您。"
MID_RELIANCE_A_#006,"[布修隆] 
没事，你能明白就好了。"
MID_RELIANCE_A_#007,"[艾媞耶] 
……有件事我想跟您解释清楚。"
MID_RELIANCE_A_#008,"[布修隆] 
解释？"
MID_RELIANCE_A_#009,"[艾媞耶] 
我会那样做， 
并不是嫉妒您的体格。"
MID_RELIANCE_A_#010,"[艾媞耶] 
我们侍奉着同一个主人， 
我只是想向您学习，变得和您一样强……"
MID_RELIANCE_A_#011,"[艾媞耶] 
仅此而已。"
MID_RELIANCE_A_#012,"[布修隆] 
跟我一样……"
MID_RELIANCE_A_#013,"[艾媞耶] 
是的，和您相比， 
我的战力实在是不成气候。"
MID_RELIANCE_A_#014,"[艾媞耶] 
所以，在这方面我想追上您， 
不管是为了阿尔弗雷德殿下，还是为了费列聂王国……！"
MID_RELIANCE_A_#015,"[布修隆] 
艾媞耶，你别说傻话了。"
MID_RELIANCE_A_#016,"[布修隆] 
如果你变得跟我一样， 
那我们这一队就完蛋了。"
MID_RELIANCE_A_#017,"[艾媞耶] 
那是为什么？"
MID_RELIANCE_A_#018,"[布修隆] 
我的体质确实条件很好， 
还很容易长出你所喜欢的肌肉。"
MID_RELIANCE_A_#019,"[布修隆] 
可是我的缺点也很多， 
比如说我是个路痴……"
MID_RELIANCE_A_#020,"[布修隆] 
我好几次在战场上迷路， 
都是你帮助我的。"
MID_RELIANCE_A_#021,"[布修隆] 
我有我的优点， 
而你也有自己的优点。"
MID_RELIANCE_A_#022,"[布修隆] 
两个人各有不同，联手后产生的力量…… 
我认为这就是我们的优势。"
MID_RELIANCE_A_#023,"[艾媞耶] 
布修隆先生……"
MID_RELIANCE_A_#024,"[艾媞耶] 
是啊， 
您说得没错。"
MID_RELIANCE_A_#025,"[艾媞耶] 
真是惭愧， 
我眼里竟只有长肌肉一事……"
MID_RELIANCE_A_#026,"[布修隆] 
肌肉不是用来竞争的， 
而是让我们携手合作的媒介……"
MID_RELIANCE_A_#027,"[布修隆] 
这就是我的肌肉原则。"
MID_RELIANCE_A_#028,"[艾媞耶] 
……虽然不是很明白，不过我很感动呢。"
MID_RELIANCE_A_#029,"[布修隆] 
我只是想缓和一下气氛， 
看来是失败了，抱歉。"
MID_RELIANCE_A_#030,"[布修隆] 
来，艾媞耶， 
我们握手吧。"
MID_RELIANCE_A_#031,"[布修隆] 
为了阿尔弗雷德殿下还有费列聂王国…… 
今后也请你多多指教了。"
MID_RELIANCE_A_#032,"[艾媞耶] 
嗯，我也要请您多多指教， 
同为人臣，让我们携手并进吧。"
MID_RELIANCE_B_#001,"[布修隆] 1 

[布修隆] 
呼…… 
在树下享受和熙的阳光真是太舒服了……"
MID_RELIANCE_B_#002,"[艾媞耶] 2 

[艾媞耶] 
布修隆先生。"
MID_RELIANCE_B_#003,"[布修隆] 
哇！吓我一跳！ 
艾媞耶，你有什么事吗？"
MID_RELIANCE_B_#004,"[艾媞耶] 
现在开始，我要来观察您了。"
MID_RELIANCE_B_#005,"[布修隆] 
你要观察什么？"
MID_RELIANCE_B_#006,"[艾媞耶] 
当然是观察布修隆先生您呀。 
我要来解开您这身肌肉的秘密。"
MID_RELIANCE_B_#007,"[布修隆] 
这样啊…… 
嗯，请自便。"
