key,text
MID_RELIANCE_A_#001,"[贾恩] 2 
[贾恩] 
呜…… 
完全记不住啊……"
MID_RELIANCE_A_#002,"[锡莉奴] 1 

[锡莉奴] 
贾恩，辛苦了， 
看得出来你很用功呢。"
MID_RELIANCE_A_#003,"[贾恩] 
锡莉奴公主。"
MID_RELIANCE_A_#004,"[贾恩] 
虽然我很努力，但不太顺利， 
脑袋也渐渐转不过来了……真是糟透了……"
MID_RELIANCE_A_#005,"[锡莉奴] 
这种时候，就要来一杯茶。"
MID_RELIANCE_A_#006,"[贾恩] 
这股香气…… 
是我故乡的茶吗？"
MID_RELIANCE_A_#007,"[锡莉奴] 
嗯，没错。"
MID_RELIANCE_A_#008,"[锡莉奴] 
看到你念书念到焦头烂额， 
就想请你喝杯茶转换一下心情。"
MID_RELIANCE_A_#009,"[贾恩] 
锡莉奴公主…… 
太谢谢您了。"
MID_RELIANCE_A_#010,"[贾恩] 
唔……好熟悉的香气啊。 
好喝，还能让人放松。"
MID_RELIANCE_A_#011,"[锡莉奴] 
……贾恩，之前你说过 
茶不能救人对吧……"
MID_RELIANCE_A_#012,"[锡莉奴] 
可是你故乡的茶 
倒是救过我好几次呢。"
MID_RELIANCE_A_#013,"[贾恩] 
救过您……好几次？"
MID_RELIANCE_A_#014,"[锡莉奴] 
每当我遭遇挫折、情绪低落的时候…… 
就会泡一壶好喝的茶。"
MID_RELIANCE_A_#015,"[锡莉奴] 
接着，我就释怀了。"
MID_RELIANCE_A_#016,"[锡莉奴] 
虽然只是稍微转换一下心情， 
可有时候不顺遂的事就跟着迎刃而解了。"
MID_RELIANCE_A_#017,"[锡莉奴] 
说是茶救了我……应该不为过吧？"
MID_RELIANCE_A_#018,"[贾恩] 
嗯……当然不为过。"
MID_RELIANCE_A_#019,"[贾恩] 
因为…… 
我现在也觉得很放松。"
MID_RELIANCE_A_#020,"[贾恩] 
锡莉奴公主， 
谢谢您把这么重要的事告诉我。"
MID_RELIANCE_A_#021,"[贾恩] 
还有……我很抱歉。 
身为立志从医的人，我改变想法了，茶也是可以救人的。"
MID_RELIANCE_A_#022,"[锡莉奴] 
你没必要道歉， 
我只是想让你也放松一下而已。"
MID_RELIANCE_A_#023,"[贾恩] 
突然好想去见妈妈啊…… 
想告诉她，故乡的茶叶是全世界最好的。"
MID_RELIANCE_A_#024,"[锡莉奴] 
届时也让我同行好吗？ 
我想告诉令堂，这些茶叶令我觉得很幸福。"
MID_RELIANCE_A_#025,"[贾恩] 
那个，锡莉奴公主， 
若您不介意，不如我们现在就来开茶会吧。"
MID_RELIANCE_A_#026,"[贾恩] 
只有我一个人喝，实在过意不去……而且…… 
我也想跟公主您再多聊一些。"
MID_RELIANCE_A_#027,"[贾恩] 
当然，结束之后我会好好学习的！"
MID_RELIANCE_A_#028,"[锡莉奴] 
呵呵， 
谢谢你的邀请，我很高兴。"
MID_RELIANCE_A_#029,"[锡莉奴] 
其实我早就嘴馋了呢， 
抱歉让你见笑了。"
MID_RELIANCE_A_#030,"[锡莉奴] 
那就准备开始吧， 
我们要聊茶聊个过瘾哦。"
MID_RELIANCE_A_#031,"[贾恩] 
好的！"
MID_RELIANCE_B_#001,"[锡莉奴] 1 
[贾恩] 2 

[锡莉奴] 
你好，贾恩。"
MID_RELIANCE_B_#002,"[贾恩] 
锡莉奴公主，您好。"
MID_RELIANCE_B_#003,"[锡莉奴] 
哦，那是医书？ 
你接下来是要学习吗？"
MID_RELIANCE_B_#004,"[贾恩] 
是啊， 
这样才能成为一名优秀的医生嘛。"
MID_RELIANCE_B_#005,"[锡莉奴] 
真了不起， 
那我改天再邀你一起喝茶吧。"
MID_RELIANCE_B_#006,"[贾恩] 
邀我喝茶…… 
是指之前提过的茶会吗？"
MID_RELIANCE_B_#007,"[锡莉奴] 
嗯，我收到了来自贾恩故乡的茶叶， 
就想过来看看你今天是否有空……"
MID_RELIANCE_B_#008,"[锡莉奴] 
不过学习比较重要吧。"
MID_RELIANCE_B_#009,"[贾恩] 
非、非常抱歉。 
劳您费心了……"
MID_RELIANCE_B_#010,"[锡莉奴] 
没这回事，只是把茶会延后一点而已， 
到时候，茶喝起来一定会更香醇。"
MID_RELIANCE_B_#011,"[贾恩] 
想不到故乡茶叶的品质这么棒， 
能让锡莉奴公主赞不绝口。"
MID_RELIANCE_B_#012,"[锡莉奴] 
呵呵，你现在才知道啊？"
