key,text
MID_RELIANCE_A_#001,"[希特丽妮卡] 2 

[希特丽妮卡] 
喝！"
MID_RELIANCE_A_#002,"[希特丽妮卡] 
完全不行…… 
这种程度根本就不够。"
MID_RELIANCE_A_#003,"[希特丽妮卡] 
我要更努力练习魔法， 
变得更强才行……"
MID_RELIANCE_A_#004,"[希特丽妮卡] 
为了守护亲朋好友……"
MID_RELIANCE_A_#005,"[希特丽妮卡] 
喝！！"
MID_RELIANCE_A_#006,"[克萝艾] 1 
[克萝艾] 
漂亮， 
正中红心！"
MID_RELIANCE_A_#007,"[希特丽妮卡] 
克萝艾？ 
你怎么会在这里……"
MID_RELIANCE_A_#008,"[希特丽妮卡] 
难道是迷路了？"
MID_RELIANCE_A_#009,"[克萝艾] 
不，抱歉…… 
其实我是跟踪你过来的。"
MID_RELIANCE_A_#010,"[克萝艾] 
因为每次你说有事离开， 
然后满身泥泞地回来……"
MID_RELIANCE_A_#011,"[希特丽妮卡] 
是吗…… 
让你担心了……"
MID_RELIANCE_A_#012,"[希特丽妮卡] 
抱歉。"
MID_RELIANCE_A_#013,"[克萝艾] 
你不用在意啦。"
MID_RELIANCE_A_#014,"[克萝艾] 
我现在才知道， 
你说的要事原来是指练习魔法啊。"
MID_RELIANCE_A_#015,"[希特丽妮卡] 
嗯，没错。"
MID_RELIANCE_A_#016,"[希特丽妮卡] 
因为我是靠亲戚关系才当上王族家臣的， 
实力根本不够。"
MID_RELIANCE_A_#017,"[希特丽妮卡] 
为了早日增进实力， 
我每天都会像这样练习魔法。"
MID_RELIANCE_A_#018,"[希特丽妮卡] 
我并不是要刻意隐瞒， 
只是觉得没必要特意说明……"
MID_RELIANCE_A_#019,"[克萝艾] 
其实你大可以直接告诉我， 
我很乐意陪你特训。"
MID_RELIANCE_A_#020,"[希特丽妮卡] 
你愿意陪我练习吗？"
MID_RELIANCE_A_#021,"[克萝艾] 
当然啦， 
我们不是朋友吗？"
MID_RELIANCE_A_#022,"[希特丽妮卡] 
谢谢你……克萝艾。"
MID_RELIANCE_A_#023,"[克萝艾] 
再说，练习后品尝奇珍异味会更美味！ 
我们就一起特训吧。"
MID_RELIANCE_A_#024,"[希特丽妮卡] 
呵呵， 
谢谢你邀请我。"
MID_RELIANCE_A_#025,"[希特丽妮卡] 
今天的晚餐一定会非常好吃。"
