key,text
MID_RELIANCE_A_#001,"[柯岚] 1 

[艾媞耶] 2 
[柯岚] 
艾媞耶， 
新的腌菜做好喽。"
MID_RELIANCE_A_#002,"[柯岚] 
这次我试着腌了三种蔬菜。 
不过……"
MID_RELIANCE_A_#003,"[艾媞耶] 
怎么了吗？"
MID_RELIANCE_A_#004,"[柯岚] 
腌得不怎么好吃…… 
真的很对不起……这瓶不能给你了。"
MID_RELIANCE_A_#005,"[柯岚] 
新蔬菜腌出来的味道和平常不太一样， 
我打算重新做一次看看。"
MID_RELIANCE_A_#006,"[艾媞耶] 
哎呀，您不用放在心上。 
我不会在意这点小事哦。"
MID_RELIANCE_A_#007,"[柯岚] 
咦？为什么？"
MID_RELIANCE_A_#008,"[艾媞耶] 
柯岚先生做的腌菜的确美味， 
但让我最高兴的是您这份心意。"
MID_RELIANCE_A_#009,"[艾媞耶] 
您为了做这些腌菜， 
特意观察了我的日常生活对吧。"
MID_RELIANCE_A_#010,"[艾媞耶] 
而且还为我许下了各种愿望。"
MID_RELIANCE_A_#011,"[艾媞耶] 
您的腌菜不但 
治愈了我的身体……"
MID_RELIANCE_A_#012,"[艾媞耶] 
其中的体贴之情 
也治愈了我的心哦。"
MID_RELIANCE_A_#013,"[艾媞耶] 
所以您不必在意，放心地让我吃吧。"
MID_RELIANCE_A_#014,"[柯岚] 
艾媞耶……"
MID_RELIANCE_A_#015,"[艾媞耶] 
啊！？"
MID_RELIANCE_A_#016,"[柯岚] 
刚才那是艾媞耶的肚子在叫吗？"
MID_RELIANCE_A_#017,"[艾媞耶] 
抱……抱歉。"
MID_RELIANCE_A_#018,"[柯岚] 
你刚才之所以会那么说……"
MID_RELIANCE_A_#019,"[柯岚] 
该不会是因为肚子太饿了， 
想快点吃腌菜充饥吧？"
MID_RELIANCE_A_#020,"[艾媞耶] 
才，才不是呢！ 
别取笑我啦。"
MID_RELIANCE_A_#021,"[柯岚] 
啊，差不多到锻炼的时间了吧？"
MID_RELIANCE_A_#022,"[艾媞耶] 
哎呀，真的呢。 
那我吃完这些腌菜后就开始锻炼吧。"
MID_RELIANCE_A_#023,"[柯岚] 
不好吃的话可别生气哦。"
MID_RELIANCE_A_#024,"[艾媞耶] 
真是的，别再提那件事啦。 
那么，我要开动了。"
MID_RELIANCE_B_#001,"[柯岚] 1 

[艾媞耶] 2 

[艾媞耶] 
柯岚先生，原来您在这里啊。"
MID_RELIANCE_B_#002,"[柯岚] 
怎么了？ 
腌菜已经吃完了吗？"
MID_RELIANCE_B_#003,"[艾媞耶] 
是的……被您一语道破，还真是难为情呢。"
MID_RELIANCE_B_#004,"[柯岚] 
吃得还真快啊。"
MID_RELIANCE_B_#005,"[柯岚] 
不过我看你最近练得很勤， 
就在猜你差不多要吃完了。"
MID_RELIANCE_B_#006,"[艾媞耶] 
您真厉害啊， 
这么小的事情都逃不过您的法眼呢。"
MID_RELIANCE_B_#007,"[柯岚] 
嘿嘿，这没什么啦。 
我看到努力的人，就会想帮他加油啊。"
MID_RELIANCE_B_#008,"[艾媞耶] 
这种腌菜真的很厉害。 
我以前锻炼后疲劳都会久久不散……"
MID_RELIANCE_B_#009,"[艾媞耶] 
但自从吃了这腌菜后， 
这种情况就变少了。"
MID_RELIANCE_B_#010,"[艾媞耶] 
而且又非常好吃， 
让我忍不住一口接着一口呢。"
MID_RELIANCE_B_#011,"[柯岚] 
真的吗！？我很开心！ 
那么，我再多做点给你吧！"
MID_RELIANCE_B_#012,"[艾媞耶] 
可以吗！？ 
谢谢您！"
MID_RELIANCE_B_#013,"[柯岚] 
对了，你喜欢吃什么蔬菜？"
MID_RELIANCE_B_#014,"[柯岚] 
制作腌菜时， 
可以放入各种蔬菜哦。"
MID_RELIANCE_B_#015,"[艾媞耶] 
这样啊……我一时间也拿不定主意， 
能拜托您决定吗？"
MID_RELIANCE_B_#016,"[艾媞耶] 
毕竟柯岚先生很了解我嘛。"
MID_RELIANCE_B_#017,"[柯岚] 
哈哈，说得也是。 
那就交给我选吧！"
MID_RELIANCE_B_#018,"[艾媞耶] 
我很期待您的腌菜哦。"
MID_RELIANCE_C_#001,"[柯岚] 1 

[艾媞耶] 2 

[艾媞耶] 
呼…… 
今天就跑到这里吧。"
MID_RELIANCE_C_#002,"[柯岚] 
艾媞耶，你辛苦了！"
MID_RELIANCE_C_#003,"[艾媞耶] 
柯岚先生， 
有什么事吗？"
MID_RELIANCE_C_#004,"[柯岚] 
今天我做了这个 
要送给艾媞耶。"
MID_RELIANCE_C_#005,"[艾媞耶] 
这个瓶子里…… 
装的是什么呢？"
MID_RELIANCE_C_#006,"[柯岚] 
这是我做的腌菜， 
吃了能消除疲劳哦。"
MID_RELIANCE_C_#007,"[柯岚] 
来，你尝一个看看。"
MID_RELIANCE_C_#008,"[艾媞耶] 
好吧， 
那我就恭敬不如从命了。"
MID_RELIANCE_C_#009,"[艾媞耶] 
哇……真好吃…… 
这恰到好处的酸味会令人上瘾呢……"
MID_RELIANCE_C_#010,"[柯岚] 
听你这么说，我就放心了！"
MID_RELIANCE_C_#011,"[柯岚] 
考虑到艾媞耶的健康， 
我特地调整了调味料的比例哦。"
MID_RELIANCE_C_#012,"[艾媞耶] 
哎呀，这是特地为我做的吗？"
MID_RELIANCE_C_#013,"[柯岚] 
嗯！ 
而且还不止这样哦！"
MID_RELIANCE_C_#014,"[柯岚] 
我还向上天许愿…… 
希望腌菜变好吃～希望能合艾媞耶的口味～"
MID_RELIANCE_C_#015,"[艾媞耶] 
哇……我好高兴…… 
您实在太贴心了……"
MID_RELIANCE_C_#016,"[柯岚] 
这瓶就给你吧。 
想要的话再跟我说哦。"
MID_RELIANCE_C_#017,"[艾媞耶] 
好的。 
谢谢您为我做的一切……"
