key,text
MID_RELIANCE_A_#001,"[柯岚] 1 

[路易] 2 
[路易] 
呜……呜……怎么会这样……"
MID_RELIANCE_A_#002,"[柯岚] 
路易，你怎么了？"
MID_RELIANCE_A_#003,"[路易] 
想到再也看不到你们锻炼肌肉的情景…… 
我就感到伤心欲绝啊……"
MID_RELIANCE_A_#004,"[柯岚] 
你怎么会知道锻炼结束了？"
MID_RELIANCE_A_#005,"[路易] 
因为当时我就在现场啊……"
MID_RELIANCE_A_#006,"[柯岚] 
咦！？ 
我完全没有发现耶。"
MID_RELIANCE_A_#007,"[路易] 
我碰巧看到你们两人， 
于是就站在远处暗中护卫……"
MID_RELIANCE_A_#008,"[柯岚] 
原来如此，谢谢你。"
MID_RELIANCE_A_#009,"[路易] 
你们的关系实在是太美了……"
MID_RELIANCE_A_#010,"[路易] 
风度翩翩的正统派王子和有着稚嫩脸孔的美少年…… 
两人交织出一幅和乐融融的美景……"
MID_RELIANCE_A_#011,"[路易] 
闪亮的汗珠……灿烂的笑容…… 
还有让旁人脸红的关怀之举……"
MID_RELIANCE_A_#012,"[路易] 
啊……你们的肌肉锻炼， 
让我踏上了一片前所未见的新大陆……"
MID_RELIANCE_A_#013,"[柯岚] 
阿尔弗雷德王子接下来好像 
还会指导其他人锻炼肌肉哦。"
MID_RELIANCE_A_#014,"[路易] 
……咦！？"
MID_RELIANCE_A_#015,"[柯岚] 
我也打算告诉其他人 
王子教我的锻炼方法。"
MID_RELIANCE_A_#016,"[路易] 
……还没结束。"
MID_RELIANCE_A_#017,"[柯岚] 
咦？"
MID_RELIANCE_A_#018,"[路易] 
这不是结束，而是开始…… 
而且……是两段全新的开始……"
MID_RELIANCE_A_#019,"[路易] 
然后还会继续倍增下去…… 
啊……这样可是会有无限种配对啊……"
MID_RELIANCE_A_#020,"[路易] 
我必须在暗中守护这些配对才行…… 
没错，一定要这样做……"
MID_RELIANCE_A_#021,"[柯岚] 
我说……你没事吧？"
MID_RELIANCE_A_#022,"[路易] 
嗯……嗯！我很好……！"
MID_RELIANCE_A_#023,"[路易] 
那么，下次的锻炼日程决定后， 
还麻烦你通知我一声。"
MID_RELIANCE_A_#024,"[路易] 
我打从心底支持你们的高尚之举。 
今后也请让我好好欣赏……"
MID_RELIANCE_A_#025,"[路易] 
不对…… 
今后也请让我在一旁好好守护你们吧。"
