key,text
MID_RELIANCE_A_#001,"[柯岚] 1 
[贝珥] 2 
[柯岚] 
贝珥大人， 
辣椒腌菜终于完成了。"
MID_RELIANCE_A_#002,"[贝珥] 
真的吗！？ 
柯岚，我可以尝尝看吗？"
MID_RELIANCE_A_#003,"[柯岚] 
看起来超辣的就是了…… 
请，请慢用……"
MID_RELIANCE_A_#004,"[贝珥] 
……唔！"
MID_RELIANCE_A_#005,"[柯岚] 
贝珥大人！ 
你没事吧！？"
MID_RELIANCE_A_#006,"[贝珥] 
咳……咳咳，咳咳…… 
这，这是……这是……"
MID_RELIANCE_A_#007,"[柯岚] 
啊！贝珥大人！ 
我这就拿水过来！"
MID_RELIANCE_A_#008,"[贝珥] 
没……咳咳，没事的。"
MID_RELIANCE_A_#009,"[贝珥] 
这腌菜非常好吃哦！"
MID_RELIANCE_A_#010,"[贝珥] 
越吃越上瘾呢！"
MID_RELIANCE_A_#011,"[柯岚] 
可是我看你呛得很难受的样子…… 
真的没事吗？"
MID_RELIANCE_A_#012,"[贝珥] 
呼…… 
终于不咳了。"
MID_RELIANCE_A_#013,"[贝珥] 
柯岚， 
你也尝尝看吧。"
MID_RELIANCE_A_#014,"[柯岚] 
咦……？"
MID_RELIANCE_A_#015,"[贝珥] 
放心吧， 
真的非常好吃哦。"
MID_RELIANCE_A_#016,"[柯岚] 
好，好的。 
既然是贝珥大人的命令，我……！"
MID_RELIANCE_A_#017,"[柯岚] 
嚼嚼……！ 
呜，呜呜……！"
MID_RELIANCE_A_#018,"[柯岚] 
好，好辣……"
MID_RELIANCE_A_#019,"[柯岚] 
虽然很辣…… 
但这直冲脑门的味道……"
MID_RELIANCE_A_#020,"[柯岚] 
真的超级好吃！"
MID_RELIANCE_A_#021,"[贝珥] 
我就说吧！ 
是不是很庆幸有试这一次啊？"
MID_RELIANCE_A_#022,"[柯岚] 
嗯，是啊！"
MID_RELIANCE_A_#023,"[柯岚] 
…………"
MID_RELIANCE_A_#024,"[柯岚] 
贝珥大人，机会难得， 
我们何不多做一些新尝试呢？"
MID_RELIANCE_A_#025,"[贝珥] 
什么尝试？ 
还有更辣的东西吗？"
MID_RELIANCE_A_#026,"[柯岚] 
不是吃的东西哦。 
你要不要试着和我成为兄弟姐妹啊？"
MID_RELIANCE_A_#027,"[贝珥] 
咦？"
MID_RELIANCE_A_#028,"[柯岚] 
当然，只是装装样子而已。"
MID_RELIANCE_A_#029,"[柯岚] 
不过，或许能从中学习到 
如何与兄弟姐妹相处哦。"
MID_RELIANCE_A_#030,"[贝珥] 
原来如此……"
MID_RELIANCE_A_#031,"[贝珥] 
但是…… 
拜托你这种事真的好吗？"
MID_RELIANCE_A_#032,"[柯岚] 
毕竟贝珥大人教了我 
制作腌菜的新方法嘛。"
MID_RELIANCE_A_#033,"[柯岚] 
就当作是我的回礼吧。"
MID_RELIANCE_A_#034,"[贝珥] 
我明白了。 
那我们就来试试看吧。"
MID_RELIANCE_A_#035,"[柯岚] 
那么，姐姐， 
今后请多多指教喽。"
MID_RELIANCE_A_#036,"[贝珥] 
我是姐姐，你是弟弟啊？"
MID_RELIANCE_A_#037,"[柯岚] 
是啊。我只有一个妹妹， 
所以一直都想要哥哥或姐姐呢。"
MID_RELIANCE_A_#038,"[贝珥] 
正好我也没有弟弟或妹妹呢。 
那我就把你当成自己的弟弟吧。"
MID_RELIANCE_A_#039,"[柯岚] 
谢谢姐姐！"
