key,text
MID_RELIANCE_A_#001,"[柯岚] 1 
[杰尔科巴] 2 

[杰尔科巴] 
…………"
MID_RELIANCE_A_#002,"[柯岚] 
杰尔科巴？ 
你的脸色怎么这么难看？"
MID_RELIANCE_A_#003,"[柯岚] 
该不会是酱汁做坏了吧？"
MID_RELIANCE_A_#004,"[杰尔科巴] 
唉……"
MID_RELIANCE_A_#005,"[柯岚] 
果，果然是这样啊…… 
对不起，没能帮上你的忙。"
MID_RELIANCE_A_#006,"[杰尔科巴] 
……你“试吃”看看。"
MID_RELIANCE_A_#007,"[柯岚] 
咦？ 
你不是做坏了吗？"
MID_RELIANCE_A_#008,"[杰尔科巴] 
总之你先“试吃”看看。"
MID_RELIANCE_A_#009,"[柯岚] 
好，好啦。"
MID_RELIANCE_A_#010,"[柯岚] 
那我不客气喽。 
舔舔。"
MID_RELIANCE_A_#011,"[柯岚] 
咦！？ 
做得很好吃啊！"
MID_RELIANCE_A_#012,"[柯岚] 
这味道与我教你做的腌菜完美融合…… 
简直就是酱汁中的酱汁啊！"
MID_RELIANCE_A_#013,"[杰尔科巴] 
“是吗”……"
MID_RELIANCE_A_#014,"[柯岚] 
明明做出了这么美味的酱汁， 
为何你还一脸闷闷不乐的啊？"
MID_RELIANCE_A_#015,"[杰尔科巴] 
这个“酱汁”的确堪称“完美”， 
但是……"
MID_RELIANCE_A_#016,"[杰尔科巴] 
我想不到该“搭配什么料理”……！"
MID_RELIANCE_A_#017,"[柯岚] 
哦……原来如此。 
所以你才会臭着一张脸啊。"
MID_RELIANCE_A_#018,"[杰尔科巴] 
“做菜”是一门“高深”的学问…… 
我不该把学问看作是“兴趣”的……"
MID_RELIANCE_A_#019,"[柯岚] 
我的腌菜和什么料理都搭。 
不过，最搭的应该是肉类料理吧。"
MID_RELIANCE_A_#020,"[杰尔科巴] 
“肉类料理”吗！？"
MID_RELIANCE_A_#021,"[柯岚] 
哇！ 
你的脸又凶起来了！"
MID_RELIANCE_A_#022,"[杰尔科巴] 
真是个“好主意”！ 
柯岚，你实在太“可靠”了！"
MID_RELIANCE_A_#023,"[杰尔科巴] 
我这就来“制作”肉类料理， 
你淋上那个酱汁“试吃”看看吧！"
MID_RELIANCE_A_#024,"[柯岚] 
呜……好吧。 
反正我也习惯杰尔科巴的臭脸了……"
MID_RELIANCE_A_#025,"[柯岚] 
我就奉陪到底吧。 
一定要做出“美味的料理”哦！"
MID_RELIANCE_B_#001,"[柯岚] 1 
[杰尔科巴] 2 
[柯岚] 
唉……杰尔科巴他…… 
究竟要我做什么事呢……？"
MID_RELIANCE_B_#002,"[柯岚] 
如果要我做什么坏事的话…… 
就算被凶也要鼓起勇气拒绝才行啊。"
MID_RELIANCE_B_#003,"[杰尔科巴] 
那么，柯岚…… 
赶紧教我“腌菜”的“做法”吧。"
MID_RELIANCE_B_#004,"[柯岚] 
咦？"
MID_RELIANCE_B_#005,"[杰尔科巴] 
你“听不见”吗？ 
我说教我“腌菜”的“做法”。"
MID_RELIANCE_B_#006,"[杰尔科巴] 
“听说”你很擅长“做腌菜”， 
该不会是“谣言”吧？"
MID_RELIANCE_B_#007,"[柯岚] 
不，没错哦。 
我很喜欢做腌菜。"
MID_RELIANCE_B_#008,"[柯岚] 
你说的能力， 
就是指做腌菜啊？"
MID_RELIANCE_B_#009,"[柯岚] 
我还以为你要找我 
一起去打家劫舍呢……"
MID_RELIANCE_B_#010,"[杰尔科巴] 
“我”在“你”心目中 
到底是怎样的“人”啊……"
MID_RELIANCE_B_#011,"[杰尔科巴] 
算了，先不管“这个”了。"
MID_RELIANCE_B_#012,"[杰尔科巴] 
我最近迷上了“做菜”。 
算是我的“新兴趣”吧。"
MID_RELIANCE_B_#013,"[柯岚] 
你开始学做菜了啊。 
不错哦。"
MID_RELIANCE_B_#014,"[杰尔科巴] 
我已经试做了几道菜， 
但用“碎腌菜”做“简易酱汁”时却不太顺利。"
MID_RELIANCE_B_#015,"[杰尔科巴] 
我想问题一定是出在 
“腌菜”的“做法”……"
MID_RELIANCE_B_#016,"[柯岚] 
酱汁这种东西， 
去店里买不就好了吗……"
MID_RELIANCE_B_#017,"[杰尔科巴] 
我“想要”自己做出“完美的酱汁”， 
去店里买的话就没意义了。"
MID_RELIANCE_B_#018,"[柯岚] 
哦…… 
所以你就来找我了啊。"
MID_RELIANCE_B_#019,"[柯岚] 
好吧。 
做腌菜这点小事，我很乐意教你哦。"
MID_RELIANCE_B_#020,"[杰尔科巴] 
“真的”吗！？"
MID_RELIANCE_B_#021,"[柯岚] 
不过，既然要学， 
就要认真学起来哦。"
MID_RELIANCE_B_#022,"[杰尔科巴] 
“当然”。 
柯岚，还请你多多指教。"
MID_RELIANCE_C_#001,"[柯岚] 1 
[杰尔科巴] 2 

[杰尔科巴] 
“柯岚”，终于找到你了。"
MID_RELIANCE_C_#002,"[柯岚] 
咦！？"
MID_RELIANCE_C_#003,"[柯岚] 
吓，吓了我一大跳。 
你是……杰尔科巴？"
MID_RELIANCE_C_#004,"[杰尔科巴] 
你在“怕”什么？"
MID_RELIANCE_C_#005,"[柯岚] 
咦？呃…… 
因为你的脸很凶……"
MID_RELIANCE_C_#006,"[杰尔科巴] 
我的“脸”怎么了？"
MID_RELIANCE_C_#007,"[柯岚] 
当，当我没说过。 
你找我有什么事吗？"
MID_RELIANCE_C_#008,"[杰尔科巴] 
我有事“想问你”， 
给我过来一下。"
MID_RELIANCE_C_#009,"[柯岚] 
咦……！"
