key,text
MID_RELIANCE_A_#001,"[帝亚曼德] 1 
[贝珥] 2 
[帝亚曼德] 
到底…… 
该怎么办才好……"
MID_RELIANCE_A_#002,"[贝珥] 
呜……今天就是举办餐会的日子了…… 
帝亚曼德，对不起……"
MID_RELIANCE_A_#003,"[帝亚曼德] 
真没想到， 
贝珥公主做的全是特辣料理呢。"
MID_RELIANCE_A_#004,"[帝亚曼德] 
拿这些料理来招待民众 
实在不太合适……"
MID_RELIANCE_A_#005,"[贝珥] 
真的很对不起。"
MID_RELIANCE_A_#006,"[贝珥] 
因为我最喜欢的就是特辣料理， 
所以我就以为大家也会喜欢……"
MID_RELIANCE_A_#007,"[帝亚曼德] 
但是贝珥公主并没有恶意， 
是没有先确认菜单内容的我不好。"
MID_RELIANCE_A_#008,"[贝珥] 
我还以为终于可以帮助到别人了， 
结果却给帝亚曼德添麻烦了。"
MID_RELIANCE_A_#009,"[贝珥] 
我明明只是想要多帮上一点忙， 
让大家能够开心的……"
MID_RELIANCE_A_#010,"[帝亚曼德] 
让大家开心……"
MID_RELIANCE_A_#011,"[帝亚曼德] 
就是这个！ 
我想到一个好点子喽。"
MID_RELIANCE_A_#012,"[贝珥] 
咦……？"
MID_RELIANCE_A_#013,"[帝亚曼德] 
我们把餐会改成特辣忍耐大赛吧。 
到时气氛一定很热烈，大家也会很开心哦。"
MID_RELIANCE_A_#014,"[贝珥] 
可是这样对帝亚曼德好吗？ 
忍耐大赛能缩短你和大家的距离吗？"
MID_RELIANCE_A_#015,"[帝亚曼德] 
或许会比餐会还来得有效果哦。 
只要大家能乐在其中，自然也就会和我更亲近了吧。"
MID_RELIANCE_A_#016,"[贝珥] 
好厉害……这么一来， 
我们两个人的烦恼就一次全解决了呢！"
MID_RELIANCE_A_#017,"[帝亚曼德] 
是啊，今天肯定会是个好日子。"
MID_RELIANCE_A_#018,"[贝珥] 
要办特辣忍耐大赛的话， 
我应该会得冠军吧。"
MID_RELIANCE_A_#019,"[帝亚曼德] 
呵…… 
我可没打算输给你哦。"
MID_RELIANCE_A_#020,"[贝珥] 
距离大家到齐还有一点时间， 
帝亚曼德，我们拿出干劲来好好准备吧！"
MID_RELIANCE_B_#001,"[帝亚曼德] 1 
[贝珥] 2 

[贝珥] 
嗨，帝亚曼德。 
你今天应该有什么烦恼了吧？"
MID_RELIANCE_B_#002,"[帝亚曼德] 
没有什么烦恼呢……"
MID_RELIANCE_B_#003,"[帝亚曼德] 
虽然我很想那么说， 
但其实现在正好有件事相当困扰我呢。"
MID_RELIANCE_B_#004,"[贝珥] 
真的吗！？"
MID_RELIANCE_B_#005,"[贝珥] 
我一定会帮你解决的， 
快告诉我是什么样的烦恼吧。"
MID_RELIANCE_B_#006,"[帝亚曼德] 
你还记得， 
我们之前一起到镇上去找有烦恼的人吧？"
MID_RELIANCE_B_#007,"[贝珥] 
嗯，虽然那时候完全找不到谁有烦恼。"
MID_RELIANCE_B_#008,"[帝亚曼德] 
后来我从警备兵那里听说…… 
其实镇上的人好像有很多困扰。"
MID_RELIANCE_B_#009,"[贝珥] 
咦？那为什么不跟我们商量呢？"
MID_RELIANCE_B_#010,"[帝亚曼德] 
据说是民众对我王子的身分有所顾虑， 
所以没办法来找我谈有什么困扰。"
MID_RELIANCE_B_#011,"[贝珥] 
是这样啊……"
MID_RELIANCE_B_#012,"[帝亚曼德] 
所以，我想缩短与人民之间的距离， 
创造出能让他们各抒己见的环境……"
MID_RELIANCE_B_#013,"[帝亚曼德] 
但我想不到该怎么做比较好。"
MID_RELIANCE_B_#014,"[贝珥] 
什么嘛，那很简单呀。"
MID_RELIANCE_B_#015,"[帝亚曼德] 
你有什么好对策的话，请务必告诉我。"
MID_RELIANCE_B_#016,"[贝珥] 
有几道料理我特别喜欢， 
只要吃了那些料理就会变得很有精神哦。"
MID_RELIANCE_B_#017,"[贝珥] 
所以呢，就由我来做料理， 
然后我们再举办一场餐会，请大家来吃就好喽。"
MID_RELIANCE_B_#018,"[帝亚曼德] 
原来如此……"
MID_RELIANCE_B_#019,"[帝亚曼德] 
只要在餐会上自然地和人民攀谈， 
就能够逐渐缩短彼此的距离了吧。"
MID_RELIANCE_B_#020,"[贝珥] 
没错，那么好事不宜迟， 
我赶紧去做准备喽。"
MID_RELIANCE_C_#001,"[帝亚曼德] 1 
[贝珥] 2 

[贝珥] 
帝亚曼德…… 
你有什么烦恼吗？"
