key,text
MID_RELIANCE_A_#001,"[芙岚] 1 
[花月] 2 
[花月] 
…………"
MID_RELIANCE_A_#002,"[芙岚] 
花月， 
你怎么一脸闷闷不乐的啊？"
MID_RELIANCE_A_#003,"[花月] 
哦，是芙岚啊…… 
被尔看出来了吗？"
MID_RELIANCE_A_#004,"[芙岚] 
该不会是…… 
之前寄出的信一直没收到回信吧？"
MID_RELIANCE_A_#005,"[花月] 
没错。"
MID_RELIANCE_A_#006,"[花月] 
看来余的家人 
对余已经死心了呢。"
MID_RELIANCE_A_#007,"[芙岚] 
我想一定是途中出了些差错， 
才没能寄到他们手中吧。"
MID_RELIANCE_A_#008,"[花月] 
说不定这样才好呢。"
MID_RELIANCE_A_#009,"[花月] 
就算真的收到回信， 
余大概也没有勇气打开。"
MID_RELIANCE_A_#010,"[芙岚] 
别说这种丧气话了。 
你忘记自己费了多少工夫才写出那封信吗？"
MID_RELIANCE_A_#011,"[芙岚] 
而且，说不定他们只是还没写好而已。 
现在放弃还太早喽。"
MID_RELIANCE_A_#012,"[花月] 
芙岚……"
MID_RELIANCE_A_#013,"[芙岚] 
再等一阵子看看吧。 
等收到信后，我们再来一起写回信！"
MID_RELIANCE_A_#014,"[花月] 
尔说得对， 
或许是余太心急了。"
MID_RELIANCE_A_#015,"[花月] 
对了！在等回信的这段时间， 
余能看看芙岚父母写的信吗？"
MID_RELIANCE_A_#016,"[芙岚] 
我父母的信吗？"
MID_RELIANCE_A_#017,"[花月] 
嗯！尔手上拿着的东西…… 
就是父母的来信吧？"
MID_RELIANCE_A_#018,"[花月] 
余很好奇家人的信长什么样子。 
不介意的话，能让余看一下吗？"
MID_RELIANCE_A_#019,"[芙岚] 
可以啊， 
反正都是些千篇一律的内容。"
MID_RELIANCE_A_#020,"[芙岚] 
不过，还是先确认一下好了…… 
我看看……啊！"
MID_RELIANCE_A_#021,"[花月] 
有什么有趣的事吗？ 
余也来看看……"
MID_RELIANCE_A_#022,"[花月] 
我听凡德雷说了…… 
别贪玩……要认真锻炼……"
MID_RELIANCE_A_#023,"[花月] 
没想到是被家人念了一顿呢。"
MID_RELIANCE_A_#024,"[芙岚] 
啊～！ 
花月！这种信不能给你看啦！"
MID_RELIANCE_A_#025,"[花月] 
哎呀呀， 
看来余得陪尔好好锻炼一下才行呢。"
MID_RELIANCE_A_#026,"[芙岚] 
没有这个必要啦！"
MID_RELIANCE_A_#027,"[花月] 
就当作是教余写信的谢礼吧。 
我们可是朋友，不用客气哦。"
MID_RELIANCE_A_#028,"[花月] 
朋友之间就是要互相帮忙嘛！"
MID_RELIANCE_A_#029,"[芙岚] 
怎么会这样～！"
MID_RELIANCE_B_#001,"[花月] 2 
[花月] 
唔……不对。"
MID_RELIANCE_B_#002,"[花月] 
嗯…… 
究竟该如何是好……"
MID_RELIANCE_B_#003,"[芙岚] 1 
[芙岚] 
花～月！"
MID_RELIANCE_B_#004,"[花月] 
哇──！？"
MID_RELIANCE_B_#005,"[花月] 
哦，是芙岚啊…… 
真是不好意思，余的反应太大了。"
MID_RELIANCE_B_#006,"[芙岚] 
你刚才在做什么？ 
我好像看到你把东西藏到手里耶。"
MID_RELIANCE_B_#007,"[花月] 
没……没什么啦～ 
余才没有藏东西呢～"
MID_RELIANCE_B_#008,"[芙岚] 
你这谎也撒得太烂了吧…… 
没藏东西的话就打开让我看看！"
MID_RELIANCE_B_#009,"[花月] 
哇！ 
芙岚，住手啊！"
MID_RELIANCE_B_#010,"[芙岚] 
嗯？ 
这张小纸片……是什么？"
MID_RELIANCE_B_#011,"[芙岚] 
啊！ 
这该不会是信吧！？"
MID_RELIANCE_B_#012,"[花月] 
……没错。"
MID_RELIANCE_B_#013,"[芙岚] 
对，对不起！这还你！ 
我可没看到内容哦！"
MID_RELIANCE_B_#014,"[花月] 
尔不必道歉。 
反正这封信跟白纸没什么区别。"
MID_RELIANCE_B_#015,"[芙岚] 
你怎么会在写信啊？ 
之前不是说不想写吗？"
MID_RELIANCE_B_#016,"[花月] 
只是一时心血来潮罢了。"
MID_RELIANCE_B_#017,"[花月] 
但余不知道该写什么才好。 
看来余终究是写不了信啊。"
MID_RELIANCE_B_#018,"[芙岚] 
才，才没这回事呢！"
MID_RELIANCE_B_#019,"[芙岚] 
你的家人一定很担心…… 
就算只是交代一下近况，他们也会很高兴的。"
MID_RELIANCE_B_#020,"[芙岚] 
我会帮你一起想的…… 
你就试着写信给家人吧。"
MID_RELIANCE_B_#021,"[花月] 
芙岚……"
MID_RELIANCE_B_#022,"[花月] 
呵呵……尔是在担心余的家人吗？ 
能有尔这样的好朋友，余可真幸运啊。"
MID_RELIANCE_B_#023,"[花月] 
好吧，余就再试一次。 
芙岚，麻烦尔了。"
MID_RELIANCE_C_#001,"[芙岚] 1 
[芙岚] 
我……很好…… 
家里……还好吗……"
MID_RELIANCE_C_#002,"[花月] 2 
[花月] 
芙岚， 
尔在写信给谁啊？"
MID_RELIANCE_C_#003,"[芙岚] 
写给我的父母哦。 
不像这样偶尔交代一下近况，他们就会担心呢。"
MID_RELIANCE_C_#004,"[芙岚] 
我都已经长这么大了说，真是伤脑筋啊。"
MID_RELIANCE_C_#005,"[花月] 
原来如此， 
芙岚是父母的掌上明珠啊！"
MID_RELIANCE_C_#006,"[花月] 
真是一对疼爱子女的父母！ 
尔其实内心也很高兴吧？"
MID_RELIANCE_C_#007,"[芙岚] 
这，这个嘛…… 
是有一点啦……"
MID_RELIANCE_C_#008,"[芙岚] 
花月，你离乡背井跑来这里…… 
要是收到家人的信也会很高兴吧？"
MID_RELIANCE_C_#009,"[花月] 
这就不清楚了。 
毕竟余从未收过任何人的来信。"
MID_RELIANCE_C_#010,"[芙岚] 
咦……为什么？"
MID_RELIANCE_C_#011,"[花月] 
余几经漂泊后才来到此地， 
根本没有人知道余的去向。"
MID_RELIANCE_C_#012,"[花月] 
而且…… 
余的家人应该还没有消气吧。"
MID_RELIANCE_C_#013,"[芙岚] 
那你在离开故乡后， 
一次都没回去过吗？"
MID_RELIANCE_C_#014,"[花月] 
没错。"
MID_RELIANCE_C_#015,"[芙岚] 
这样可不行啊！ 
我要是你的家人，早就担心死了！"
MID_RELIANCE_C_#016,"[芙岚] 
对了， 
花月也写封信给故乡的家人吧。"
MID_RELIANCE_C_#017,"[芙岚] 
他们收到信一定会很开心。"
MID_RELIANCE_C_#018,"[花月] 
要余写信给家人？ 
不行不行，绝对不行。"
MID_RELIANCE_C_#019,"[芙岚] 
为什么～？ 
明明是个很棒的主意啊。"
MID_RELIANCE_C_#020,"[花月] 
尔的好意，余心领了。 
但余也有自己的苦衷。"
MID_RELIANCE_C_#021,"[花月] 
谢谢尔的关心。 
真不愧是余的小不点朋友！"
MID_RELIANCE_C_#022,"[芙岚] 
真是的，“小不点”是多余的啦！"
