key,text
MID_RELIANCE_A_#001,"[芙岚] 1 
[菈琵思] 2"
MID_RELIANCE_A_#002,"[菈琵思] 
呼……呼……"
MID_RELIANCE_A_#003,"[菈琵思] 
看招──！！"
MID_RELIANCE_A_#004,"[菈琵思] 
呼…… 
这样就可以放心了……"
MID_RELIANCE_A_#005,"[芙岚] 
菈琵思……"
MID_RELIANCE_A_#006,"[菈琵思] 
芙岚？ 
你怎么会跑来这里？"
MID_RELIANCE_A_#007,"[芙岚] 
我看到你一个人往森林走， 
觉得好奇就跟了上去。"
MID_RELIANCE_A_#008,"[芙岚] 
然后就看到你在跟熊搏斗……"
MID_RELIANCE_A_#009,"[菈琵思] 
…………"
MID_RELIANCE_A_#010,"[芙岚] 
因为我是个不听话的冒失鬼…… 
所以你才会丢下我，对吧？"
MID_RELIANCE_A_#011,"[菈琵思] 
芙岚，对不起。 
这只熊太危险了，我不能让你冒险。"
MID_RELIANCE_A_#012,"[芙岚] 
果然……是这样啊……"
MID_RELIANCE_A_#013,"[菈琵思] 
我不是这个意思。 
芙岚，你没发现自己进步了吗？"
MID_RELIANCE_A_#014,"[芙岚] 
咦……？"
MID_RELIANCE_A_#015,"[菈琵思] 
你看到我和熊在搏斗， 
也没有大吼大叫了啊。"
MID_RELIANCE_A_#016,"[芙岚] 
可是……就这点小事……"
MID_RELIANCE_A_#017,"[菈琵思] 
我认为成功就是由这些 
微小的进步累计而来的哦。"
MID_RELIANCE_A_#018,"[芙岚] 
呜……！菈琵思……"
MID_RELIANCE_A_#019,"[菈琵思] 
真是的，别哭啦。 
对了，要不要一起吃个午饭啊？"
MID_RELIANCE_A_#020,"[芙岚] 
午饭？"
MID_RELIANCE_A_#021,
MID_RELIANCE_A_#022,"[菈琵思] 
熊肉汤做好喽。"
MID_RELIANCE_A_#023,"[芙岚] 
看，看起来真好吃……"
MID_RELIANCE_A_#024,"[菈琵思] 
好香啊，真令人怀念…… 
我在故乡时常喝这种汤呢。"
MID_RELIANCE_A_#025,"[芙岚] 
虽然菈琵思不喜欢聊自己家乡的事， 
但感觉你还是有很多美好的回忆呢。"
MID_RELIANCE_A_#026,"[菈琵思] 
呵呵，听你这么一说…… 
好像真的是这么回事呢。"
MID_RELIANCE_A_#027,"[菈琵思] 
来，尝尝这碗熊肉汤吧。 
小心烫哦。"
MID_RELIANCE_A_#028,"[芙岚] 
嗯……好烫！！"
MID_RELIANCE_A_#029,"[芙岚] 
呜…… 
烫到舌头了～"
MID_RELIANCE_A_#030,"[菈琵思] 
唉，我不是提醒你了吗？"
MID_RELIANCE_A_#031,"[芙岚] 
呜～！ 
我果然是个冒失鬼～！"
MID_RELIANCE_B_#001,"[菈琵思] 2 
[芙岚] 1"
MID_RELIANCE_B_#002,"[芙岚] 
这里就是有恶熊出没的森林。"
MID_RELIANCE_B_#003,"[菈琵思] 
芙岚，记得保持警戒哦。 
发狂的熊不知道会从哪里冲出来。"
MID_RELIANCE_B_#004,"[芙岚] 
嗯，嗯……"
MID_RELIANCE_B_#005,"[菈琵思] 
就算突然碰上了熊， 
也绝对不能大吼大叫，惊慌失措哦。"
MID_RELIANCE_B_#006,"[芙岚] 
熊突然攻击过来的话， 
只要装死就好了对吧？"
MID_RELIANCE_B_#007,"[菈琵思] 
那是错误的做法。被熊发现时应该要 
慢慢后退，或是爬到树上躲起来才对。"
MID_RELIANCE_B_#008,"[芙岚] 
菈琵思对熊还真熟悉呢。"
MID_RELIANCE_B_#009,"[菈琵思] 
我出生在乡下的村子， 
那里经常会有熊出没。"
MID_RELIANCE_B_#010,"[菈琵思] 
而熊会毁掉村民们辛苦种出来的农作物。"
MID_RELIANCE_B_#011,"[菈琵思] 
我的村子本来就穷到连温饱都成问题。 
为了生存下去，我们只能拼死一搏。"
MID_RELIANCE_B_#012,"[芙岚] 
原来是这样啊…… 
菈琵思就是因此而变强的吧。"
MID_RELIANCE_B_#013,"[菈琵思] 
我不太想被别人知道自己出身贫寒的过去。 
芙岚，你可以帮我保密吗？"
MID_RELIANCE_B_#014,"[芙岚] 
嗯，我不会说出去的。 
我以后也要变得跟菈琵思一样厉害。"
MID_RELIANCE_B_#015,"[芙岚] 
啊。"
