key,text
MID_RELIANCE_A_#001,"[芙岚] 1 
[芙岚] 
唉…… 
真是想不通……"
MID_RELIANCE_A_#002,"[芙岚] 
蜜丝提拉公主…… 
那天为什么会走掉呢……？"
MID_RELIANCE_A_#003,"[蜜丝提拉] 2 

[蜜丝提拉] 
喝──！！ 
嘿呀──！！"
MID_RELIANCE_A_#004,"[芙岚] 
蜜丝提拉公主？"
MID_RELIANCE_A_#005,"[蜜丝提拉] 
呼……呼…… 
我得变得更强才行……"
MID_RELIANCE_A_#006,"[芙岚] 
蜜丝提拉公主， 
原来你在这里锻炼啊。"
MID_RELIANCE_A_#007,"[蜜丝提拉] 
毕竟我身为一国的公主， 
必须为了国家挺身而战啊。"
MID_RELIANCE_A_#008,"[蜜丝提拉] 
…………"
MID_RELIANCE_A_#009,"[蜜丝提拉] 
上次中途离开真的很抱歉。 
你特地花时间陪我，我却……"
MID_RELIANCE_A_#010,"[芙岚] 
没，没关系！ 
毕竟你很忙嘛。"
MID_RELIANCE_A_#011,"[蜜丝提拉] 
之前我太专心挑衣服了， 
完全忘了锻炼的时间呢。"
MID_RELIANCE_A_#012,"[芙岚] 
原来如此……"
MID_RELIANCE_A_#013,"[芙岚] 
我还以为是你不喜欢我挑的衣服， 
所以才走掉了……"
MID_RELIANCE_A_#014,"[蜜丝提拉] 
才没这回事啦！ 
芙岚挑衣服的眼光很好哦！"
MID_RELIANCE_A_#015,"[芙岚] 
那，那么…… 
为什么那时候你的样子有点奇怪呢？"
MID_RELIANCE_A_#016,"[蜜丝提拉] 
呃……这个嘛…… 
你听了之后不要生气哦……"
MID_RELIANCE_A_#017,"[蜜丝提拉] 
……索尔姆王国终年酷热， 
所以我不太喜欢穿厚衣服。"
MID_RELIANCE_A_#018,"[蜜丝提拉] 
而且在遭遇敌袭时， 
轻便的服装也比较方便活动啊。"
MID_RELIANCE_A_#019,"[芙岚] 
啊！原来是这样啊……"
MID_RELIANCE_A_#020,"[蜜丝提拉] 
很抱歉之前没有跟你说清楚…… 
不过，我真的觉得那件衣服很可爱哦！"
