key,text
MID_RELIANCE_A_#001,"[洁德] 1 
[花月] 2 
[花月] 
哎呀，尔果然名不虚传！ 
没想到余会被逼到如此境地！"
MID_RELIANCE_A_#002,"[洁德] 
你也很厉害啊，花月。 
不过，我们最后还是没能分出高下呢。"
MID_RELIANCE_A_#003,"[花月] 
虽然这次打成了平手， 
但还是令人获益良多啊。"
MID_RELIANCE_A_#004,"[洁德] 
是啊， 
我也这么觉得。"
MID_RELIANCE_A_#005,"[花月] 
不过，为什么你会这么强呢？ 
尔该不会是出生在习武世家吧？"
MID_RELIANCE_A_#006,"[洁德] 
才不是呢， 
我的家庭很普通哦。"
MID_RELIANCE_A_#007,"[洁德] 
父亲是宝石鉴定师， 
母亲则是制作宝石饰品的工匠。"
MID_RELIANCE_A_#008,"[花月] 
感觉与征战完全扯不上边呢。"
MID_RELIANCE_A_#009,"[洁德] 
是啊， 
我一开始也是在母亲身边帮忙。"
MID_RELIANCE_A_#010,"[洁德] 
但我的手不太灵巧…… 
后来就跑去矿山担任护卫了。"
MID_RELIANCE_A_#011,"[花月] 
护卫？ 
真是令人意想不到！"
MID_RELIANCE_A_#012,"[洁德] 
会吗？ 
不过我本来就满喜欢活动身体的。"
MID_RELIANCE_A_#013,"[洁德] 
而且有不少无赖会对矿石动歪脑筋， 
正好让我练练身体……那时候每天都过得很充实呢。"
MID_RELIANCE_A_#014,"[花月] 
原、原来如此…… 
或许这就是尔强大的秘密吧……"
MID_RELIANCE_A_#015,"[洁德] 
那样的生活持续了一阵子后， 
我被大家起了个“铁壁洁德”的称号。"
MID_RELIANCE_A_#016,"[洁德] 
不久后，某位听到了这个传闻的 
王城士兵便劝我去参加武术大会……"
MID_RELIANCE_A_#017,"[花月] 
于是尔就漂亮地夺下了冠军，是吧？"
MID_RELIANCE_A_#018,"[洁德] 
这项功绩收到了王室的认可， 
随后我就成为王子的部下了。"
MID_RELIANCE_A_#019,"[洁德] 
不过话说回来， 
我很少有机会说自己的过去……"
MID_RELIANCE_A_#020,"[洁德] 
每个人都有一段自己的故事…… 
就和你说得一样呢。"
MID_RELIANCE_A_#021,"[花月] 
是啊……人们在迈向未来的同时， 
也在不断地为自己的故事写下新章。"
MID_RELIANCE_A_#022,"[洁德] 
就像是写小说般， 
一页一页地写出新的故事……"
MID_RELIANCE_A_#023,"[花月] 
对了，洁德。 
何时要再来一较高下啊？"
MID_RELIANCE_A_#024,"[洁德] 
我随时都可以哦。"
MID_RELIANCE_A_#025,"[洁德] 
毕竟和你的比划…… 
也会成为我人生故事的一章呢。"
MID_RELIANCE_B_#001,"[洁德] 1 
[花月] 2 
[花月] 
余出生在索尔姆王国东北部的边境之地…… 
一个被称作白色沙漠的地方。"
MID_RELIANCE_B_#002,"[花月] 
由于地处偏僻、鲜少有外地人来， 
因此造就了许多独一无二的文化。"
MID_RELIANCE_B_#003,"[洁德] 
举例来说呢？"
MID_RELIANCE_B_#004,"[花月] 
就拿余的服装来说好了…… 
大家应该都没看过这种衣服吧？"
MID_RELIANCE_B_#005,"[花月] 
而吾等盖房子时用的全是木材， 
建筑方式也跟其他地方不太一样。"
