key,text
MID_RELIANCE_A_#001,"[菈琵思] 1 
[戈尔德玛莉] 2 
[菈琵思] 
戈尔德玛莉， 
你的便当做好了哦。"
MID_RELIANCE_A_#002,"[戈尔德玛莉] 
哇…… 
这是什么料理啊……？"
MID_RELIANCE_A_#003,"[菈琵思] 
这是用我们村特产的马铃薯做成的薯团子， 
你就尝尝看吧。"
MID_RELIANCE_A_#004,"[戈尔德玛莉] 
好棒……我还是第一次看到这种料理呢。 
那我就不客气了……"
MID_RELIANCE_A_#005,"[戈尔德玛莉] 
咦？！"
MID_RELIANCE_A_#006,"[戈尔德玛莉] 
好好吃…… 
吃起来甜滋滋的……！"
MID_RELIANCE_A_#007,"[菈琵思] 
那是马铃薯本身的甜味， 
我完全没放砂糖哦。"
MID_RELIANCE_A_#008,"[戈尔德玛莉] 
不好意思…… 
我可以把这些全都吃光吗？"
MID_RELIANCE_A_#009,"[菈琵思] 
当然可以， 
这是我父母种的，多吃点吧。"
MID_RELIANCE_A_#010,"[戈尔德玛莉] 
你老家是务农的吗？"
MID_RELIANCE_A_#011,"[菈琵思] 
嗯。 
不过土地很贫瘠，所以我们家很穷……"
MID_RELIANCE_A_#012,"[菈琵思] 
而且到处都有熊出没， 
我们还会全家合力猎熊来吃呢。"
MID_RELIANCE_A_#013,"[戈尔德玛莉] 
原来如此…… 
所以你才会这么熟悉熊啊……"
MID_RELIANCE_A_#014,"[菈琵思] 
熊教会了我许多事情， 
其中最有用的就是战斗技巧了。"
MID_RELIANCE_A_#015,"[菈琵思] 
为了脱离村子的贫穷生活， 
我参加了布罗帝亚的武术大会。"
MID_RELIANCE_A_#016,"[菈琵思] 
没想到自己能在大会夺冠， 
并因此成为史塔卢克殿下的家臣……"
MID_RELIANCE_A_#017,"[菈琵思] 
这全都多亏了熊呢。"
MID_RELIANCE_A_#018,"[菈琵思] 
毕竟…… 
武术大会的参赛者全都比熊弱。"
MID_RELIANCE_A_#019,"[戈尔德玛莉] 
呵呵呵，原来是这样啊……"
MID_RELIANCE_A_#020,"[菈琵思] 
而且，还交到了你这位好朋友， 
真是感谢熊呢。"
MID_RELIANCE_A_#021,"[戈尔德玛莉] 
我很高兴能听到你这么说……"
MID_RELIANCE_A_#022,"[戈尔德玛莉] 
我不常对别人敞开心扉…… 
但跟你在一起时，我感到很自在……"
MID_RELIANCE_A_#023,"[戈尔德玛莉] 
可以的话， 
我以后也能来找你聊天吗……？"
MID_RELIANCE_A_#024,"[菈琵思] 
嗯，我很乐意哦！"
MID_RELIANCE_A_#025,"[戈尔德玛莉] 
我们都是村子长大的乡下人…… 
一起聊聊那些嚣张的城里人不懂的话题吧……"
MID_RELIANCE_A_#026,"[菈琵思] 
嚣张的城里人……？！ 
戈尔德玛莉，你好幽默啊！"
MID_RELIANCE_A_#027,"[菈琵思] 
我很期待跟你聊天哦。 
真高兴能和你成为好朋友。"
MID_RELIANCE_B_#001,"[菈琵思] 1 
[戈尔德玛莉] 2 
[戈尔德玛莉] 
菈琵思小姐， 
前阵子真是谢谢你了。"
MID_RELIANCE_B_#002,"[戈尔德玛莉] 
老家的父母来信说…… 
用了你的办法后，熊就几乎不再闹事了……"
MID_RELIANCE_B_#003,"[菈琵思] 
太好了，那我也放心了。"
MID_RELIANCE_B_#004,"[戈尔德玛莉] 
这是我父母的一点心意， 
还请你收下……"
MID_RELIANCE_B_#005,"[菈琵思] 
咦？这是什么？"
MID_RELIANCE_B_#006,"[戈尔德玛莉] 
这是我家的温泉旅馆的邀请函。 
等战事平息后，请你一定要来玩……"
MID_RELIANCE_B_#007,"[戈尔德玛莉] 
这么说或许有点夸张…… 
但我家的温泉旅馆可是世界第一哦……"
MID_RELIANCE_B_#008,"[菈琵思] 
哇！我好高兴！ 
谢谢你们的邀请！"
MID_RELIANCE_B_#009,"[菈琵思] 
不过，你的言行举止这么优雅， 
真不像是乡下出身的人呢。"
MID_RELIANCE_B_#010,"[戈尔德玛莉] 
你过奖了…… 
虽然我的确是比谁都光彩夺目……"
MID_RELIANCE_B_#011,"[菈琵思] 
还是说你在乡下出生，但是在城里长大的？"
MID_RELIANCE_B_#012,"[戈尔德玛莉] 
不…… 
我直到几年前都还住在老家……"
MID_RELIANCE_B_#013,"[戈尔德玛莉] 
在离乡求学前， 
我一直都待在村子里……"
MID_RELIANCE_B_#014,"[菈琵思] 
这样啊。 
我们的村子可能不太一样吧。"
MID_RELIANCE_B_#015,"[戈尔德玛莉] 
我对你的家乡很感兴趣…… 
可以跟我分享那里的一切吗……"
MID_RELIANCE_B_#016,"[菈琵思] 
那么，下次就换我来介绍自己的村子吧。"
MID_RELIANCE_B_#017,"[菈琵思] 
我最近正好拿到一些村子的特产， 
就用那些帮你做便当吧。"
MID_RELIANCE_B_#018,"[戈尔德玛莉] 
便当吗……平时都是我做给别人吃， 
换成别人给我做还真有点兴奋呢……"
MID_RELIANCE_B_#019,"[戈尔德玛莉] 
谢谢你。 
我很期待哦……"
MID_RELIANCE_C_#001,"[菈琵思] 1 
[戈尔德玛莉] 2 
[戈尔德玛莉] 
唉……好担心啊……"
MID_RELIANCE_C_#002,"[菈琵思] 
怎么了吗？"
MID_RELIANCE_C_#003,"[戈尔德玛莉] 
我老家是在村里经营温泉旅馆的， 
而我是家里的独生女……"
MID_RELIANCE_C_#004,"[戈尔德玛莉] 
不是我自夸，我家的温泉旅馆 
在伊尔席翁的温泉胜地中是一等一的哦……"
MID_RELIANCE_C_#005,"[菈琵思] 
哦…… 
真厉害啊。"
MID_RELIANCE_C_#006,"[戈尔德玛莉] 
但这都不重要，重要的是我刚才收到父母的联络…… 
他们说当地有熊出没，不知道该怎么办……"
MID_RELIANCE_C_#007,"[菈琵思] 
熊？"
MID_RELIANCE_C_#008,"[菈琵思] 
那你赶紧写一封信， 
告诉他们驱熊的方法吧。"
MID_RELIANCE_C_#009,"[戈尔德玛莉] 
可、可是…… 
我不懂怎么对付熊啊……"
MID_RELIANCE_C_#010,"[戈尔德玛莉] 
虽然我多才多艺， 
但毕竟不是万能的……"
MID_RELIANCE_C_#011,"[菈琵思] 
包在我身上吧。其实我老家也在乡下， 
对付熊的办法还算是略知一二。"
MID_RELIANCE_C_#012,"[戈尔德玛莉] 
真的吗？"
MID_RELIANCE_C_#013,"[菈琵思] 
比方说， 
如果遇上熊在偷吃田里的菜……"
MID_RELIANCE_C_#014,"[菈琵思] 
就跟它说， 
“在这里吃会遭殃的哦，去别处吃吧”"
MID_RELIANCE_C_#015,"[菈琵思] 
熊听到后， 
就会带着一脸“知道了”的表情离开。"
MID_RELIANCE_C_#016,"[戈尔德玛莉] 
…………"
MID_RELIANCE_C_#017,"[菈琵思] 
我可没骗你哦。 
这个办法我已经实践过很多次了。"
MID_RELIANCE_C_#018,"[戈尔德玛莉] 
好、好吧。 
我相信你。"
