key,text
MID_RELIANCE_A_#001,"[霖丹] 1 

[霖丹] 
…………"
MID_RELIANCE_A_#002,"[莫布] 2 
[莫布] 
霖丹先生， 
你在看妻子的画像吗？"
MID_RELIANCE_A_#003,"[霖丹] 
哈哈哈…… 
这还真是让你见笑了。"
MID_RELIANCE_A_#004,"[霖丹] 
老夫都这把年纪了…… 
还是放不下过去的事情呐。"
MID_RELIANCE_A_#005,"[莫布] 
这没什么好丢脸的吧。 
因为情深，所以难忘啊。"
MID_RELIANCE_A_#006,"[霖丹] 
是吗……"
MID_RELIANCE_A_#007,"[霖丹] 
老夫虽然有三个孩子， 
但他们都各自成家立业了。"
MID_RELIANCE_A_#008,"[霖丹] 
孩子们有自己的家庭生活…… 
每年我们见面的时间也越变越少了。"
MID_RELIANCE_A_#009,"[霖丹] 
当人觉得寂寞时…… 
回忆就会变得格外耀眼呐。"
MID_RELIANCE_A_#010,"[霖丹] 
虽然自己仍活在当下， 
但回忆的时间却变得越来越多。"
MID_RELIANCE_A_#011,"[霖丹] 
这究竟是好还是坏…… 
老夫也说不清楚了。"
MID_RELIANCE_A_#012,"[莫布] 
一个人会沉浸在自己的过去， 
表示他这一生过得十分充实。"
MID_RELIANCE_A_#013,"[莫布] 
希望我也可以留下这样的回忆。 
毕竟……我的人生充满了后悔。"
MID_RELIANCE_A_#014,"[霖丹] 
别担心…… 
你一定会过上比老夫还充实的人生哦。"
MID_RELIANCE_A_#015,"[莫布] 
呵，那我这次就听听老人言吧。 
谢谢你，霖丹先生。"
MID_RELIANCE_A_#016,"[霖丹] 
很好很好。 
那么，你就来帮老夫做实验吧。"
MID_RELIANCE_A_#017,"[莫布] 
结果还是离不开玉米吗！？"
MID_RELIANCE_A_#018,"[霖丹] 
没吃过用狂雷做的爆米花…… 
你一定会后悔一辈子哦。"
MID_RELIANCE_A_#019,"[莫布] 
唉…… 
请不要打歪喽。"
MID_RELIANCE_A_#020,"[霖丹] 
哈哈哈！交给老夫吧！ 
好了，实验要开始喽！！"
MID_RELIANCE_B_#001,"[霖丹] 1 
[莫布] 2 
[莫布] 
嗯？ 
霖丹先生，你的东西掉了。"
MID_RELIANCE_B_#002,"[霖丹] 
哎呀，老夫还真是不小心。 
谢谢你啊，莫布。"
MID_RELIANCE_B_#003,"[莫布] 
这是……美女的画像吗？"
MID_RELIANCE_B_#004,"[霖丹] 
呵呵呵。 
美女吗？真是令人开心啊。"
MID_RELIANCE_B_#005,"[霖丹] 
画中的女子是老夫的妻子哦。"
MID_RELIANCE_B_#006,"[莫布] 
原来如此， 
这位女士就是霖丹先生的妻子啊。"
MID_RELIANCE_B_#007,"[霖丹] 
她不只是个美人，性格也十分温柔…… 
在老夫的心中她就是最棒的妻子哦。"
MID_RELIANCE_B_#008,"[霖丹] 
虽然内人已离世许久， 
但老夫对她的思念却不减反增啊。"
MID_RELIANCE_B_#009,"[霖丹] 
唉……真想再见妻子一面呐…… 
她亲手做的料理，她的笑容，老夫至今无法忘怀……"
MID_RELIANCE_B_#010,"[莫布] 
请不要难过了。 
如果有我可以帮忙的地方，请尽管说。"
MID_RELIANCE_B_#011,"[霖丹] 
真的吗？ 
谢谢你啊，莫布。"
MID_RELIANCE_B_#012,"[霖丹] 
那么，请你把这根玉米丢到天上吧。"
MID_RELIANCE_B_#013,"[莫布] 
为什么又扯到玉米了！？"
MID_RELIANCE_B_#014,"[莫布] 
这不是之前那个 
用狂雷做爆米花的实验吗！？"
MID_RELIANCE_B_#015,"[霖丹] 
内人生前最喜欢吃的东西就是玉米。 
老夫认为……她一定也想知道玉米的其他吃法。"
MID_RELIANCE_B_#016,"[霖丹] 
好了，你随时都可以开始！ 
老夫已经准备好施放狂雷了！"
MID_RELIANCE_B_#017,"[霖丹] 
施放的角度也非常完美！ 
应该……不，几乎不会失手呐！"
MID_RELIANCE_B_#018,"[莫布] 
抱歉，请容我拒绝。 
我先告辞了，霖丹先生。"
MID_RELIANCE_B_#019,"[莫布] 

[霖丹] 
莫布！ 
等等啊，莫布！"
MID_RELIANCE_C_#001,"[霖丹] 1 
[莫布] 2 

[霖丹] 
莫布，你现在有空吗？ 
老夫想请你帮忙做个实验呐。"
MID_RELIANCE_C_#002,"[莫布] 
是霖丹先生啊。 
没问题，我该做些什么呢？"
MID_RELIANCE_C_#003,"[霖丹] 
老夫想请你 
把这根玉米丢到天上。"
MID_RELIANCE_C_#004,"[莫布] 
小事一桩。 
不过，这是什么实验呢？"
MID_RELIANCE_C_#005,"[霖丹] 
只要对空中的玉米施放狂雷， 
里头的玉米粒就会膨胀爆出……。"
MID_RELIANCE_C_#006,"[霖丹] 
根据老夫的计算， 
这就是爆米花的最佳做法呐。"
MID_RELIANCE_C_#007,"[莫布] 
……不会有危险吗？"
MID_RELIANCE_C_#008,"[霖丹] 
风险还是有的…… 
毕竟伟大的实验总是伴随着失败。"
MID_RELIANCE_C_#009,"[霖丹] 
最坏的情况下，莫布可能会被电成焦炭。"
MID_RELIANCE_C_#010,"[莫布] 
那么请容我拒绝。"
MID_RELIANCE_C_#011,"[霖丹] 
你说什么！ 
没人教过你要敬老尊贤吗！"
MID_RELIANCE_C_#012,"[莫布] 
那我倒要问你……没人教过你 
“不能随便对人施放狂雷”吗？"
MID_RELIANCE_C_#013,"[霖丹] 
可恶…… 
竟然讲这种老头才会说的歪理。"
MID_RELIANCE_C_#014,"[莫布] 
如果是更有意义的实验， 
我很愿意帮忙。"
MID_RELIANCE_C_#015,"[莫布] 
但我没办法为了一根玉米赌上性命。 
抱歉了，霖丹先生。"
MID_RELIANCE_C_#016,"[霖丹] 
唉……没办法了。 
这次就先放弃吧。"
