key,text
MID_RELIANCE_A_#001,"[琉尔] 1 
[安娜] 2 

[琉尔] 
安娜小姐， 
项链进展得还顺利吗？"
MID_RELIANCE_A_#002,"[安娜] 
神龙大人！ 
你看！我做好一半了！"
MID_RELIANCE_A_#003,"[琉尔] 
哇……！好可爱！"
MID_RELIANCE_A_#004,"[安娜] 
这都是多亏了你的点子，真的太谢谢了！"
MID_RELIANCE_A_#005,"[安娜] 
对不起，之前对你说了丧气话， 
但是现在有了方向，我不会再那么说了。"
MID_RELIANCE_A_#006,"[琉尔] 
你真坚强。"
MID_RELIANCE_A_#007,"[琉尔] 
不过，倾诉苦闷并不是坏事。 
就算是独当一面的大人，也会吐露软弱的心声。"
MID_RELIANCE_A_#008,"[琉尔] 
觉得难受时，尽管来找我倾诉吧。"
MID_RELIANCE_A_#009,"[安娜] 
你能这么说我真是太感激了！ 
神龙大人，你是我的恩人哦。"
MID_RELIANCE_A_#010,"[安娜] 
其实我在想，要不要把这次推出的项链 
取名为“神龙 ”……"
MID_RELIANCE_A_#011,"[琉尔] 
什么……？"
MID_RELIANCE_A_#012,"[琉尔] 
谢、谢谢你的好意，但我劝你还是别了吧。 
取其他更好卖的名字比较好……"
MID_RELIANCE_A_#013,"[安娜] 
啊！神龙大人你害羞了！好可爱～！ 
就决定叫这名了～！"
MID_RELIANCE_A_#014,"[琉尔] 
什么？！至少别那么直白， 
多少改得更时髦一些吧！"
MID_RELIANCE_A_#015,"[安娜] 
我听不见、听不见你说什么～！"
MID_RELIANCE_A_#016,"[安娜] 
好～我要加把劲全部做完！ 
到时候项链一定会被一抢而空的！"
MID_RELIANCE_A_#017,"[琉尔] 
唉……看她那么兴奋…… 
就不跟她计较名字的事了。"
MID_RELIANCE_A_#018,"[琉尔] 
安娜小姐，祝你生意兴隆哦。"
MID_RELIANCE_B_#001,"[琉尔] 1 
[安娜] 2 

[琉尔] 
安娜小姐， 
你后来想到新商品的好点子了吗？"
MID_RELIANCE_B_#002,"[安娜] 
不，完全没有……"
MID_RELIANCE_B_#003,"[安娜] 
…………"
MID_RELIANCE_B_#004,"[琉尔] 
安娜小姐？还、还好吗？ 
你该不会哭了……"
MID_RELIANCE_B_#005,"[安娜] 
我才没哭！！"
MID_RELIANCE_B_#006,"[安娜] 
但是我有点泄气， 
我以为自己已经是独当一面的大人了……"
MID_RELIANCE_B_#007,"[安娜] 
结果到头来，不论外表还是内心， 
都还只是个不成熟的小孩。"
MID_RELIANCE_B_#008,"[安娜] 
所以才完全想不出 
情人节的新商品……"
MID_RELIANCE_B_#009,"[琉尔] 
……这样啊。 
那我来帮你一把。"
MID_RELIANCE_B_#010,"[安娜] 
咦？"
MID_RELIANCE_B_#011,"[琉尔] 
你再听听看我重新想的新商品方案吧。"
MID_RELIANCE_B_#012,"[琉尔] 
后来我一直在想， 
如果是用工艺品制成的项链，你觉得怎么样？"
MID_RELIANCE_B_#013,"[安娜] 
可是项链……"
MID_RELIANCE_B_#014,"[琉尔] 
项链确实是随处可见的礼物……"
MID_RELIANCE_B_#015,"[琉尔] 
但我想如果用颜色风格各异的工艺品来做， 
那么每条项链都会成为独一无二的孤品吧？"
MID_RELIANCE_B_#016,"[琉尔] 
安娜小姐， 
我记得你的故乡好像盛产工艺品？"
MID_RELIANCE_B_#017,"[琉尔] 
把那些工艺品用绳子串起来做成项链就好了！"
MID_RELIANCE_B_#018,"[安娜] 
…………"
MID_RELIANCE_B_#019,"[琉尔] 
不行吗……？"
MID_RELIANCE_B_#020,"[安娜] 
不，这点子很好。 
听起来很棒……！"
MID_RELIANCE_B_#021,"[安娜] 
谢谢你，神龙大人！ 
我好像有干劲了！"
MID_RELIANCE_B_#022,"[琉尔] 
那真是太好了，安娜小姐！"
MID_RELIANCE_C_#001,"[琉尔] 1 
[安娜] 2 
[安娜] 
嗯…… 
有什么好点子呢……"
MID_RELIANCE_C_#002,"[琉尔] 
安娜，你在想什么？"
MID_RELIANCE_C_#003,"[安娜] 
不对，要叫我安娜小姐。 
我正在思考新商品。"
MID_RELIANCE_C_#004,"[琉尔] 
新商品？"
MID_RELIANCE_C_#005,"[安娜] 
神龙大人，你知道情人节吗？"
MID_RELIANCE_C_#006,"[琉尔] 
嗯，听说过。 
那天好像要和恋人互送礼物的样子。"
MID_RELIANCE_C_#007,"[安娜] 
没错，就是那个节日。"
MID_RELIANCE_C_#008,"[安娜] 
恋人们每年都会互送鲜花， 
但总是这个套路会腻的吧。"
MID_RELIANCE_C_#009,"[安娜] 
所以我想推出划时代的崭新商品， 
来颠覆传统观念、引发变革！"
MID_RELIANCE_C_#010,"[琉尔] 
哇，你懂好多艰涩的词汇哦。"
MID_RELIANCE_C_#011,"[安娜] 
真是的，别总把我当小孩！ 
神龙大人你也来帮帮我嘛。"
MID_RELIANCE_C_#012,"[安娜] 
我想不到该做什么才好， 
所以希望你跟我一起想。"
MID_RELIANCE_C_#013,"[琉尔] 
嗯……我想想…… 
恋人的纪念日……"
MID_RELIANCE_C_#014,"[琉尔] 
项链怎么样？"
MID_RELIANCE_C_#015,"[安娜] 
呵呵，想不到堂堂神龙大人也挺没创意的呢。"
MID_RELIANCE_C_#016,"[安娜] 
项链那种东西满街都是， 
太平凡了，一点都不新奇。"
MID_RELIANCE_C_#017,"[琉尔] 
唔，这样啊……！"
MID_RELIANCE_C_#018,"[安娜] 
人啊，不会想收到随处可见的东西， 
人们想要的是独一无二的特别礼物。"
MID_RELIANCE_C_#019,"[安娜] 
商人得考虑到这点才行， 
这正是生意难做的地方……"
MID_RELIANCE_C_#020,"[琉尔] 
原来如此……！ 
不要气馁，我们再想想看吧！"
MID_RELIANCE_S_#001,"[琉尔] 1 
[安娜] 2 

[琉尔] 
安娜小姐，今天就是恋人的纪念日了吧。 
新商品卖得如何？"
MID_RELIANCE_S_#002,"[安娜] 
嘿嘿嘿～已经全部卖完了哦。"
MID_RELIANCE_S_#003,"[琉尔] 
真的假的？！"
MID_RELIANCE_S_#004,"[安娜] 
真的真的！ 
一眨眼就卖光了！"
MID_RELIANCE_S_#005,"[琉尔] 
恭喜你啊，安娜小姐！"
MID_RELIANCE_S_#006,"[安娜] 
这都是托了你的福，谢谢你！"
MID_RELIANCE_S_#007,"[琉尔] 
不过，难得你做了新商品， 
真想看一眼成品。"
MID_RELIANCE_S_#008,"[安娜] 
嗯……其实我留了一条， 
你看。"
MID_RELIANCE_S_#009,"[琉尔] 
哇……！做得好精美！ 
难怪大家都想买。"
MID_RELIANCE_S_#010,"[安娜] 
你喜欢的话，就送你吧。"
MID_RELIANCE_S_#011,"[琉尔] 
咦？可是……"
MID_RELIANCE_S_#012,"[安娜] 
这不是商品， 
是做得最好、专属神龙大人的特别非卖品。"
MID_RELIANCE_S_#013,"[安娜] 
希望你可以收下。"
MID_RELIANCE_S_#014,"[琉尔] 
做得最好…… 
我真的可以收下吗？"
MID_RELIANCE_S_#015,"[安娜] 
讨厌，你好迟钝哦。 
你仔细想想我为什么要送你。"
MID_RELIANCE_S_#016,"[安娜] 
毕竟…… 
今天是……特别的日子嘛……"
MID_RELIANCE_S_#017,"[琉尔] 
啊！"
MID_RELIANCE_S_#018,"[安娜] 
我还只是个小孩， 
要当你的恋人可能还太早……"
MID_RELIANCE_S_#019,"[安娜] 
所以这是和你的友情信物！"
MID_RELIANCE_S_#020,"[琉尔] 
…………"
MID_RELIANCE_S_#021,"[琉尔] 
呵呵，真让人开心。 
那我就欣然收下了哦，谢谢你。"
MID_RELIANCE_S_#022,"[琉尔] 
作为交换， 
请你收下这枚“约定戒指”。"
MID_RELIANCE_S_#023,"[安娜] 
咦？！为、为什么？ 
这么重要的东西……"
MID_RELIANCE_S_#024,"[琉尔] 
就是因为重要， 
所以希望安娜小姐你收下。"
MID_RELIANCE_S_#025,"[琉尔] 
虽然当恋人还太早…… 
但你可以当我的搭档不是吗？"
MID_RELIANCE_S_#026,"[安娜] 
……说得对。况且我们已经是 
一起策划过新商品的好搭档了呢！"
MID_RELIANCE_S_#027,"[安娜] 
谢谢你，那我就收下戒指了。 
我真的……好幸福！"
MID_RELIANCE_S_#028,"[琉尔] 
我也是……！"
MID_RELIANCE_S_#029,"[安娜] 
好了，明天开始又有的忙啦。"
MID_RELIANCE_S_#030,"[安娜] 
得委托工匠量产那条项链才行呢。"
MID_RELIANCE_S_#031,"[安娜] 
神龙大人佩戴的同款项链， 
一定会大卖特卖的。"
MID_RELIANCE_S_#032,"[琉尔] 
呵呵，你真是野心勃勃。 
安娜小姐，我会一直支持你的……"
MID_RELIANCE_S_#033,"[琉尔] 
不论你的身分是旅行商人还是我的搭档， 
我都永远支持你。"
MID_RELIANCE_S_#034,"[安娜] 
有你陪我，感觉我能成为世界第一的旅行商人呢。 
要是哪天见到家人……我要好好介绍你，说是我重要的人。"
