key,text
MID_RELIANCE_A_#001,"[琉尔] 1 
[戈尔德玛莉] 2 
[戈尔德玛莉] 
神龙大人…… 
上次非常对不起……"
MID_RELIANCE_A_#002,"[戈尔德玛莉] 
我一高兴就失态了…… 
害您一直陪我到哭完……"
MID_RELIANCE_A_#003,"[琉尔] 
没关系的， 
你恢复精神就好。"
MID_RELIANCE_A_#004,"[戈尔德玛莉] 
在那之后， 
我一直在想小时候的事……"
MID_RELIANCE_A_#005,"[琉尔] 
小时候的事？"
MID_RELIANCE_A_#006,"[戈尔德玛莉] 
我从小到大，一路备受宠爱， 
觉得自己受欢迎是理所当然的……"
MID_RELIANCE_A_#007,"[戈尔德玛莉] 
在伊尔席翁，到了一定年龄就得背井离乡， 
进入学校就读……"
MID_RELIANCE_A_#008,"[戈尔德玛莉] 
我本以为自己会成为人见人爱的校花…… 
但结果有人比我更受欢迎……老实说我大受打击……"
MID_RELIANCE_A_#009,"[戈尔德玛莉] 
那时我才明白…… 
自己并不是这世上最有魅力的人……"
MID_RELIANCE_A_#010,"[琉尔] 
……我多少能体会你的心情。"
MID_RELIANCE_A_#011,"[戈尔德玛莉] 
所以……我非常不甘心…… 
才坚持要让大家都喜欢我……"
MID_RELIANCE_A_#012,"[戈尔德玛莉] 
不过，神龙大人您说过 
我很有魅力对吧……？"
MID_RELIANCE_A_#013,"[琉尔] 
是啊，戈尔德玛莉， 
不论是现在还是在战场上，你一直都很可爱。"
MID_RELIANCE_A_#014,"[戈尔德玛莉] 
……谢谢您。 
托您的福，我完全恢复自信了。"
MID_RELIANCE_A_#015,"[戈尔德玛莉] 
呜呜……！！"
MID_RELIANCE_A_#016,"[琉尔] 
又怎么了？！"
MID_RELIANCE_A_#017,"[戈尔德玛莉] 
一放松下来，我又忍不住流下了 
朝露般晶莹剔透的泪珠……"
MID_RELIANCE_A_#018,"[戈尔德玛莉] 
对不起……神龙大人…… 
我的泪水一时半刻还停不下来……"
MID_RELIANCE_A_#019,"[戈尔德玛莉] 
为了补偿您， 
请您好好欣赏我天使般的哭相吧……"
MID_RELIANCE_A_#020,"[琉尔] 
我知道了， 
我会一直陪着你的。"
MID_RELIANCE_B_#001,"[琉尔] 1 
[戈尔德玛莉] 2 
[戈尔德玛莉] 
呜……呜呜……"
MID_RELIANCE_B_#002,"[琉尔] 
戈尔德玛莉，你在哭吗？！"
MID_RELIANCE_B_#003,"[戈尔德玛莉] 
神龙大人……我很抱歉…… 
哭得梨花带雨……真的很抱歉……"
MID_RELIANCE_B_#004,"[琉尔] 
发生什么事了？ 
不介意的话，跟我说说吧。"
MID_RELIANCE_B_#005,"[戈尔德玛莉] 
好的…… 
老实说……我……非常受欢迎……"
MID_RELIANCE_B_#006,"[琉尔] 
啊？"
MID_RELIANCE_B_#007,"[戈尔德玛莉] 
或许您难以置信…… 
但不论男女老少，大家都很喜欢我……"
MID_RELIANCE_B_#008,"[戈尔德玛莉] 
但是，神龙大人……只有您例外…… 
您完全不为我所动……让我信心全失……！"
MID_RELIANCE_B_#009,"[戈尔德玛莉] 
所以我的眼泪…… 
才像珍珠般一颗颗落个不停……！"
MID_RELIANCE_B_#010,"[琉尔] 
呃、呃……"
MID_RELIANCE_B_#011,"[琉尔] 
我好像不知不觉中伤到了你的心， 
对不起。"
MID_RELIANCE_B_#012,"[戈尔德玛莉] 
神龙大人，您不用道歉……但请告诉我…… 
要怎么做才能博得您的欢心……"
MID_RELIANCE_B_#013,"[琉尔] 
你不用刻意讨我欢心， 
保持你原本的样子就足够有魅力了啊。"
MID_RELIANCE_B_#014,"[戈尔德玛莉] 
有魅力？ 
神龙大人，您认为我有魅力吗……"
MID_RELIANCE_B_#015,"[琉尔] 
那当然， 
谁都会觉得你很有魅力。"
MID_RELIANCE_B_#016,"[琉尔] 
所以不需要想办法讨我欢心， 
来，放轻松吧？"
MID_RELIANCE_B_#017,"[戈尔德玛莉] 
…………"
MID_RELIANCE_B_#018,"[戈尔德玛莉] 
呜呜！！"
MID_RELIANCE_B_#019,"[琉尔] 
怎、怎么了？！"
MID_RELIANCE_B_#020,"[戈尔德玛莉] 
我一放松下来，眼泪就……"
MID_RELIANCE_B_#021,"[戈尔德玛莉] 
我难得流泪，还是让您多看几眼我泪眼婆娑、 
楚楚可怜的模样我再走吧……"
MID_RELIANCE_B_#022,"[琉尔] 
好、好的……"
MID_RELIANCE_C_#001,"[琉尔] 1 
[戈尔德玛莉] 2 
[戈尔德玛莉] 
神龙大人…… 
便当合您胃口吗？"
MID_RELIANCE_C_#002,"[琉尔] 
嗯，非常美味， 
谢谢你替我准备。"
MID_RELIANCE_C_#003,"[戈尔德玛莉] 
那、那个…… 
神龙大人，请您看我这边……"
MID_RELIANCE_C_#004,"[琉尔] 
嗯？好。"
MID_RELIANCE_C_#005,"[戈尔德玛莉] 
啊，我们四目相对了吧……？ 
您看见我可爱的脸蛋了吗……？"
MID_RELIANCE_C_#006,"[戈尔德玛莉] 
对不起，我长得太美了…… 
您这么热情地注视我，我会……"
MID_RELIANCE_C_#007,"[琉尔] 
嗯？"
MID_RELIANCE_C_#008,"[戈尔德玛莉] 
没在注视啊…… 
难道我的魅力对神龙大人不管用吗……"
MID_RELIANCE_C_#009,"[戈尔德玛莉] 
嗯……我得振作起来， 
这次试试看耳边低语……"
MID_RELIANCE_C_#010,"[戈尔德玛莉] 
神龙大人……我敬爱的神龙大人…… 
您愿意品尝我做的便当，我好幸福……"
MID_RELIANCE_C_#011,"[琉尔] 
戈尔德玛莉，我也很幸福哦。"
MID_RELIANCE_C_#012,"[戈尔德玛莉] 
呀！对吧……！ 
您终于对我动心了……！"
MID_RELIANCE_C_#013,"[琉尔] 
是啊，好吃到停不下来呢。 
请务必教教我怎么做那个肉。"
MID_RELIANCE_C_#014,"[戈尔德玛莉] 
…………"
MID_RELIANCE_C_#015,"[戈尔德玛莉] 
好、好的，我会教您…… 
真不甘心……"
MID_RELIANCE_S_#001,"[琉尔] 1 
[戈尔德玛莉] 2 
[戈尔德玛莉] 
神龙大人，您来了…… 
请到餐桌前就座……"
MID_RELIANCE_S_#002,"[琉尔] 
哇……好丰盛…… 
你亲自为我下厨？"
MID_RELIANCE_S_#003,"[戈尔德玛莉] 
嗯，我使出了浑身解数…… 
但如您所见……成品看起来很是普通……"
MID_RELIANCE_S_#004,"[戈尔德玛莉] 
戈尔德玛莉，你怎么了？ 
身体不舒服吗？"
MID_RELIANCE_S_#005,"[戈尔德玛莉] 
……这要是被其他人看到， 
他们一定会震惊地这么问我吧，不过无所谓。"
MID_RELIANCE_S_#006,"[戈尔德玛莉] 
因为在您面前，我想展现最真实的自己……"
MID_RELIANCE_S_#007,"[琉尔] 
谢谢你， 
我很高兴听到你这么说。"
MID_RELIANCE_S_#008,"[戈尔德玛莉] 
太好了……"
MID_RELIANCE_S_#009,"[戈尔德玛莉] 
…………"
MID_RELIANCE_S_#010,"[戈尔德玛莉] 
神龙大人，其实我今天约您出来…… 
是有事想告诉您……"
MID_RELIANCE_S_#011,"[琉尔] 
什么事？"
MID_RELIANCE_S_#012,"[戈尔德玛莉] 
如果是以前的我， 
现在肯定会对您展开花式魅力猛攻……"
MID_RELIANCE_S_#013,"[戈尔德玛莉] 
但今天的我不会那么做…… 
托您的福，我已重获新生。"
MID_RELIANCE_S_#014,"[戈尔德玛莉] 
神龙 大人…… 
我深深为您着迷……"
MID_RELIANCE_S_#015,"[琉尔] 
咦……？！"
MID_RELIANCE_S_#016,"[戈尔德玛莉] 
所以神龙大人，希望您…… 
也能为我着迷……"
MID_RELIANCE_S_#017,"[戈尔德玛莉] 
请让重生的超可爱美女── 
戈尔德玛莉我成为您的搭档吧！"
MID_RELIANCE_S_#018,"[琉尔] 
…………"
MID_RELIANCE_S_#019,"[琉尔] 
呵呵，我很欣赏你…… 
能如此自信满满地说出这般情话。"
MID_RELIANCE_S_#020,"[琉尔] 
戈尔德玛莉， 
谢谢你如此爱慕我。"
MID_RELIANCE_S_#021,"[琉尔] 
我也认为我的搭档非你莫属， 
请收下这个吧。"
MID_RELIANCE_S_#022,"[戈尔德玛莉] 
“约定戒指”……真的要送给我吗？！ 
好像在做梦……"
