key,text
MID_RELIANCE_A_#001,"[琉尔] 1 
[霖丹] 2 

[霖丹] 
神龙大人吸收得可真快呐。"
MID_RELIANCE_A_#002,"[琉尔] 
是霖丹你教得好啦。"
MID_RELIANCE_A_#003,"[霖丹] 
哈哈哈， 
您奉承老夫也没什么好处哦。"
MID_RELIANCE_A_#004,"[霖丹] 
不过，老夫活到这把年纪也算是值得了呐。"
MID_RELIANCE_A_#005,"[霖丹] 
老夫不过一介伊尔席翁的王城士兵…… 
竟有幸如现在这般和神龙大人交流……"
MID_RELIANCE_A_#006,"[霖丹] 
倘若年轻时的老夫知道这件事， 
肯定不会相信吧。"
MID_RELIANCE_A_#007,"[霖丹] 
…………"
MID_RELIANCE_A_#008,"[琉尔] 
怎么了吗？"
MID_RELIANCE_A_#009,"[霖丹] 
神龙大人，就算是老夫多事吧， 
还请您听老夫一言。"
MID_RELIANCE_A_#010,"[霖丹] 
……无论遇到多艰辛的事， 
都请您不要放弃活下去的希望。"
MID_RELIANCE_A_#011,"[琉尔] 
霖丹……"
MID_RELIANCE_A_#012,"[霖丹] 
走在人生这条漫漫长路上， 
老夫也曾历经痛苦，甚至想过一了百了。"
MID_RELIANCE_A_#013,"[霖丹] 
不过，在熬过那些艰辛之后， 
总会有些际遇，让老夫庆幸自己还活着。"
MID_RELIANCE_A_#014,"[霖丹] 
能与神龙大人您相遇相知， 
便是老夫万分庆幸的一件事呐。"
MID_RELIANCE_A_#015,"[琉尔] 
能听到你这么说，我很高兴……"
MID_RELIANCE_A_#016,"[霖丹] 
黎明前的夜晚最是黑暗， 
可即使再绝望也要撑下去，撑到迎来生命的曙光。"
MID_RELIANCE_A_#017,"[霖丹] 
这是老夫走过漫漫人生路的体悟， 
希望您能引以为鉴。"
MID_RELIANCE_A_#018,"[琉尔] 
嗯，我会永远记住你这番话。"
MID_RELIANCE_A_#019,"[琉尔] 
不过，霖丹……"
MID_RELIANCE_A_#020,"[琉尔] 
要论人生的长短…… 
我活得比你还要久很多哦。"
MID_RELIANCE_A_#021,"[霖丹] 
哈哈哈哈！这倒是呐！"
MID_RELIANCE_A_#022,"[霖丹] 
老夫无可辩驳！哈哈哈哈！"
MID_RELIANCE_B_#001,"[琉尔] 1 
[霖丹] 2 

[琉尔] 
霖丹，你上次提到的关于睡眠的话题， 
我觉得相当有趣。"
MID_RELIANCE_B_#002,"[霖丹] 
神龙大人。"
MID_RELIANCE_B_#003,"[琉尔] 
虽然我不能配合实验， 
但我还想再和你多聊聊。"
MID_RELIANCE_B_#004,"[霖丹] 
您没必要总来见我这把老骨头， 
多浪费您宝贵的时间呐。"
MID_RELIANCE_B_#005,"[霖丹] 
您还是多跟其他人聊聊吧， 
他们对您的人生比较有帮助。"
MID_RELIANCE_B_#006,"[琉尔] 
你为什么要刻意疏远我呢…… 
是因为被凡德雷说了什么吗？"
MID_RELIANCE_B_#007,"[霖丹] 
呃？！"
MID_RELIANCE_B_#008,"[琉尔] 
因为你之前试图用雷电烤焦我的头发……"
MID_RELIANCE_B_#009,"[霖丹] 
呃、呃……似乎是…… 
发生过这样的事呐……"
MID_RELIANCE_B_#010,"[琉尔] 
我并没有把那件事放在心上哦。 
所以你也别介意了，我们来聊天吧。"
MID_RELIANCE_B_#011,"[霖丹] 
您能这么说，老夫很是欣慰……但就算您不计前嫌， 
老夫还是觉得自己的唠叨帮不到您什么。"
MID_RELIANCE_B_#012,"[霖丹] 
时间并非无穷无尽， 
要做好最有效率的规划，否则是会吃亏的呐。"
MID_RELIANCE_B_#013,"[琉尔] 
……就如你所说的， 
要合理地使用时间。"
MID_RELIANCE_B_#014,"[琉尔] 
我自然也不打算浪费宝贵的时间……"
