key,text
MID_RELIANCE_A_#001,"[琉尔] 1 
[庞德罗] 2 

[庞德罗] 
真不可思议……"
MID_RELIANCE_A_#002,"[庞德罗] 
我竟然能像这样和从小的信仰── 
神龙大人一起参加餐会。"
MID_RELIANCE_A_#003,"[琉尔] 
其他来宾看起来也都很尽兴， 
我总算是放心了。"
MID_RELIANCE_A_#004,"[庞德罗] 
他们一定都觉得受到了鼓舞， 
今天真的很谢谢您。"
MID_RELIANCE_A_#005,"[琉尔] 
我才该向你们道谢， 
能见到这么多人声援自己，我真的很高兴……"
MID_RELIANCE_A_#006,"[琉尔] 
我觉得反而是我受大家鼓舞了呢。"
MID_RELIANCE_A_#007,"[庞德罗] 
就像我之前说的， 
没有人会对神龙大人失望，对吧？"
MID_RELIANCE_A_#008,"[琉尔] 
是呀，想到我原本还想推拒你的邀请， 
我都觉得愧对你的用心了。"
MID_RELIANCE_A_#009,"[琉尔] 
我也得好好努力， 
这样才对得起大家。"
MID_RELIANCE_A_#010,"[庞德罗] 
您如此为大家着想， 
一定没问题的。"
MID_RELIANCE_A_#011,"[庞德罗] 
我也会尽我微薄之力， 
努力和大家一起活下去……为世界带来和平。"
MID_RELIANCE_A_#012,"[琉尔] 
对了，可以问你一件事吗？"
MID_RELIANCE_A_#013,"[庞德罗] 
什么事呢？"
MID_RELIANCE_A_#014,"[琉尔] 
“嘿咿！”是什么意思呀？ 
大家都不会对我说这句话呢……"
MID_RELIANCE_A_#015,"[庞德罗] 
那、那是……"
MID_RELIANCE_A_#016,"[庞德罗] 
……那是一种极为简化的招呼用语， 
是不能随便对神龙大人说的。"
MID_RELIANCE_A_#017,"[庞德罗] 
请您快些忘了吧。"
MID_RELIANCE_A_#018,"[琉尔] 
嘿咿！好的──！"
MID_RELIANCE_A_#019,"[庞德罗] 
神龙大人！"
MID_RELIANCE_A_#020,"[琉尔] 
哈哈哈，这真有趣呢！"
MID_RELIANCE_B_#001,"[琉尔] 1 
[庞德罗] 2 

[琉尔] 
庞德罗……很抱歉。 
我烦恼了很久，但我还是不参加了吧。"
MID_RELIANCE_B_#002,"[庞德罗] 
若您空不出行程参加，我也不好勉强。 
之后有机会我再邀请您吧。"
MID_RELIANCE_B_#003,"[琉尔] 
不是的…… 
这与我的行程无关。"
MID_RELIANCE_B_#004,"[庞德罗] 
那是为什么……？"
MID_RELIANCE_B_#005,"[琉尔] 
虽然你说我是神明， 
但我并没有直接为你们做过什么……"
MID_RELIANCE_B_#006,"[琉尔] 
所以我在想， 
说不定大家跟我交谈过后，会很失望。"
MID_RELIANCE_B_#007,"[庞德罗] 
让您这么烦恼，是我不好。 
不过，其实您完全无需担心这一点。"
MID_RELIANCE_B_#008,"[庞德罗] 
像我小时候就因为您才得到了救赎。"
MID_RELIANCE_B_#009,"[琉尔] 
我……救了你？ 
但我那时应该还在沉睡啊……"
MID_RELIANCE_B_#010,"[庞德罗] 
我的父母是不称职的神职人员。 
他们抛下我和妹妹，消失得无影无踪。"
MID_RELIANCE_B_#011,"[庞德罗] 
而我能够振作起来， 
是因为教会的祭司大人跟我说了个秘密……"
MID_RELIANCE_B_#012,"[庞德罗] 
“圣地索拉涅尔里沉睡着一位神龙之子， 
神龙之子终将苏醒，拯救世界。”"
MID_RELIANCE_B_#013,"[琉尔] 
咦……！"
MID_RELIANCE_B_#014,"[庞德罗] 
忍过一时的痛苦，救赎终将到来。 
我一直都是这么鼓舞自己的。"
