key,text
MID_RELIANCE_A_#001,"[琉尔] 1 

[史塔卢克] 2 

[琉尔] 
史塔卢克！又有狼出现了！"
MID_RELIANCE_A_#002,"[琉尔] 
狼往你那边去了！小心！"
MID_RELIANCE_A_#003,"[史塔卢克] 
好的，我知道了。"
MID_RELIANCE_A_#004,"[琉尔] 
呃……你怎么呆站在那？ 
危险啊！"
MID_RELIANCE_A_#005,"[史塔卢克] 
没问题的，神龙大人。 
这里就交给我吧。"
MID_RELIANCE_A_#006,"[史塔卢克] 
来，是肉干哦…… 
多吃一点吧……"
MID_RELIANCE_A_#007,"[琉尔] 
咦……！ 
你居然驯服了狼……"
MID_RELIANCE_A_#008,"[史塔卢克] 
这是以前袭击过您的那匹狼哦。"
MID_RELIANCE_A_#009,"[史塔卢克] 
好啦，回山上去吧…… 
路上小心哦……"
MID_RELIANCE_A_#010,"[琉尔] 
你们什么时候感情这么好了？"
MID_RELIANCE_A_#011,"[史塔卢克] 
我在森林里练习弓箭时， 
那孩子三不五时就会来露脸……"
MID_RELIANCE_A_#012,"[史塔卢克] 
起初我们互相都保持着警戒…… 
后来我想起了您说的话，这才缓和了气氛。"
MID_RELIANCE_A_#013,"[琉尔] 
我的话……？"
MID_RELIANCE_A_#014,"[史塔卢克] 
您说我只要做我自己就好。 
所以我就以我自己的方式，与那孩子自然相处。"
MID_RELIANCE_A_#015,"[史塔卢克] 
于是那孩子也就渐渐对我敞开了心扉， 
现在我们就像是朋友一样。"
MID_RELIANCE_A_#016,"[琉尔] 
真厉害……！"
MID_RELIANCE_A_#017,"[史塔卢克] 
这都是多亏了您的忠告， 
真的很谢谢您。"
MID_RELIANCE_A_#018,"[史塔卢克] 
对了，为了表示感谢……嘿咻！"
MID_RELIANCE_A_#019,"[琉尔] 
请别再下跪了哦。"
MID_RELIANCE_A_#020,"[史塔卢克] 
咦……"
MID_RELIANCE_A_#021,"[琉尔] 
请不要因为我禁止你用看家本领， 
就摆出那种可怜样。"
MID_RELIANCE_A_#022,"[琉尔] 
你要是真想谢我…… 
不如这样吧，我也想跟那匹狼一起玩。"
MID_RELIANCE_A_#023,"[琉尔] 
请让我加入你们吧。"
MID_RELIANCE_A_#024,"[史塔卢克] 
当然可以，小事一桩。 
那我们就带好肉干一起去找它玩吧。"
MID_RELIANCE_A_#025,"[琉尔] 
谢谢你，史塔卢克！ 
我很期待哦！"
MID_RELIANCE_B_#001,"[琉尔] 1 

[史塔卢克] 2 

[琉尔] 
史塔卢克，可以打扰你一下吗？"
MID_RELIANCE_B_#002,"[史塔卢克] 
好的，您请说。"
MID_RELIANCE_B_#003,"[琉尔] 
……你这个动作是？"
MID_RELIANCE_B_#004,"[史塔卢克] 
这是下跪赔罪的预备动作……"
MID_RELIANCE_B_#005,"[琉尔] 
下跪赔罪的预备动作……"
MID_RELIANCE_B_#006,"[史塔卢克] 
直觉告诉我该赔罪了，所以先做好准备。 
这样我就随时都可以赔罪了……"
MID_RELIANCE_B_#007,"[琉尔] 
你不需要这样啦！我只是…… 
上次那件事，我有句话想跟你说。"
MID_RELIANCE_B_#008,"[史塔卢克] 
是什么呢……？"
MID_RELIANCE_B_#009,"[琉尔] 
我的命和你的命并没有什么不同， 
这一点我非常坚持。"
MID_RELIANCE_B_#010,"[琉尔] 
所以请你别再说那种话了，好吗？"
MID_RELIANCE_B_#011,"[史塔卢克] 
我……很想说好， 
但那不会是我的真心话……"
MID_RELIANCE_B_#012,"[琉尔] 
哎、哎呀…… 
你怎么就听不进去呢……"
MID_RELIANCE_B_#013,"[史塔卢克] 
对不起……"
MID_RELIANCE_B_#014,"[琉尔] 
真拿你没办法，如果你真的改不过来…… 
那你就做你自己吧。"
MID_RELIANCE_B_#015,"[史塔卢克] 
您的意思是我不需要做任何改变吗？"
MID_RELIANCE_B_#016,"[史塔卢克] 
我做不到积极乐观， 
被人夸赞也无法坦然接受……"
MID_RELIANCE_B_#017,"[史塔卢克] 
做事也没有兄长来得果断， 
言行举止也很容易让人不耐烦。"
MID_RELIANCE_B_#018,"[史塔卢克] 
这样也不需要做出改变吗？"
MID_RELIANCE_B_#019,"[琉尔] 
……对。"
MID_RELIANCE_B_#020,"[琉尔] 
但我还是希望有天你能明白我的意思……"
MID_RELIANCE_B_#021,"[史塔卢克] 
好的，谢谢您的忠告……"
MID_RELIANCE_C_#001,"[琉尔] 1 

[史塔卢克] 2 

[史塔卢克] 
神龙大人！小心！ 
那里有匹狼！"
MID_RELIANCE_C_#002,"[琉尔] 
咦？！"
MID_RELIANCE_C_#003,"[史塔卢克] 
狼、狼先生……！请你走开！ 
请远离神龙大人……！"
