key,text
MID_RELIANCE_A_#001,"[玫琳] 1 
[帕涅托涅] 2 
[玫琳] 
虽然公主给了我们意见…… 
但难度好高啊……"
MID_RELIANCE_A_#002,"[帕涅托涅] 
是啊……"
MID_RELIANCE_A_#003,"[玫琳] 
“玫琳要把注意力集中在丹田的地方， 
唱出你的热情！”"
MID_RELIANCE_A_#004,"[帕涅托涅] 
唉，就算听完公主的说明， 
我还是一头雾水……"
MID_RELIANCE_A_#005,"[玫琳] 
我倒是有点开窍了。"
MID_RELIANCE_A_#006,"[玫琳] 
只要注意丹田， 
歌声的确就会稳定下来，不会飘来飘去。"
MID_RELIANCE_A_#007,"[帕涅托涅] 
哇，居然能将公主的意见融会贯通， 
太厉害了。"
MID_RELIANCE_A_#008,"[玫琳] 
呵呵，谢谢！ 
帕涅托涅你呢？"
MID_RELIANCE_A_#009,"[帕涅托涅] 
公主说“帕涅托涅的歌声太松散了， 
最好再收紧一点！”……"
MID_RELIANCE_A_#010,"[帕涅托涅] 
唉，听得我都头昏眼花了。"
MID_RELIANCE_A_#011,"[帕涅托涅] 
不过，在我试着注意 
“放松！”和“收紧！”之后……"
MID_RELIANCE_A_#012,"[帕涅托涅] 
觉得自己好像唱得比较好了！"
MID_RELIANCE_A_#013,"[玫琳] 
太好了！这样我们就不会 
再被嫌弃是索尔姆的噪音了呢。"
MID_RELIANCE_A_#014,"[帕涅托涅] 
是啊，要让大家听了我们的歌声 
都很开心！"
MID_RELIANCE_A_#015,"[玫琳] 
没错！不是为了震破大家的耳膜！"
MID_RELIANCE_A_#016,"[帕涅托涅] 
您不觉得如果我们唱歌就这样变好听了， 
开一场音乐会也不是梦吗？"
MID_RELIANCE_A_#017,"[玫琳] 
音乐会？"
MID_RELIANCE_A_#018,"[帕涅托涅] 
大家一定会说我们是索尔姆的天使…… 
以绝美的歌声掳获了国民的心……！"
MID_RELIANCE_A_#019,"[玫琳] 
那，那不是很棒吗！ 
我也希望有人说我是天使！"
MID_RELIANCE_A_#020,"[帕涅托涅] 
呵呵……我已经越来越期待了！ 
我们赶快去练习吧！"
MID_RELIANCE_A_#021,"[玫琳] 
走吧走吧， 
今天也要练习唱“上吧！上吧！乐观女孩三人行”！"
MID_RELIANCE_A_#022,"[帕涅托涅] 
没错，我们不能让蜜丝提拉队蒙羞， 
一定要把这首歌唱成最美妙的天籁！"
MID_RELIANCE_B_#001,"[玫琳] 1 
[帕涅托涅] 2 
[玫琳] 
……之前的练习怎么样？"
MID_RELIANCE_B_#002,"[帕涅托涅] 
那个，什么怎么样？"
MID_RELIANCE_B_#003,"[玫琳] 
我们不是刻意压低音量小声练习吗？ 
有再听到别人抱怨吗？"
MID_RELIANCE_B_#004,"[帕涅托涅] 
唔，这点倒是可以安心， 
我没有收到任何报告。"
MID_RELIANCE_B_#005,"[玫琳] 
那就好…… 
我一直很担心呢……"
MID_RELIANCE_B_#006,"[玫琳] 
…………"
MID_RELIANCE_B_#007,"[玫琳] 
……不，不对。 
这样不行！"
MID_RELIANCE_B_#008,"[帕涅托涅] 
咦？"
MID_RELIANCE_B_#009,"[玫琳] 
别人说我们是噪音，就偷偷摸摸地练唱， 
还因为没接到抱怨而松一口气……"
MID_RELIANCE_B_#010,"[玫琳] 
这样未免太逊了！ 
其实只要我们唱歌变好听，就不用担心这些了嘛！"
MID_RELIANCE_B_#011,"[帕涅托涅] 
说得没错……"
MID_RELIANCE_B_#012,"[帕涅托涅] 
这样偷偷摸摸地活着， 
一点也不像蜜丝提拉队嘛！"
MID_RELIANCE_B_#013,"[帕涅托涅] 
天啊，要是这件事被大姐头知道了， 
她一定会哭的！"
MID_RELIANCE_B_#014,"[玫琳] 
那可不行……！ 
万一害公主哭，我还有什么脸活着！"
MID_RELIANCE_B_#015,"[帕涅托涅] 
对，我也是！"
MID_RELIANCE_B_#016,"[帕涅托涅] 
但是，要怎么做 
唱歌才会变好听呢……"
MID_RELIANCE_B_#017,"[玫琳] 
不如请公主给我们点意见如何？"
MID_RELIANCE_B_#018,"[帕涅托涅] 
问大姐头？"
MID_RELIANCE_B_#019,"[玫琳] 
只不过，这次要让她认真地建议我们。 
不能给我们有个性这种评语。"
MID_RELIANCE_B_#020,"[帕涅托涅] 
哇，真是个好主意！ 
我们就那样做吧！"
MID_RELIANCE_C_#001,"[玫琳] 1 
[帕涅托涅] 2 
[玫琳] 
好，每日练唱要开始喽。"
MID_RELIANCE_C_#002,"[玫琳] 
今天起，我们要练习由公主作词作曲的 
“上吧！上吧！乐观女孩三人行”哦。"
MID_RELIANCE_C_#003,"[玫琳] 
必须赶在下次和公主一起练习之前， 
把歌唱熟才行。"
MID_RELIANCE_C_#004,"[帕涅托涅] 
是啊……您说得对……"
MID_RELIANCE_C_#005,"[玫琳] 
嗯？怎么了？ 
一副无精打采的样子……"
MID_RELIANCE_C_#006,"[帕涅托涅] 
那个，因为我听到了不好的流言……"
MID_RELIANCE_C_#007,"[玫琳] 
什么不好的流言？"
MID_RELIANCE_C_#008,"[帕涅托涅] 
就是……大家都背地里叫我们 
“索尔姆的噪音”。"
MID_RELIANCE_C_#009,"[玫琳] 
咦？"
