key,text
MID_RELIANCE_A_#001,"[玫琳] 1 
[贝珥] 2 

[贝珥] 
玫琳，谢谢你。"
MID_RELIANCE_A_#002,"[玫琳] 
……咦！？"
MID_RELIANCE_A_#003,"[玫琳] 
怎，怎怎怎……怎么了吗？ 
您怎么突然向我道谢……"
MID_RELIANCE_A_#004,"[贝珥] 
你之前跟我说， 
应该要把自己龙族的身分当成优点。"
MID_RELIANCE_A_#005,"[贝珥] 
虽然我还是找不太到 
哪里能当成优点……"
MID_RELIANCE_A_#006,"[贝珥] 
但多亏了你的那番话， 
我觉得自己变得稍微乐观一些了。"
MID_RELIANCE_A_#007,"[贝珥] 
所以，谢谢你。"
MID_RELIANCE_A_#008,"[玫琳] 
贝珥大人……"
MID_RELIANCE_A_#009,"[玫琳] 
呜呜呜……！"
MID_RELIANCE_A_#010,"[贝珥] 
玫，玫琳！？ 
你怎么了！？"
MID_RELIANCE_A_#011,"[玫琳] 
没，没事……我只是因为贝珥大人特地来道谢…… 
呜……喜极而泣而已……"
MID_RELIANCE_A_#012,"[玫琳] 
我这辈子都不会忘记这份喜悦的！"
MID_RELIANCE_A_#013,"[贝珥] 
真是的，你太夸张了。 
玫琳果然是个特别的人呢。"
MID_RELIANCE_A_#014,"[玫琳] 
我们都是特别的人啊。"
MID_RELIANCE_A_#015,"[贝珥] 
呵呵，是这样没错。"
MID_RELIANCE_A_#016,"[玫琳] 
我决定了！"
MID_RELIANCE_A_#017,"[玫琳] 
我从现在开始， 
也要帮贝珥大人找出身为龙族的优点。"
MID_RELIANCE_A_#018,"[玫琳] 
我有信心， 
没有人比我更爱龙族。"
MID_RELIANCE_A_#019,"[玫琳] 
我会帮您找出 
很多很多优点的。"
MID_RELIANCE_A_#020,"[贝珥] 
太好了，玫琳最可靠了。"
MID_RELIANCE_A_#021,"[玫琳] 
我马上就找到了！"
MID_RELIANCE_A_#022,"[玫琳] 
贝珥大人的温柔体贴，不就是因为龙族长寿， 
看尽人生百态而累积出来的吗？"
MID_RELIANCE_A_#023,"[贝珥] 
是，是这样吗？ 
嘿嘿嘿……我都害羞了。"
MID_RELIANCE_A_#024,"[玫琳] 
这还只是刚开始，我从现在起 
会找出一百个……不，是一千个优点。"
MID_RELIANCE_A_#025,"[玫琳] 
贝珥大人， 
请您拭目以待。"
MID_RELIANCE_A_#026,"[贝珥] 
嗯，有你陪着我， 
我一定会变得非常乐观开朗。"
MID_RELIANCE_A_#027,"[贝珥] 
谢谢你，玫琳。"
MID_RELIANCE_B_#001,"[玫琳] 1 
[贝珥] 2 
[玫琳] 
贝珥大人……您真美。 
光是看着您，我就觉得好幸福。"
MID_RELIANCE_B_#002,"[玫琳] 
无论发质……肌肤光泽……容貌…… 
都很完美……龙族果然不同凡响……"
MID_RELIANCE_B_#003,"[贝珥] 
是……这样吗？"
MID_RELIANCE_B_#004,"[玫琳] 
我也很勤于保养， 
但完全比不上贝珥大人您呢。"
MID_RELIANCE_B_#005,"[玫琳] 
身为龙族， 
您对仪容打扮应该也有一番坚持吧？"
MID_RELIANCE_B_#006,"[贝珥] 
我不太懂什么仪容…… 
并没有特别做什么哦。"
MID_RELIANCE_B_#007,"[玫琳] 
什么都没做就这么好看吗！？ 
真，真不愧是龙族！！"
MID_RELIANCE_B_#008,"[贝珥] 
…………"
MID_RELIANCE_B_#009,"[贝珥] 
呐……玫琳。"
MID_RELIANCE_B_#010,"[贝珥] 
你之前明明把我当成人类， 
但到头来，我吸引你就只是因为我是龙族吗？"
MID_RELIANCE_B_#011,"[玫琳] 
您，您误会了。 
我欣赏的是贝珥大人本身啊。"
MID_RELIANCE_B_#012,"[玫琳] 
我从以前就在想，贝珥大人您 
是不是对身为龙族这件事感到很自卑呢？"
MID_RELIANCE_B_#013,"[贝珥] 
那是当然的啊，我因为这件事， 
从以前就被讨厌到现在。"
MID_RELIANCE_B_#014,"[玫琳] 
贝珥大人您不用在意， 
错的不是贝珥大人，而是讨厌您的人。"
MID_RELIANCE_B_#015,"[贝珥] 
可是……大家那么厌恶我， 
不就代表我有错吗？"
