key,text
MID_RELIANCE_A_#001,"[庞德罗] 1 
[莫布] 2 

[庞德罗] 
怎么样？ 
偶尔放松一下还不错吧？"
MID_RELIANCE_A_#002,"[莫布] 
嗯，食物很可口， 
你说的话也很有趣……"
MID_RELIANCE_A_#003,"[莫布] 
偶尔这样也不坏……"
MID_RELIANCE_A_#004,"[庞德罗] 
你看！我就说吧？"
MID_RELIANCE_A_#005,"[庞德罗] 
那明天也一起去吃饭吧。"
MID_RELIANCE_A_#006,"[莫布] 
抱歉，我不去了。"
MID_RELIANCE_A_#007,"[庞德罗] 
为什么啊？"
MID_RELIANCE_A_#008,"[莫布] 
这次该轮到你来陪我了。"
MID_RELIANCE_A_#009,"[庞德罗] 
咦？"
MID_RELIANCE_A_#010,"[莫布] 
让我亲自教教你…… 
要怎么保护人民。"
MID_RELIANCE_A_#011,"[庞德罗] 
我知道了。 
那这次就换我来见识你的作风吧。"
MID_RELIANCE_A_#012,"[庞德罗] 
说不定我也能有什么新体会呢！"
MID_RELIANCE_A_#013,"[庞德罗] 
不过下次就再轮到你陪我了哦！"
MID_RELIANCE_A_#014,"[莫布] 
等一下， 
我说过只配合你一次而已。"
MID_RELIANCE_A_#015,"[庞德罗] 
有什么关系嘛， 
之后我再陪你不就好了。"
MID_RELIANCE_A_#016,"[莫布] 
那样岂不是没完没了了……"
MID_RELIANCE_A_#017,"[庞德罗] 
虽然我们信仰的神不同，但都渴望世界和平， 
那不就更应该携手努力吗！"
MID_RELIANCE_A_#018,"[莫布] 
呼…… 
还真是说不过你。"
MID_RELIANCE_B_#001,"[庞德罗] 1 
[莫布] 2 

[庞德罗] 
莫布， 
偶尔跟我一起去吃顿饭嘛。"
MID_RELIANCE_B_#002,"[莫布] 
不了，恕我拒绝。"
MID_RELIANCE_B_#003,"[庞德罗] 
为什么？ 
你有其他事要忙？"
MID_RELIANCE_B_#004,"[莫布] 
也没什么其他的事情。"
MID_RELIANCE_B_#005,"[庞德罗] 
那一起去吃饭有什么关系。 
让我们好好聊一聊吧！"
MID_RELIANCE_B_#006,"[莫布] 
是要聊些什么？ 
聊彼此的信仰吗？"
MID_RELIANCE_B_#007,"[庞德罗] 
没有啦，就是彼此的兴趣啊、 
儿时的回忆啊等等……"
MID_RELIANCE_B_#008,"[莫布] 
…………"
MID_RELIANCE_B_#009,"[莫布] 
明明世上还有老弱妇孺在受苦…… 
我没时间玩乐。"
MID_RELIANCE_B_#010,"[庞德罗] 
就算是神职人员，也不能把自己逼得太紧。 
偶尔还是要休息一下。"
MID_RELIANCE_B_#011,"[莫布] 
若想守护世人， 
可没时间休息。"
MID_RELIANCE_B_#012,"[庞德罗] 
就一次， 
你就照我的方法试试看嘛？"
MID_RELIANCE_B_#013,"[庞德罗] 
好吗？我相信你会有全新的体会哦。"
MID_RELIANCE_B_#014,"[莫布] 
…………"
MID_RELIANCE_B_#015,"[莫布] 
好吧，仅此一次， 
就让我见识一下吧。"
MID_RELIANCE_B_#016,"[庞德罗] 
哦！ 
想不到你还挺干脆的。"
MID_RELIANCE_B_#017,"[庞德罗] 
那我们这就去吃饭吧。"
MID_RELIANCE_C_#001,"[庞德罗] 1 
[莫布] 2 
[莫布] 
…………"
MID_RELIANCE_C_#002,"[庞德罗] 
我能不能在旁边跟你一起祈祷呢？"
MID_RELIANCE_C_#003,"[莫布] 
我虽然改站到你们这一边， 
但并不代表我舍弃了对邪龙的信仰。"
MID_RELIANCE_C_#004,"[莫布] 
你身为信仰神龙的神职人员， 
还是别在我旁边祈祷比较好。"
MID_RELIANCE_C_#005,"[庞德罗] 
即使信仰的神不同，但我们都是神职人员， 
何必在意这种小事呢？"
MID_RELIANCE_C_#006,"[莫布] 
在意，当然要在意！"
MID_RELIANCE_C_#007,"[莫布] 
竟然说信仰不同是小事…… 
同样身为神职人员，我真为你感到丢脸。"
MID_RELIANCE_C_#008,"[庞德罗] 
对了，莫布， 
你向邪龙祈祷了些什么啊？"
MID_RELIANCE_C_#009,"[莫布] 
…………"
MID_RELIANCE_C_#010,"[莫布] 
我祈祷世界能恢复和平， 
现在的世界实在太混乱了。"
MID_RELIANCE_C_#011,"[庞德罗] 
那跟我要祈祷的事一样啊！ 
我就说这跟信仰神龙或邪龙没关系吧！"
MID_RELIANCE_C_#012,"[庞德罗] 
虽然宗教信仰不同， 
但我们的愿望是一样的不是吗？"
MID_RELIANCE_C_#013,"[莫布] 
…………"
MID_RELIANCE_C_#014,"[莫布] 
我还是第一次遇到 
像你这样想的神职人员。"
MID_RELIANCE_C_#015,"[庞德罗] 
嘿嘿，常有人这么说。"
MID_RELIANCE_C_#016,"[莫布] 
算我输了。 
既然你不在意，想在我旁边祈祷就随你高兴吧。"
MID_RELIANCE_C_#017,"[庞德罗] 
嗯，让我们一起为世界和平祷告吧。"
