key,text
MID_RELIANCE_A_#001,"[帕涅托涅] 1 

[札菲亚] 2 

[札菲亚] 
…………"
MID_RELIANCE_A_#002,"[帕涅托涅] 
好，好厉害！ 
从您开始正座到现在已经过了一个小时了！"
MID_RELIANCE_A_#003,"[札菲亚] 
那个，我想做的话， 
这点程度的进步是很容易的。"
MID_RELIANCE_A_#004,"[帕涅托涅] 
是的，您的用词也非常完美。 
不愧是札菲亚女士。"
MID_RELIANCE_A_#005,"[帕涅托涅] 
没想到您这么快 
就学会了正座跟用字遣词。"
MID_RELIANCE_A_#006,"[帕涅托涅] 
那个，我深感佩服。"
MID_RELIANCE_A_#007,"[札菲亚] 
那真是太好了……"
MID_RELIANCE_A_#008,"[札菲亚] 
那么，礼仪就学到这里， 
之后我要做回自己了。"
MID_RELIANCE_A_#009,"[帕涅托涅] 
咦……！"
MID_RELIANCE_A_#010,"[帕涅托涅] 
为、为什么呢？ 
我们还有很多东西要学哦？"
MID_RELIANCE_A_#011,"[札菲亚] 
我明白礼仪的重要性， 
但还是想多花点精力在锻炼上。"
MID_RELIANCE_A_#012,"[札菲亚] 
因为我觉得那样也能对国家有所贡献。"
MID_RELIANCE_A_#013,"[帕涅托涅] 
这样啊……"
MID_RELIANCE_A_#014,"[札菲亚] 
我可不想让至今修炼的一身武功白费。"
MID_RELIANCE_A_#015,"[札菲亚] 
身为一名为国效忠的家臣， 
今后我会注意让自己保持端庄。"
MID_RELIANCE_A_#016,"[帕涅托涅] 
呵呵，札菲亚女士果然 
和我想的一样，是个很棒的人呢。"
MID_RELIANCE_A_#017,"[帕涅托涅] 
没错，我也要以札菲亚女士为目标， 
锻炼身体才行。"
MID_RELIANCE_A_#018,"[札菲亚] 
我可以教你锻炼哦？ 
当作是回报你教我礼仪。"
MID_RELIANCE_A_#019,"[帕涅托涅] 
真的吗！？"
MID_RELIANCE_A_#020,"[帕涅托涅] 
那个，学会礼仪的我， 
如果再学好锻炼就完美了。"
MID_RELIANCE_A_#021,"[帕涅托涅] 
是的，请您务必指导我。"
MID_RELIANCE_A_#022,"[札菲亚] 
我会很严格的， 
你要做好心理准备哦？"
MID_RELIANCE_A_#023,"[帕涅托涅] 
是的！我会变强到 
能赢过札菲亚女士您的！"
MID_RELIANCE_B_#001,"[帕涅托涅] 1 

[札菲亚] 2 

[札菲亚] 
呜……呜……"
