key,text
MID_RELIANCE_A_#001,"[罗萨德] 1 
[莫布] 2 

[罗萨德] 
莫布。"
MID_RELIANCE_A_#002,"[莫布] 
罗萨德，有什么事吗？ 
我们的可爱教学应该已经结束了吧。"
MID_RELIANCE_A_#003,"[罗萨德] 
是啊～真是可惜。 
不过，或许是现在的时机不太对。"
MID_RELIANCE_A_#004,"[罗萨德] 
莫布是个正直又善良的人。 
在战争结束前，恐怕满脑子只会想着打仗吧。"
MID_RELIANCE_A_#005,"[莫布] 
你说得对。 
现在的我确实无法顾及其他琐事……"
MID_RELIANCE_A_#006,"[莫布] 
要是我能早点发现， 
就不会让你白忙一场了。"
MID_RELIANCE_A_#007,"[莫布] 
真的很抱歉。"
MID_RELIANCE_A_#008,"[罗萨德] 
这，这件事就别在意了！ 
……不过，你可以跟我做个约定吗？"
MID_RELIANCE_A_#009,"[莫布] 
约定？"
MID_RELIANCE_A_#010,"[罗萨德] 
既然现在没办法顾及琐事…… 
那等到世界和平后，我们就来做一堆琐事吧！"
MID_RELIANCE_A_#011,"[莫布] 
世界和平啊……"
MID_RELIANCE_A_#012,"[莫布] 
呵……罗萨德， 
你还真是个怪人呢。"
MID_RELIANCE_A_#013,"[莫布] 
与其跟我这种人混在一起， 
不如找其他人过还比较有意义吧？"
MID_RELIANCE_A_#014,"[罗萨德] 
没关系啦～！ 
我就是想跟莫布一起玩啊！"
MID_RELIANCE_A_#015,"[莫布] 
罗萨德……"
MID_RELIANCE_A_#016,"[罗萨德] 
那就约好喽～！ 
等到世界和平后，我们要一起踏上探索可爱之旅！"
MID_RELIANCE_A_#017,"[莫布] 
好，我会奉陪到底。"
MID_RELIANCE_A_#018,"[莫布] 
不过，你也要陪我来场特辣料理之旅哦。"
MID_RELIANCE_A_#019,"[罗萨德] 
什么！？好啊～ 
我就舍命陪君子吧！"
MID_RELIANCE_A_#020,"[莫布] 
呵，真让人期待。 
看来我们得尽早结束这场战争才行呢。"
MID_RELIANCE_B_#001,"[罗萨德] 1 
[莫布] 2 

[罗萨德] 
嗯～你看这个怎么样？ 
是长耳兔造型的包包哦。"
MID_RELIANCE_B_#002,"[罗萨德] 
这超可爱的耶～ 
莫布，你也这么认为吧？"
MID_RELIANCE_B_#003,"[莫布] 
嗯…… 
我只看得出来是兔子的造型。"
MID_RELIANCE_B_#004,"[罗萨德] 
那这个手帕呢？ 
上面绣满了各种夏天会开的花哦！"
MID_RELIANCE_B_#005,"[莫布] 
我想想…… 
刺绣很精致呢。"
MID_RELIANCE_B_#006,"[莫布] 
不过，我还是不懂 
什么是可爱的感觉。"
MID_RELIANCE_B_#007,"[莫布] 
抱歉……"
MID_RELIANCE_B_#008,"[罗萨德] 
真是伤脑筋啊～ 
到底要怎么做才能让你了解可爱呢？"
MID_RELIANCE_B_#009,"[罗萨德] 
莫布， 
你有过心怦怦跳的时候吗？"
MID_RELIANCE_B_#010,"[莫布] 
怦怦？"
MID_RELIANCE_B_#011,"[罗萨德] 
哇～～！天哪～～！ 
太可爱了！心儿怦怦跳～～！"
MID_RELIANCE_B_#012,"[罗萨德] 
就是像这样的感觉～！"
MID_RELIANCE_B_#013,"[莫布] 
心怦怦跳……"
MID_RELIANCE_B_#014,"[莫布] 
被敌军的毒箭射中时， 
有过类似的感觉。"
MID_RELIANCE_B_#015,"[罗萨德] 
那不是觉得可爱…… 
而是毒素使你心跳加快……"
MID_RELIANCE_B_#016,"[莫布] 
像我这样的人， 
果然无法理解什么是可爱吧。"
MID_RELIANCE_B_#017,"[莫布] 
我从小一直接受着 
邪龙信徒的洗脑教育。"
MID_RELIANCE_B_#018,"[莫布] 
虽然我没有被洗脑…… 
但我的童年还是与可爱无缘。"
MID_RELIANCE_B_#019,"[莫布] 
事到如今，要我理解可爱实在是……"
MID_RELIANCE_B_#020,"[罗萨德] 
莫布……"
MID_RELIANCE_B_#021,"[莫布] 
抱歉， 
让你白忙一场了。"
MID_RELIANCE_C_#001,"[罗萨德] 1 
[莫布] 2 

[罗萨德] 
啊！是莫布～"
MID_RELIANCE_C_#002,"[莫布] 
罗萨德……"
MID_RELIANCE_C_#003,"[罗萨德] 
莫布，你为什么总是 
摆着一张苦瓜脸呢～？"
MID_RELIANCE_C_#004,"[莫布] 
我不是刻意的。"
MID_RELIANCE_C_#005,"[罗萨德] 
但你看到我这张可爱的脸蛋后， 
还是一脸苦闷啊～"
MID_RELIANCE_C_#006,"[莫布] 
这我也没办法。"
MID_RELIANCE_C_#007,"[莫布] 
毕竟我的童年没什么娱乐， 
所以不太理解何谓可爱。"
MID_RELIANCE_C_#008,"[罗萨德] 
我懂了！ 
莫布，就是这个啊！"
MID_RELIANCE_C_#009,"[莫布] 
哪个？"
MID_RELIANCE_C_#010,"[罗萨德] 
因为你不懂可爱事物的魅力， 
才会整天臭着一张脸！"
MID_RELIANCE_C_#011,"[罗萨德] 
我来教教你什么是可爱吧～ 
不然人生就太无趣喽～"
MID_RELIANCE_C_#012,"[莫布] 
……真的有必要吗？"
MID_RELIANCE_C_#013,"[罗萨德] 
当然， 
这可是人生的首要大事哦。"
MID_RELIANCE_C_#014,"[罗萨德] 
无法理解可爱的人生…… 
就像是没有辣椒的麻辣锅哦！"
MID_RELIANCE_C_#015,"[莫布] 
这样的人生可真没意思呢。 
那么，就请你指点一二吧。"
MID_RELIANCE_C_#016,"[罗萨德] 
包在我身上！ 
莫布，我会教你什么是真正的可爱！"
