key,text
MID_RELIANCE_A_#001,"[罗萨德] 1 
[庞德罗] 2 

[罗萨德] 
庞德罗， 
你看看这张画。"
MID_RELIANCE_A_#002,"[庞德罗] 
嗯？"
MID_RELIANCE_A_#003,"[罗萨德] 
我画了庞德罗的教会哦。"
MID_RELIANCE_A_#004,"[庞德罗] 
为什么要特地画下来……？"
MID_RELIANCE_A_#005,"[罗萨德] 
你看了就知道。 
这位信徒，当时真的在场哦。"
MID_RELIANCE_A_#006,"[庞德罗] 
……他笑得好灿烂哦。"
MID_RELIANCE_A_#007,"[罗萨德] 
对呀，看起来十分幸福呢。 
我可是照实画下来的，没有捏造哦。"
MID_RELIANCE_A_#008,"[庞德罗] 
这样啊…… 
真的有人因为入教而获得救赎……"
MID_RELIANCE_A_#009,"[庞德罗] 
我就是为此而努力的…… 
能看到信徒的笑容，真是太好了。"
MID_RELIANCE_A_#010,"[罗萨德] 
就是说啊。 
所以，你可以更有自信一点哦！"
MID_RELIANCE_A_#011,"[罗萨德] 
庞德罗， 
你不是希望大家多看看教会的优点吗？"
MID_RELIANCE_A_#012,"[罗萨德] 
我也想对你说一样的话哦～"
MID_RELIANCE_A_#013,"[庞德罗] 
什么意思？"
MID_RELIANCE_A_#014,"[罗萨德] 
不要只注意自己的缺点， 
也要多看看优点。"
MID_RELIANCE_A_#015,"[庞德罗] 
啊……！"
MID_RELIANCE_A_#016,"[庞德罗] 
嗯，你说得对……"
MID_RELIANCE_A_#017,"[庞德罗] 
谢谢你，罗萨德！ 
我的烦恼一扫而空了！"
MID_RELIANCE_A_#018,"[庞德罗] 
从今以后…… 
我对自己的做法会更有信心！"
MID_RELIANCE_A_#019,"[罗萨德] 
那今晚来开宴会吧！ 
一起来狂欢！嘿咿～！"
MID_RELIANCE_A_#020,"[庞德罗] 
好！玩到天亮！ 
嘿咿～！"
MID_RELIANCE_B_#001,"[罗萨德] 1 
[庞德罗] 2 

[庞德罗] 
唉……"
MID_RELIANCE_B_#002,"[罗萨德] 
庞德罗，你看起来好没精神。 
是开太多宴会累了吗？"
MID_RELIANCE_B_#003,"[庞德罗] 
没错～！ 
……如果是这种烦恼就好了。"
MID_RELIANCE_B_#004,"[罗萨德] 
你在烦恼什么？跟我说说看嘛～ 
说出来或许会比较轻松哦。"
MID_RELIANCE_B_#005,"[庞德罗] 
要从哪说起呢…… 
就是有时候啊……"
MID_RELIANCE_B_#006,"[庞德罗] 
一些比较保守的神职人员 
会对我的教会提出投诉。"
MID_RELIANCE_B_#007,"[罗萨德] 
啊，原来如此～ 
因为庞德罗的教会有些与众不同吧～"
MID_RELIANCE_B_#008,"[罗萨德] 
你为了招募信徒，把教会装饰得很花哨。 
对了，还有像上次一样举办宴会……"
MID_RELIANCE_B_#009,"[庞德罗] 
我还在往教会的路上放了很多大大的招牌， 
用来吸引路人的注意呢。"
MID_RELIANCE_B_#010,"[庞德罗] 
我想尽办法降低门槛，让大家更容易入教。 
但在保守的信徒和神职人员眼中，我应该是邪魔歪道吧……"
MID_RELIANCE_B_#011,"[庞德罗] 
不过，信徒确实增加了， 
而且大家都非常虔诚哦。"
MID_RELIANCE_B_#012,"[庞德罗] 
真希望那些反对的人能多看看我们教会的优点啊…… 
这要求是不是太贪心了？"
MID_RELIANCE_B_#013,"[罗萨德] 
才不会呢！ 
庞德罗，我觉得你会这么想很正常。"
MID_RELIANCE_B_#014,"[庞德罗] 
谢谢你，罗萨德。 
把事情说出来后，我也舒服多了。"
MID_RELIANCE_B_#015,"[庞德罗] 
别担心…… 
我是不会被这点小事打倒的。"
MID_RELIANCE_B_#016,"[罗萨德] 
庞德罗……"
MID_RELIANCE_C_#001,"[罗萨德] 1 
[庞德罗] 2 

[庞德罗] 
嘿咿～！ 
罗萨德，今天的宴会玩得开心吗？"
MID_RELIANCE_C_#002,"[罗萨德] 
嘿咿～超开心的！ 
开心到每天都想参加呢！"
MID_RELIANCE_C_#003,"[庞德罗] 
真的假的！？ 
我就算再怎么喜欢宴会，每天也太……"
MID_RELIANCE_C_#004,"[庞德罗] 
嗯？等等……原来如此。 
罗萨德是来自妖精之村对吧？"
MID_RELIANCE_C_#005,"[罗萨德] 
对呀～"
MID_RELIANCE_C_#006,"[庞德罗] 
妖精之村的人就算彻夜狂欢， 
肤质也完全不会变差吧？"
MID_RELIANCE_C_#007,"[庞德罗] 
我还听说你们不管怎么吃， 
体型都不会变胖呢。"
MID_RELIANCE_C_#008,"[庞德罗] 
真让人羡慕啊～"
MID_RELIANCE_C_#009,"[罗萨德] 
庞德罗，你会羡慕啊～ 
那我就放心了～"
MID_RELIANCE_C_#010,"[庞德罗] 
咦？ 
放心什么？"
MID_RELIANCE_C_#011,"[罗萨德] 
因为有些人觉得我们不会老也不会胖， 
就跟妖怪一样啊～"
MID_RELIANCE_C_#012,"[庞德罗] 
啊～？无聊透顶！"
MID_RELIANCE_C_#013,"[庞德罗] 
对方只是在嫉妒你啦， 
你根本不用理他。"
MID_RELIANCE_C_#014,"[罗萨德] 
嗯，我知道。 
谢谢你，庞德罗。"
MID_RELIANCE_C_#015,"[庞德罗] 
好～那我下次开宴会时也会找你哦～！ 
罗萨德，你就好好期待吧！嘿咿～！"
MID_RELIANCE_C_#016,"[罗萨德] 
嘿咿～！"
