key,text
MID_RELIANCE_A_#001,"[安巴] 1 
[莫布] 2 

[安巴] 
你今天也负责站岗吗？真是认真呢。 
辛苦你喽。"
MID_RELIANCE_A_#002,"[莫布] 
肚子已经没事了吗？"
MID_RELIANCE_A_#003,"[安巴] 
还、还行。 
你呢，还会觉得累吗？"
MID_RELIANCE_A_#004,"[莫布] 
不用担心。"
MID_RELIANCE_A_#005,"[安巴] 
不过，你真的很努力耶。"
MID_RELIANCE_A_#006,"[安巴] 
…………"
MID_RELIANCE_A_#007,"[安巴] 
难道说你还是很在意 
过去曾与我们为敌吗？"
MID_RELIANCE_A_#008,"[莫布] 
什么？"
MID_RELIANCE_A_#009,"[安巴] 
被我说中了吧？"
MID_RELIANCE_A_#010,"[莫布] 
…………"
MID_RELIANCE_A_#011,"[莫布] 
要说不在意的话是骗人的。"
MID_RELIANCE_A_#012,"[莫布] 
失去一个人的信任并不难。 
但要赢得信任，可就没那么容易了……"
MID_RELIANCE_A_#013,"[安巴] 
果然是这样。 
所以你才会那样勉强自己啊。"
MID_RELIANCE_A_#014,"[安巴] 
不过，这事你不用担心。 
大家都知道你很努力。"
MID_RELIANCE_A_#015,"[莫布] 
是啊，毕竟…… 
你都把我做的事情告诉大家了。"
MID_RELIANCE_A_#016,"[安巴] 
咦？ 
你怎么会知道！？"
MID_RELIANCE_A_#017,"[莫布] 
天下可没不透风的墙， 
更何况这里也才几个人。"
MID_RELIANCE_A_#018,"[安巴] 
真伤脑筋……"
MID_RELIANCE_A_#019,"[莫布] 
不过，真是不可思议。 
只要看着你，我的心情就会豁然开朗。"
MID_RELIANCE_A_#020,"[莫布] 
心中的烦恼也烟消云散， 
变得只想看见你的笑容了。"
MID_RELIANCE_A_#021,"[安巴] 
哎呀……很多人都说 
我的可取之处只有开朗呢。"
MID_RELIANCE_A_#022,"[莫布] 
啊哈哈， 
真的有人这么说过啊？"
MID_RELIANCE_A_#023,"[安巴] 
话说回来…… 
我们好像还没好好认识对方呢。"
MID_RELIANCE_A_#024,"[安巴] 
到天亮前还有不少时间， 
要来聊聊吗？"
MID_RELIANCE_A_#025,"[莫布] 
好啊，我很乐意。"
MID_RELIANCE_A_#026,"[安巴] 
太好了！我安巴大人的故事， 
一定会让你笑到早上哦。"
MID_RELIANCE_B_#001,"[安巴] 1 
[莫布] 2 
[莫布] 
…………"
MID_RELIANCE_B_#002,"[安巴] 
莫布，你今天也负责站岗吗？ 
那我陪你吧。"
MID_RELIANCE_B_#003,"[莫布] 
你前阵子的拉伤 
已经不要紧了吗？"
MID_RELIANCE_B_#004,"[安巴] 
啊哈哈！ 
那种小伤早就好啦！"
MID_RELIANCE_B_#005,"[莫布] 
这样啊。 
那就……太好……了……"
MID_RELIANCE_B_#006,"[安巴] 
莫布！？"
MID_RELIANCE_B_#007,"[莫布] 
没事，别在意。我不要紧……"
MID_RELIANCE_B_#008,"[安巴] 
都这样了还说没事！ 
你现在这里坐着，我去取点水来！"
MID_RELIANCE_B_#009,"[安巴] 
如何？感觉好点了吗？"
MID_RELIANCE_B_#010,"[莫布] 
嗯……托你的福…… 
可能被你说对了，我好像有点累了……"
MID_RELIANCE_B_#011,"[安巴] 
哈哈，听你这么说我就放心了。"
MID_RELIANCE_B_#012,"[莫布] 
咦？"
MID_RELIANCE_B_#013,"[安巴] 
你的身体又不是铁打的， 
下次可别再勉强自己了。"
MID_RELIANCE_B_#014,"[莫布] 
呵呵，真是败给你了……"
