key,text
MID_RELIANCE_A_#001,"[凡德雷] 1 
[安巴] 2 

[安巴] 
唔唔唔…… 
唔唔唔唔唔唔……"
MID_RELIANCE_A_#002,"[凡德雷] 
怎么啦？才稍微练一下就不行了吗？ 
接下来还要跑步哦。"
MID_RELIANCE_A_#003,"[安巴] 
呜……凡德雷先生…… 
你平常都在做这些锻炼吗？"
MID_RELIANCE_A_#004,"[凡德雷] 
嗯，没错。"
MID_RELIANCE_A_#005,"[安巴] 
太夸张了…… 
光是要跟上你……就已经很勉强了！"
MID_RELIANCE_A_#006,"[凡德雷] 
年纪轻轻却这么没出息，真是丢人啊。 
阁下这样是不可能成为传说的哦。"
MID_RELIANCE_A_#007,"[安巴] 
非常抱歉！"
MID_RELIANCE_A_#008,"[安巴] 
话说回来，凡德雷先生的装备…… 
或许更有机会成为传说中的武器吧。"
MID_RELIANCE_A_#009,"[凡德雷] 
我说过对传说中的武器没有半点兴趣了吧。 
而且……"
MID_RELIANCE_A_#010,"[凡德雷] 
我认为世上更需要像安巴先生这样…… 
透过刻苦锻炼创造出传说的年轻人呢。"
MID_RELIANCE_A_#011,"[凡德雷] 
阁下还有很大的成长空间。 
只要肯努力，一定会变得更强。"
MID_RELIANCE_A_#012,"[凡德雷] 
千万别忘了童年的梦想，笔直地迈向未来吧。 
总有一天，阁下手上的武器一定会成为传说。"
MID_RELIANCE_A_#013,"[安巴] 
凡德雷先生……！ 
我会加油的！"
MID_RELIANCE_A_#014,"[安巴] 
就像我小时候读过的故事一样…… 
我的武器一定会成为青史留名的传说！"
MID_RELIANCE_A_#015,"[凡德雷] 
……真是个不错的目标。 
为此，阁下得先撑过我的锻炼才行呢。"
MID_RELIANCE_A_#016,"[安巴] 
嗯！我会努力的！ 
今后也请你严格地指导我吧！"
MID_RELIANCE_B_#001,"[凡德雷] 1 
[安巴] 2 

[安巴] 
喝……喝……"
MID_RELIANCE_B_#002,"[安巴] 
还不够…… 
我必须……变得更强……"
MID_RELIANCE_B_#003,"[凡德雷] 
这不是安巴先生吗？ 
一大早就开始锻炼身体，真是了不起啊。"
MID_RELIANCE_B_#004,"[安巴] 
嗯！ 
因为我得先成为最强的人才行啊！"
MID_RELIANCE_B_#005,"[安巴] 
这样我的长枪才能变成传说中的武器！"
MID_RELIANCE_B_#006,"[凡德雷] 
没想到他竟然当真了…… 
该说是天真还是愚蠢呢……"
MID_RELIANCE_B_#007,"[安巴] 
你说了什么吗？"
MID_RELIANCE_B_#008,"[凡德雷] 
没，没什么。 
安巴先生为何如此执着于传说中的武器？"
MID_RELIANCE_B_#009,"[安巴] 
我的故乡是个穷乡僻壤， 
小时候唯一的娱乐就是看书。"
MID_RELIANCE_B_#010,"[安巴] 
当时我最喜欢的题材， 
就是骑士用传说中的武器与怪物大战的故事……"
MID_RELIANCE_B_#011,"[凡德雷] 
这样啊。"
MID_RELIANCE_B_#012,"[安巴] 
或许是对那些故事念念不忘吧， 
我到现在还是梦想着得到传说中的武器呢！"
MID_RELIANCE_B_#013,"[凡德雷] 
原来如此…… 
那么，阁下要不要和我一起锻炼呢？"
MID_RELIANCE_B_#014,"[安巴] 
真的可以吗！？我求之不得啊！！"
MID_RELIANCE_B_#015,"[安巴] 
凡德雷先生既强大又帅气！ 
我很好奇你平常都在做什么锻炼呢！"
MID_RELIANCE_B_#016,"[凡德雷] 
嗯，我的锻炼可不轻松哦。"
MID_RELIANCE_C_#001,"[凡德雷] 1 
[安巴] 2 

[安巴] 
凡德雷先生， 
你知道这附近有什么传说中的武器吗？"
MID_RELIANCE_C_#002,"[凡德雷] 
传说中的武器？ 
为什么要问这种事？"
MID_RELIANCE_C_#003,"[安巴] 
我很向往传说中的武器。"
MID_RELIANCE_C_#004,"[安巴] 
索拉涅尔里有许多神圣的地方， 
感觉应该能找到一两把神兵利器……"
MID_RELIANCE_C_#005,"[凡德雷] 
我对传说中的武器没有半点兴趣。"
MID_RELIANCE_C_#006,"[安巴] 
这样啊。 
那你应该也不知道哪里能找到吧。"
MID_RELIANCE_C_#007,"[凡德雷] 
不过，我知道如何得到它。"
MID_RELIANCE_C_#008,"[安巴] 
真，真的吗！？要怎样才能得到！？ 
凡德雷先生，拜托你告诉我吧！"
MID_RELIANCE_C_#009,"[凡德雷] 
首先，何谓传说中的武器呢？"
MID_RELIANCE_C_#010,"[安巴] 
咦！？"
MID_RELIANCE_C_#011,"[凡德雷] 
最强的人拿过的武器…… 
经过口耳相传就变成了传说，对吧？"
MID_RELIANCE_C_#012,"[安巴] 
嗯，好像是耶……"
MID_RELIANCE_C_#013,"[凡德雷] 
那么，只要安巴先生自己成为传说就行了。"
MID_RELIANCE_C_#014,"[安巴] 
我……成为传说？"
MID_RELIANCE_C_#015,"[安巴] 
对耶…… 
这样我拿的武器就会……"
MID_RELIANCE_C_#016,"[凡德雷] 
就会变成传说中的武器。"
MID_RELIANCE_C_#017,"[安巴] 
哦哦哦哦哦哦！"
MID_RELIANCE_C_#018,"[安巴] 
凡德雷先生，谢谢你！ 
我一定会拿到传说中的武器！"
