key,text
MID_BT1_#001,"[琉尔] t 
[琉尔] 
Angry 

[琉尔] 
我能从你身上感受到一股如烈焰般的气势。 
这是……"
MID_BT1_#002,"[罗伊] b 
[罗伊] Die 
[罗伊] 
这里除了是我曾经的战场之外， 
也是这把封印之剑的安放之所。"
MID_BT1_#003,"[罗伊] Status 
[罗伊] 
或许就是这份记忆为我带来了力量吧。"
MID_BT1_#004,"[琉尔] Strike 

[琉尔] 
记忆化为了力量……？看来是不能轻敌了。 
我要拼全力上了，看招！"
MID_BT2_#001,"[罗伊] b 
[罗伊] 
Relax 
[罗伊] 
我的对手是你吗，看来不可大意啊。"
MID_BT2_#002,"[帝亚曼德] t 
[帝亚曼德] Strike 
[帝亚曼德] 
很高兴能听到你这么说。 
我也一样……"
MID_BT2_#003,"[帝亚曼德] 
在戒指托付给了布罗帝亚的纹章士罗伊面前， 
我可得拿出相应的实力才行啊……！"
MID_BT2_#004,"[罗伊] Status 
[罗伊] 
看来我们能有一场精彩的对决了。 
来吧，帝亚曼德！"
MID_BT3_#001,"[史塔卢克] t 

[史塔卢克] Sad 

[史塔卢克] 
罗、罗伊大人，与其和我这种人战斗…… 
应该有更适合您的人选吧……？"
MID_BT3_#002,"[罗伊] b 
[罗伊] 
Smile 
[罗伊] 
史塔卢克， 
你到底在说什么啊？"
MID_BT3_#003,"[罗伊] Status 
[罗伊] 
我的戒指被托付给了布罗帝亚，而你是布罗帝亚的王子…… 
还有比你更适合的对手吗？"
MID_BT3_#004,"[罗伊] StandBy 
[罗伊] 
让我们开始吧！"
MID_ED1_#001,"[琉尔] 1 

[罗伊] 2 
[罗伊] 
呼～ ， 
谢谢你接受了我的考验。"
MID_ED1_#002,"[琉尔] 
要是稍有闪失，输的就是我了呢。 
我可不想再与你为敌了。"
MID_ED1_#003,"[罗伊] 
听你这么说，感觉真不好意思。"
MID_ED1_#004,"[罗伊] 
…………"
MID_ED1_#005,"[琉尔] 
怎么了吗？ 
为什么一直盯着我的脸看？"
MID_ED1_#006,"[罗伊] 
没什么，只是…… 
你让我想起了某位叫做伊敦的少女……"
MID_ED1_#007,"[罗伊] 
她的真实身分是受了伯尔尼国王赛菲尔之命， 
妄图消灭人类的……魔龙。"
MID_ED1_#008,"[琉尔] 
魔龙……"
MID_ED1_#009,"[罗伊] 
她也拥有一对和你一样的异色瞳。 
而且……你们给人的感觉也很像。"
MID_ED1_#010,"[琉尔] 
原来还有这样一位少女啊…… 
那你和她……和魔龙战斗了吗？"
MID_ED1_#011,"[罗伊] 
当时的我被迫在人类与龙族间做出选择。 
是要打倒她毁灭龙族，还是与人类为敌拯救龙族……"
MID_ED1_#012,"[罗伊] 
最后我……"
MID_ED1_#013,"[琉尔] 
最后……？"
MID_ED1_#014,"[罗伊] 
呵呵，接下来的故事就等之后再说吧。 
等这场战斗结束，世界恢复和平之后……"
MID_ED1_#015,"[琉尔] 
咦……我知道了，那就一言为定。 
我很期待那天的到来。"
MID_ED1_#016,"[罗伊] 
嗯，一言为定。 
，今后也请多多指教！"
MID_EV1_#001,"[罗伊] b 
[罗伊] 
Relax 
[罗伊] 
你会如何通过这场考验呢？ 
我很期待你的表现。"
MID_EV2_#001,"[琉尔] t 
[琉尔] 
Angry 

[琉尔] 
远处传来了振翅声……？！ 
会不会……是龙群……？"
MID_EV2_#002,"[琉尔] 
也可能是敌军的增援…… 
小心前进吧。"
MID_LC1_#001,
MID_OP1_#001,"[琉尔] 1 

[罗伊] 2 

[琉尔] 
来到了一个陌生的地方呢。 
这究竟是哪里呢……？"
MID_OP1_#002,"[罗伊] 
这里是…… 
不，不可能。"
MID_OP1_#003,"[琉尔] 
你知道这里是什么地方吗？"
MID_OP1_#004,"[罗伊] 
可能只是我想多了…… 
不过，我曾到过类似的地方。"
MID_OP1_#005,"[罗伊] 
那里……曾经是我的战场。"
MID_OP1_#006,"[琉尔] 
是在罗伊你生活过的世界里吗？ 
愿意的话，就请和我说说吧。"
MID_OP1_#007,"[罗伊] 
嗯。我曾经在一个与此地十分相似的地方， 
和伯尔尼王国的军队交战过。"
MID_OP1_#008,"[罗伊] 
敌方的将领叫墨德克，身手十分了得。"
MID_OP1_#009,"[罗伊] 
他挥动战斧的那一击…… 
猛烈而沉重，至今仍深深烙印在我的脑海里。"
MID_OP1_#010,"[罗伊] 
那是一场超乎想象的苦战。"
MID_OP1_#011,"[罗伊] 
不过，就算是如此艰辛的战斗…… 
现在回想起来还是很令人怀念。"
MID_OP1_#012,"[琉尔] 
对你来说，这是非常珍贵的回忆吧。"
MID_OP1_#013,"[罗伊] 
嗯。 
我感觉心中似乎涌起了一股热流……"
MID_OP1_#014,"[罗伊] 
，我有个请求…… 
可否与我在此一战？"
MID_OP1_#015,"[琉尔] 
和你战斗吗……？"
MID_OP1_#016,"[罗伊] 
这里一定是上天为你准备的考验之地。 
但你的对手不是墨德克……而是我。"
MID_OP1_#017,"[罗伊] 
想办法击败我吧。 
如此一来，我们就可以缔结更深的牵绊。"
MID_OP1_#018,"[罗伊] 
而我也能把更多的力量借给你了。 
你愿意接受考验吗？"
MID_OP1_#019,"[琉尔] 
好……我接受你的考验。 
我一定会胜过你的。"
