key,text
MSID_Ambush_1,埋伏
MSID_Ambush_2,埋伏+
MSID_Ambush_3,埋伏++
MSID_Anger,愤怒
MSID_Approach_1,助跑
MSID_Approach_2,助跑+
MSID_AugmentDamage_1,避开要害
MSID_AugmentDamage_2,避开要害+
MSID_AugmentDamage_3,避开要害++
MSID_Avo_10,回避+10
MSID_Avo_15,回避+15
MSID_Avo_20,回避+20
MSID_Avo_25,回避+25
MSID_Avo_30,回避+30
MSID_AxeArts_Hard_1,斧术·刚Lv.1
MSID_AxeArts_Hard_2,斧术·刚Lv.2
MSID_AxeArts_Hard_3,斧术·刚Lv.3
MSID_AxeArts_Hard_4,斧术·刚Lv.4
MSID_AxeArts_Hard_5,斧术·刚Lv.5
MSID_AxeKilling,破斧者
MSID_Azure_1,苍穹
MSID_Azure_2,苍穹+
MSID_BadBirdHit,凶鸟一击
MSID_BlackMagic_1,共鸣之黑魔法
MSID_BlackMagic_2,共鸣之黑魔法+
MSID_BlessingOfEleos,艾雷欧斯的祝福
MSID_BondPower,双重攻击
MSID_BowArts_Mind_1,弓术·心Lv.1
MSID_BowArts_Mind_2,弓术·心Lv.2
MSID_BowArts_Mind_3,弓术·心Lv.3
MSID_BowArts_Mind_4,弓术·心Lv.4
MSID_BowArts_Mind_5,弓术·心Lv.5
MSID_BowArts_Soft_1,弓术·柔Lv.1
MSID_BowArts_Soft_2,弓术·柔Lv.2
MSID_BowArts_Soft_3,弓术·柔Lv.3
MSID_BowArts_Soft_4,弓术·柔Lv.4
MSID_BowArts_Soft_5,弓术·柔Lv.5
MSID_BowKilling,破弓者
MSID_BraveGeneral_1,[勇将]
MSID_BraveGeneral_2,勇将+
MSID_BraveSky_1,[勇空]
MSID_BraveSky_2,勇空+
MSID_BreakInvalid,打破无效
MSID_BreakPursuit,接二连三
MSID_BylethEngage,指导
MSID_BylethEngageAtk,计策：女神之舞
MSID_BylethEngage_Coop_CMD,指导〈力量〉
MSID_BylethEngage_Covert_CMD,指导〈速度〉
MSID_BylethEngage_Dragon_CMD,指导〈全〉
MSID_BylethEngage_Fly_CMD,指导〈魔防〉
MSID_BylethEngage_Heavy_CMD,指导〈防守〉
MSID_BylethEngage_Horse_CMD,指导〈技巧〉
MSID_BylethEngage_Magic_CMD,指导〈魔力〉
MSID_BylethEngage_Prana_CMD,指导〈幸运〉
MSID_BylethRing_Claude,风神
MSID_BylethRing_Dimitri,[幻月]
MSID_BylethRing_Edelgard,闪花
MSID_CatBites,狗急跳墙
MSID_CelicaEngage,[重唱]
MSID_CelicaEngageAtk,传送末世烈焰
MSID_CelicaEngageAtk_DarkSide,末世烈焰传送
MSID_CelicaRing_Alm,疾风横扫
MSID_CelicaRing_Mae,轰雷
MSID_ChainAttackDamageWeaken,撕裂牵绊者
MSID_ClearStreamHit,清流一击
MSID_ClosingAttack,深入
MSID_ConnectPerson_1,系承牵绊者
MSID_ConnectPerson_2,系承牵绊者+
MSID_CriAvo_10,必避+10
MSID_CriAvo_15,必避+15
MSID_CriAvo_20,必避+20
MSID_CriAvo_25,必避+25
MSID_CriAvo_30,必避+30
MSID_CurseOfNihility,虚无诅咒
MSID_Deadline,死线
MSID_Def_1,防守+1
MSID_Def_2,防守+2
MSID_Def_3,防守+3
MSID_Def_4,防守+4
MSID_Def_5,防守+5
MSID_DefenseSeal,防守封锁
MSID_DefenseStyle,防阵
MSID_DemonHit,鬼神一击
MSID_DemonStance,鬼神架势
MSID_DragonCurse,龙咒
MSID_DragonPulse,龙脉
MSID_DragonPulse_AvoDown,龙脉&lt;水&gt;
