key,text
MID_B_INFO_DAMAGE,预测伤害
MID_COMBAT_INFO_Recovery,回复
MID_Decision,确定
MID_H_COMBAT_INFO_Crit,“必杀攻击”的发生几率。
MID_H_COMBAT_INFO_Dmg,命中时，给敌人造成的伤害量。
MID_H_COMBAT_INFO_HP,预测HP在此次战斗中的增减。
MID_H_COMBAT_INFO_Hit,“攻击”及“回复”的命中率。
MID_H_COMBAT_INFO_Recovery,对方将回复的HP量。
MID_H_Difficulty_Hard,适合高手玩家。
MID_H_Difficulty_Lunatic,适合追求挑战性的玩家。
MID_H_Difficulty_Normal,适合初级和中级玩家。
MID_H_Grow_Fixed,"升级时仅根据单位及兵种的特性 
提升能力。"
MID_H_Grow_Random,"升级时根据单位及兵种的特性 
随机提升能力。"
MID_H_INFO_Atk,武器或魔法的攻击力。
MID_H_INFO_Avo,"回避攻击的能力。 
数值越高，越容易回避敌人的攻击。"
MID_H_INFO_BOND_LV,"与纹章士的牵绊强度。 
数值越高，越能发挥纹章士的能力。"
MID_H_INFO_Crit,"较容易使出必杀攻击的能力。 
（必杀攻击的伤害是平常的3倍）"
MID_H_INFO_DISABLE_ENGAGE,无法使用：结合道具
MID_H_INFO_DISABLE_WEAPONLEVEL,无法使用：兵种限制
MID_H_INFO_Def,"防守力。 
数值越高，敌人物理攻击的伤害就越低。"
MID_H_INFO_HP,"单位的生命力， 
归0时将无法战斗。"
MID_H_INFO_Hit,"使攻击命中的能力。 
数值越高，攻击越容易命中。"
MID_H_INFO_LV,"判断实力的基准， 
累积经验值便会提升。 
距离升级还需 EXP"
MID_H_INFO_LV_ENEMY,"判断实力的基准， 
累积经验值便会提升。"
MID_H_INFO_LV_MAX,"判断实力的基准， 
累积经验值便会提升。 
（已达等级上限）"
MID_H_INFO_Lck,"运气。会影响各种行动。 
（数值越高，越难受到必杀攻击。）"
MID_H_INFO_Mag,"魔力的强度。数值越高， 
魔法攻击的伤害及杖的回复量就越高。"
MID_H_INFO_Mov,"移动力。 
数值越高，可移动的格数越多。"
MID_H_INFO_Param_Base,基础值
MID_H_INFO_Param_Correction_Effect,效果
MID_H_INFO_Param_Correction_God,纹章士
MID_H_INFO_Param_Correction_Hub,据点行动
MID_H_INFO_Param_Correction_Support,支援
MID_H_INFO_Param_Correction_Terrain,地形
MID_H_INFO_Param_Correction_Weight,武器重量
MID_H_INFO_Phy,"身体的健壮程度。数值越高， 
使用重型武器时会降低的速度越少。"
MID_H_INFO_Rating,判断单位综合强度的基准。
MID_H_INFO_Res,"魔法防御力。 
数值越高，敌人魔法攻击的伤害就越低。"
MID_H_INFO_SP,"特技点数， 
用于继承纹章士的特技。"
MID_H_INFO_Secure,"回避必杀攻击的能力。 
数值越高，越难受到敌人的必杀攻击。"
MID_H_INFO_Spd,"速度。数值越高，回避也会随之提升。 
（数值高于敌人5以上时，将发生追击）"
MID_H_INFO_Str,"力量的强度。 
数值越高，物理攻击的伤害就越高。"
MID_H_INFO_Tec,"灵巧度。 
数值越高，命中及必杀也会随之提升。"
MID_H_INFO_Vis,"视野能见度。数值越高， 
在阴暗的地方越能看清远方。"
MID_H_INFO_WLV,显示单位可使用 的等级
MID_H_INFO_WLV_Axe,斧
MID_H_INFO_WLV_Bow,弓
MID_H_INFO_WLV_Dagger,短剑
MID_H_INFO_WLV_Fist,体术
MID_H_INFO_WLV_Lance,枪
MID_H_INFO_WLV_Magic,魔道书
MID_H_INFO_WLV_Rod,杖
MID_H_INFO_WLV_Special,特殊攻击
MID_H_INFO_WLV_Sword,剑
MID_H_Mode_Casual,倒下的伙伴会在下个章节归队，较为轻松的模式。
MID_H_Mode_Classic,玩家将会永远失去倒下的伙伴，需谨慎思考的模式。
MID_H_SYS_Equip,E
MID_KEYHELP_ANIMAL_ACTION,动作
MID_KEYHELP_ANIMAL_VIEW,环视
MID_KEYHELP_BIRTHDAY_SELECT,切换日期
MID_KEYHELP_CATEGORY_ACTION,切换项目
MID_KEYHELP_DASH,奔跑
MID_KEYHELP_EDIT_DELETE,消除
MID_KEYHELP_EDIT_LIST,地形一览
MID_KEYHELP_EDIT_OBJCHANGE,切换地形
MID_KEYHELP_EDIT_PUT,配置
MID_KEYHELP_EDIT_TACTICS_CHANGE,更改战术
MID_KEYHELP_EDIT_TURN,旋转
MID_KEYHELP_EDIT_UNDO,撤消
