key,text
MID_WU_A_1_HELLO_#001,哎呀……变回来了。
MID_WU_A_1_HELLO_#002,你没看到我刚刚的样子，真是可惜。
MID_WU_A_1_HELLO_#003,等再进到货时，我再秀给你看吧！
MID_WU_A_1_IN_#001,神龙大人，我进了很稀有的商品哦！
MID_WU_A_1_IN_#002,是能改变声音的药！快起床试试看吧！
MID_WU_A_1_SOON_#001,早安！
MID_WU_A_1_SOON_#002,神龙大人吃吃看这个吧。来！
MID_WU_A_1_SOON_#003,还是一样的声音呢……
MID_WU_A_1_SOON_#004,我买到假的商品了，难道我被骗了吗？
MID_WU_A_1_WAKEUP_#001,你不起来的话，我只好自己吃了……嗯！
MID_WU_A_1_WAKEUP_#002,咦！？怎么回事？不只声音，我……
MID_WU_A_1_WAKEUP_#003,我变成大人啦！好厉害啊！
MID_WU_A_2_HELLO_#001,关于项链这个提案，
MID_WU_A_2_HELLO_#002,真的非常谢谢你！
MID_WU_A_2_HELLO_#003,咦？我不会更改商品名称哦。
MID_WU_A_2_HELLO_#004,绝对会使用神龙项链这个名字的！
MID_WU_A_2_IN_#001,嘿嘿～情人节项链开发得很顺利呢！
MID_WU_A_2_SOON_#001,哦！是项链提案者！
MID_WU_A_2_SOON_#002,你也对商品开发很有兴趣吧？
MID_WU_A_2_SOON_#003,现在啊，因为我想起了工艺品的制作方法，
MID_WU_A_2_SOON_#004,所以正不停地在进行改良哦！
MID_WU_A_2_WAKEUP_#001,多亏了你，这次应该能做出很棒的商品……
MID_WU_A_2_WAKEUP_#002,因为有我们，
MID_WU_A_2_WAKEUP_#003,世界上说不定会诞生很多组恋人呢！
MID_WU_A_2_WAKEUP_#004,这是多么美好的事情啊，对吧？
MID_WU_B_1_HELLO_#001,早安，神龙大人。
MID_WU_B_1_HELLO_#002,我，我才没有一脸消沉呢！
MID_WU_B_1_HELLO_#003,商人最重要的就是笑容啦！
MID_WU_B_1_HELLO_#004,不过……还是谢谢你的关心。
MID_WU_B_1_IN_#001,当当～～！今天是冬祭哦～！
MID_WU_B_1_SOON_#001,吓人起床作战成功啦！
MID_WU_B_1_SOON_#002,虽然我知道在索拉涅尔没有这种庆典。
MID_WU_B_1_SOON_#003,但在安娜小姐的故乡，每天都是冬祭哦！
MID_WU_B_1_WAKEUP_#001,嗯……谎言果然被识破了吗。
MID_WU_B_1_WAKEUP_#002,但在我的故乡，真的每天都在举办冬祭哦。
MID_WU_B_1_WAKEUP_#003,不知故乡的亲友们现在过得还好吗……
MID_WU_B_2_HELLO_#001,神龙大人，不能搬到伊尔席翁的村落去生活吗？
MID_WU_B_2_HELLO_#002,我替你准备了几个搬家方案哦。
MID_WU_B_2_HELLO_#003,但觉得这个是最划算的……
MID_WU_B_2_HELLO_#004,咦？！不行吗？
MID_WU_B_2_IN_#001,神龙大人说不定拥有经商的才能呢……
MID_WU_B_2_SOON_#001,早安！
MID_WU_B_2_SOON_#002,除了情人节的商品之外……
MID_WU_B_2_SOON_#003,我还想了解很多商品哦。
MID_WU_B_2_SOON_#004,如果方便的话，再来帮帮我吧！
MID_WU_B_2_WAKEUP_#001,我的故乡是冬祭之村……
MID_WU_B_2_WAKEUP_#002,一整年都在举办庆典，所以我每天都在思考新商品……
MID_WU_B_2_WAKEUP_#003,要是神龙大人能来到我的故乡的话……！
MID_WU_C_1_HELLO_#001,早安，神龙大人。
MID_WU_C_1_HELLO_#002,为了击退不擅长的早起，
MID_WU_C_1_HELLO_#003,我觉得早睡是最有效的攻击武器哦！
MID_WU_C_1_HELLO_#004,好好加油吧！
MID_WU_C_1_IN_#001,天亮了哦！
MID_WU_C_1_IN_#002,早睡早起的安娜小姐来叫你起床啦！
MID_WU_C_1_SOON_#001,哇！马上就起来啦。好乖好乖！
MID_WU_C_1_SOON_#002,但醒来得也太快了……
MID_WU_C_1_SOON_#003,神龙大人，其实不需要别人来叫你起床吧……？
MID_WU_C_1_WAKEUP_#001,叫不醒呢……
MID_WU_C_1_WAKEUP_#002,神龙大人其实是夜猫子，不擅长早起吧？
MID_WU_C_1_WAKEUP_#003,神龙大人赢得过夜晚，但输给了早晨……？
MID_WU_C_1_WAKEUP_#004,用猜拳的规则来想的话，夜晚会比早晨强喽……？
MID_WU_C_2_HELLO_#001,你起床啦！
MID_WU_C_2_HELLO_#002,这个产品非常有效呢。
MID_WU_C_2_HELLO_#003,说不定能大卖哦！
MID_WU_C_2_HELLO_#004,咦？
MID_WU_C_2_HELLO_#005,使用一次就坏掉啦……真可惜……
MID_WU_C_2_IN_#001,安娜小姐的起床闹铃服务来喽！该起床啦～～！
MID_WU_C_2_SOON_#001,早安，神龙大人。
MID_WU_C_2_SOON_#002,我有好好地把你叫醒哦。
MID_WU_C_2_SOON_#003,作为服务费……
MID_WU_C_2_SOON_#004,就给本小姐来个摸摸头吧！
MID_WU_C_2_WAKEUP_#001,遇到强敌了呢……
MID_WU_C_2_WAKEUP_#002,这种时候就要用这个！
MID_WU_C_2_WAKEUP_#003,新产品，闹铃玩偶！
MID_WU_C_2_WAKEUP_#004,把玩偶像这样设定好的话……
MID_WU_C_2_WAKEUP_#005,就能在指定的时间，听到吓人的声音……哇啊！
MID_WU_S_1_HELLO_#001,啊，早安。
MID_WU_S_1_HELLO_#002,好！今天也要把商品都卖光光哦！
MID_WU_S_1_HELLO_#003,两人一起卖就会生意兴隆。
MID_WU_S_1_HELLO_#004,绝对能大赚的！对吧？
MID_WU_S_1_IN_#001,早安～！
MID_WU_S_1_IN_#002,俗话说，早起的鸟儿有虫吃！快起来快起来！
MID_WU_S_1_SOON_#001,真不愧是安娜小姐的搭档啊。
MID_WU_S_1_SOON_#002,很了解早起的鸟儿有虫吃的道理嘛！嘿嘿……
MID_WU_S_1_SOON_#003,今天也请你多多指教喽。
MID_WU_S_1_WAKEUP_#001,不肯起床吗？没关系。
MID_WU_S_1_WAKEUP_#002,反正我喜欢待在你的身边。
MID_WU_S_1_WAKEUP_#003,也很喜欢你前不久送给我的戒指……
MID_WU_S_1_WAKEUP_#004,因为能证明我是你最要好的人嘛。
MID_WU_S_1_WAKEUP_#005,还有啊，偷偷跟你说……
MID_WU_S_1_WAKEUP_#006,我也喜欢你的红色头发哦！
MID_WU_S_1_WAKEUP_#007,因为，跟我是一对的啊！
MID_WU_S_2_HELLO_#001,早安。咦？你梦见我长大成人的样子了吗？是吗……
MID_WU_S_2_HELLO_#002,那我一定会超越你梦里那位，
MID_WU_S_2_HELLO_#003,成为一个更有魅力的女人！
MID_WU_S_2_IN_#001,情人节也结束了……
MID_WU_S_2_IN_#002,早点起来，一起思考新商品吧。我的搭档！
MID_WU_S_2_SOON_#001,哦！你很有干劲嘛。
MID_WU_S_2_SOON_#002,跟你一起想的话，
MID_WU_S_2_SOON_#003,好像又能想到很棒的点子呢。
MID_WU_S_2_SOON_#004,让我们像这样，一起增加财力并留下许多回忆吧。
MID_WU_S_2_WAKEUP_#001,嗯，那天真的好开心啊。
MID_WU_S_2_WAKEUP_#002,项链就像是自己飞出去一样热卖呢……
MID_WU_S_2_WAKEUP_#003,恋人们牵着彼此的手，看上去好幸福啊。
MID_WU_S_2_WAKEUP_#004,等我长大成人，我也……
MID_WU_S_2_WAKEUP_#005,我也会像那样跟恋人一起买东西吗？
MID_WU_S_2_WAKEUP_#006,那么到时候……希望你能陪在我的身边。
