key,text
MID_WU_A_1_HELLO_#001,神龙大人，早安。
MID_WU_A_1_HELLO_#002,还有谢谢您……
MID_WU_A_1_HELLO_#003,托您的福，我终于找到灵感了。
MID_WU_A_1_HELLO_#004,您的美丽……
MID_WU_A_1_HELLO_#005,还能使美味诞生呢……
MID_WU_A_1_IN_#001,我想不出新菜色……
MID_WU_A_1_IN_#002,嗯？这里是神龙大人的房间……？
MID_WU_A_1_SOON_#001,不好意思。
MID_WU_A_1_SOON_#002,我边想事情边走着就走到这里来了。
MID_WU_A_1_SOON_#003,为了对吵醒了您的一事赔罪……
MID_WU_A_1_SOON_#004,改天我带些香甜的烤点心来吧……
MID_WU_A_1_WAKEUP_#001,神龙大人总是这么美丽……特别是这把秀发……
MID_WU_A_1_WAKEUP_#002,对了，我来试着把食材的两面各用不同的烹调方法……
MID_WU_A_1_WAKEUP_#003,让口味产生变化好了……
MID_WU_A_2_HELLO_#001,您醒了吗？
MID_WU_A_2_HELLO_#002,啊，今天您那双番茄和蓝莓颜色的眼睛仍是那么美……
MID_WU_A_2_HELLO_#003,让我的创作灵感又如泉水涌出了……
MID_WU_A_2_IN_#001,嗯……把这个房间看作餐点的话……
MID_WU_A_2_IN_#002,可能会是一份精致的蛋糕呢……
MID_WU_A_2_SOON_#001,我又想为您做菜了……
MID_WU_A_2_SOON_#002,像是把您沉睡千年的地方作为原型的餐点……
MID_WU_A_2_SOON_#003,光是想象，我的心情就激动起来了……
MID_WU_A_2_WAKEUP_#001,既然要为神龙大人做菜……
MID_WU_A_2_WAKEUP_#002,那除了味道以外，我也想讲究一下外观……
MID_WU_A_2_WAKEUP_#003,我要不要干脆用糖雕把整个索拉涅尔呈现出来好呢……？
MID_WU_B_1_HELLO_#001,早安。
MID_WU_B_1_HELLO_#002,在睡梦中嗅到的一丝香气……
MID_WU_B_1_HELLO_#003,还有做料理的声音很棒是吧。
MID_WU_B_1_HELLO_#004,不过……
MID_WU_B_1_HELLO_#005,请您把嘴边的口水擦掉吧……
MID_WU_B_1_IN_#001,我听说神龙大人有时会赖床……
MID_WU_B_1_SOON_#001,但看来今天不是呢……
MID_WU_B_1_SOON_#002,我这就去为您准备暖烘烘的早餐。
MID_WU_B_1_WAKEUP_#001,嗯，看来今天碰上了呢。
MID_WU_B_1_WAKEUP_#002,那么……我用料理的香味让他醒来吧。
MID_WU_B_1_WAKEUP_#003,切好食材……加热弄熟后熬煮一下，再来调味……
MID_WU_B_1_WAKEUP_#004,差不多该煮好了……
MID_WU_B_2_HELLO_#001,神龙大人，这股香气到底是……？
MID_WU_B_2_HELLO_#002,咦？您把宵夜藏起来了？
MID_WU_B_2_HELLO_#003,呃……这样会让料理的风味劣化……
MID_WU_B_2_HELLO_#004,我劝您还是别在室温下把食物摆放太久……
MID_WU_B_2_IN_#001,呵呵……今天也嗅到了一股我不知道的香气呢……
MID_WU_B_2_SOON_#001,这股香气是从楼下传来的吗……？
MID_WU_B_2_SOON_#002,不好意思，我失陪了……
MID_WU_B_2_SOON_#003,我得去厨房确认一下在煮什么菜……
MID_WU_B_2_WAKEUP_#001,似乎不是从神龙大人的衣服传来的呢。
MID_WU_B_2_WAKEUP_#002,就算是神龙大人……
MID_WU_B_2_WAKEUP_#003,相信也不会每次都把料理打翻吧……
MID_WU_B_2_WAKEUP_#004,那么，是从哪里传来的……？
MID_WU_C_1_HELLO_#001,神龙大人。
MID_WU_C_1_HELLO_#002,我想征询您的意见……
MID_WU_C_1_HELLO_#003,您比较喜欢哪株香草？
MID_WU_C_1_HELLO_#004,请尝尝这些试吃品再告诉我感想……
MID_WU_C_1_IN_#001,在这里吃饭感觉会更加美味呢……
MID_WU_C_1_SOON_#001,早安……
MID_WU_C_1_SOON_#002,请问您要在楼下用膳……
MID_WU_C_1_SOON_#003,还是需要我把早餐端过来呢？
MID_WU_C_1_WAKEUP_#001,还有一点时间。
MID_WU_C_1_WAKEUP_#002,我先尝着自家种植的香草等一会吧……
MID_WU_C_1_WAKEUP_#003,嗯……这株带着辛香味……
MID_WU_C_1_WAKEUP_#004,另外这株则带着甜得刺鼻的香味……
MID_WU_C_2_HELLO_#001,早安。
MID_WU_C_2_HELLO_#002,那个……不好意思，我能尝尝这张床吗？
MID_WU_C_2_HELLO_#003,嗯？我很清醒啊？
MID_WU_C_2_IN_#001,有没有什么新的口味呢……
MID_WU_C_2_SOON_#001,神龙大人。
MID_WU_C_2_SOON_#002,我时常都在追求崭新的口味……
MID_WU_C_2_SOON_#003,这房间里有没有什么东西能给我尝尝呢……？
MID_WU_C_2_WAKEUP_#001,这里好像没有能当成食材的东西，真可惜啊。
MID_WU_C_2_WAKEUP_#002,其他东西……嗯，那根柱子和那张床……
MID_WU_C_2_WAKEUP_#003,虽然不能食用，但我很好奇它们的口感。
MID_WU_C_2_WAKEUP_#004,跟雪一样白，感觉很美味呢……
MID_WU_S_1_HELLO_#001,来，多吃点，这样才有力气打赢战争啊。
MID_WU_S_1_HELLO_#002,我也得努力才行呢。
MID_WU_S_1_HELLO_#003,因为我希望在明天，还有将来……
MID_WU_S_1_HELLO_#004,永远都在您的身边……
MID_WU_S_1_HELLO_#005,看到您用餐的幸福表情。
MID_WU_S_1_IN_#001,我为您准备了早餐。
MID_WU_S_1_IN_#002,是时候要起床喽，我的搭档。
MID_WU_S_1_SOON_#001,呵……神龙大人。
MID_WU_S_1_SOON_#002,您是听到有早餐才马上起床吗？还是说……
MID_WU_S_1_SOON_#003,您是想快点见到我？
MID_WU_S_1_SOON_#004,这应该不是我自以为是吧……？
MID_WU_S_1_WAKEUP_#001,不过，我猜您不会马上起床……
MID_WU_S_1_WAKEUP_#002,所以做了冷掉也很好吃的料理。
MID_WU_S_1_WAKEUP_#003,希望我们的感情也能在经历岁月磨练后依然甜蜜……
MID_WU_S_1_WAKEUP_#004,我虽然抱持着向世人分享美味的信念……
MID_WU_S_1_WAKEUP_#005,但和您一起度过的滋味……
MID_WU_S_1_WAKEUP_#006,我希望永远都是我们之间的秘密……
MID_WU_S_2_HELLO_#001,早安。
MID_WU_S_2_HELLO_#002,神龙大人比起鲜花，更喜欢料理吗……？
MID_WU_S_2_HELLO_#003,那么……
MID_WU_S_2_HELLO_#004,我这就来满足您的胃口吧……
MID_WU_S_2_IN_#001,今天我带来的不是料理……
MID_WU_S_2_IN_#002,而是与神龙大人匹配的鲜花。
MID_WU_S_2_SOON_#001,其实……
MID_WU_S_2_SOON_#002,我的兴趣是种花和香草。
MID_WU_S_2_SOON_#003,您方便的话……
MID_WU_S_2_SOON_#004,下次能跟我聊聊您自己的事情吗……？
MID_WU_S_2_SOON_#005,请让我更深入了解您吧……
MID_WU_S_2_WAKEUP_#001,我们成为搭档时……
MID_WU_S_2_WAKEUP_#002,您说过希望我能更了解您……
MID_WU_S_2_WAKEUP_#003,我也希望让您更了解我呢。
MID_WU_S_2_WAKEUP_#004,这朵花是我因兴趣种出来的……
MID_WU_S_2_WAKEUP_#005,是我喜爱的品种呢。
MID_WU_S_2_WAKEUP_#006,这个稚嫩的红色花瓣和蓝色花蕾……
MID_WU_S_2_WAKEUP_#007,还有甜甜的香气，仿佛像您一样……
