key,text
MID_WU_A_1_HELLO_#001,早安。
MID_WU_A_1_HELLO_#002,这是我故乡的香气，您觉得如何？
MID_WU_A_1_HELLO_#003,有机会的话，我还想把故乡的真花送给您。
MID_WU_A_1_IN_#001,……轻轻地～轻轻地～
MID_WU_A_1_IN_#002,今天要轻轻地叫醒神龙大人。
MID_WU_A_1_SOON_#001,啊！您醒了？！
MID_WU_A_1_SOON_#002,没想到这强而有力的脚步声……
MID_WU_A_1_SOON_#003,会坏了我的好事啊。
MID_WU_A_1_WAKEUP_#001,我的故乡就像是一座巨大的花园。
MID_WU_A_1_WAKEUP_#002,我要用那里的花制成的香水……
MID_WU_A_1_WAKEUP_#003,让您在馥郁芬芳中优雅地起床。
MID_WU_A_2_HELLO_#001,这些口味中，我最推荐的就是……
MID_WU_A_2_HELLO_#002,适合早晨的超辣口味。
MID_WU_A_2_HELLO_#003,您挑一款喜欢的……
MID_WU_A_2_HELLO_#004,然后开启新的一天吧。
MID_WU_A_2_IN_#001,神龙大人，今天我为您带来了丰盛的早餐！
MID_WU_A_2_SOON_#001,哎呀，一听到有食物就马上起来了呢……
MID_WU_A_2_SOON_#002,请看，这是我特制的肌肉增强剂早餐版！
MID_WU_A_2_WAKEUP_#001,我之前为您介绍的肌肉增强剂……
MID_WU_A_2_WAKEUP_#002,有很多种口味哦。
MID_WU_A_2_WAKEUP_#003,像是桃子味、红茶味、点心味、肉味、鱼味，还有……
MID_WU_B_1_HELLO_#001,啊，抬不动……！
MID_WU_B_1_HELLO_#002,神龙大人，这张床好重啊。
MID_WU_B_1_HELLO_#003,等我去练练再来吧。
MID_WU_B_1_IN_#001,今天我也来陪您迎接健康的一天喽。
MID_WU_B_1_SOON_#001,您一下子就醒来了呢……
MID_WU_B_1_SOON_#002,难道说神龙大人睡得很浅？
MID_WU_B_1_WAKEUP_#001,那么……该怎么个叫醒法才好呢。
MID_WU_B_1_WAKEUP_#002,触碰神体感觉很冒犯。
MID_WU_B_1_WAKEUP_#003,对了，把这张床……喝！！
MID_WU_B_2_HELLO_#001,早安。
MID_WU_B_2_HELLO_#002,如果您有起床气……
MID_WU_B_2_HELLO_#003,我现在就可以陪您做运动提神哦。
MID_WU_B_2_IN_#001,我刚绕着索拉涅尔跑了一百圈呢！
MID_WU_B_2_SOON_#001,没想到您这么早就起床了。
MID_WU_B_2_SOON_#002,您一定是迫不及待……
MID_WU_B_2_SOON_#003,想去索拉涅尔跑步了对吧。
MID_WU_B_2_WAKEUP_#001,自从和神龙大人一起跑步后……
MID_WU_B_2_WAKEUP_#002,我就对跑步上瘾了。
MID_WU_B_2_WAKEUP_#003,现在的我，心中没有一丝杂念。
MID_WU_C_1_HELLO_#001,早安。
MID_WU_C_1_HELLO_#002,先跟眼皮的肌肉打个招呼吧。
MID_WU_C_1_IN_#001,打扰了！
MID_WU_C_1_SOON_#001,神龙大人起得真早啊。
MID_WU_C_1_SOON_#002,这可是好事哦。
MID_WU_C_1_WAKEUP_#001,今天的天气很适合锻炼身体呢。
MID_WU_C_1_WAKEUP_#002,就这样睡过去也太浪费了。
MID_WU_C_1_WAKEUP_#003,来吧，活动一下，让全身的肌肉醒来……！
MID_WU_C_2_HELLO_#001,……呼。哎呀，神龙大人。
MID_WU_C_2_HELLO_#002,您什么时候醒的？
MID_WU_C_2_HELLO_#003,真是个舒服的早晨啊。
MID_WU_C_2_IN_#001,今天先叫醒神龙大人再去晨练吧。
MID_WU_C_2_SOON_#001,哦，您能这么快起床真是太好了。
MID_WU_C_2_SOON_#002,我接下来还要去跑步，先告辞了。
MID_WU_C_2_WAKEUP_#001,您的肌肉在喊着想快点活动哦。
MID_WU_C_2_WAKEUP_#002,请恕我失礼了……
MID_WU_C_2_WAKEUP_#003,哼、呵、嘿，感觉不错……
MID_WU_S_1_HELLO_#001,我准备了最喜欢的花想送给您。
MID_WU_S_1_HELLO_#002,您和鲜花真的非常相衬呢。
MID_WU_S_1_IN_#001,您的搭档来叫您起床啦。
MID_WU_S_1_SOON_#001,您已经醒了？真可惜。
MID_WU_S_1_SOON_#002,我今天本来还想温柔地叫醒您呢。
MID_WU_S_1_SOON_#003,……我说的是真的哦。
MID_WU_S_1_WAKEUP_#001,我今天费了一番功夫为您找来了故乡的花朵。
MID_WU_S_1_WAKEUP_#002,其实本来想用花朵摆满您的房间……
MID_WU_S_1_WAKEUP_#003,但现在是战争时期，没办法。
MID_WU_S_1_WAKEUP_#004,不过，我相信总有一天……
MID_WU_S_1_WAKEUP_#005,能跟您在花海中徜徉。
MID_WU_S_1_WAKEUP_#006,说定了哦。
MID_WU_S_2_HELLO_#001,早安。来，我们走吧。
MID_WU_S_2_HELLO_#002,只要有您在身旁……
MID_WU_S_2_HELLO_#003,我眼前的景色就璀璨无比。
MID_WU_S_2_IN_#001,是时候去跑步了哦。
MID_WU_S_2_IN_#002,我是来迎接您的。
MID_WU_S_2_SOON_#001,呵呵，您醒得真快呢。
MID_WU_S_2_SOON_#002,这样才是我的搭档嘛。
MID_WU_S_2_SOON_#003,我更爱您了。
MID_WU_S_2_WAKEUP_#001,其实在来这里之前，我独自跑了几圈。
MID_WU_S_2_WAKEUP_#002,就像您向我告白之前所做的一样。
MID_WU_S_2_WAKEUP_#003,原来想着心上人跑步，入眼的景色都会闪闪发亮。
MID_WU_S_2_WAKEUP_#004,我以前都不懂得这种美妙的感觉呢。
