key,text
MID_WU_A_1_HELLO_#001,早安。
MID_WU_A_1_HELLO_#002,神龙大人，我该怎么做……
MID_WU_A_1_HELLO_#003,才能在这个房间保持镇定呢……
MID_WU_A_1_IN_#001,神龙大人，该起床喽～
MID_WU_A_1_SOON_#001,您真是醒得很干脆呢。
MID_WU_A_1_SOON_#002,托您的福，我不用在这价值不菲的房间待太久了。
MID_WU_A_1_WAKEUP_#001,眯着眼睛进去吧……
MID_WU_A_1_WAKEUP_#002,只要看不见那些贵重物品，我就不会紧张了……
MID_WU_A_1_WAKEUP_#003,……应该会是反效果，看不见我反而担心弄坏东西。
MID_WU_A_2_HELLO_#001,神龙大人，抱歉我今天晚到了……！
MID_WU_A_2_HELLO_#002,咦！？您说这个草吗？
MID_WU_A_2_HELLO_#003,这、这是观赏用的，观赏用……！
MID_WU_A_2_IN_#001,哈、哈……我光顾着挖布罗帝亚薯，结果迟到了……！
MID_WU_A_2_SOON_#001,您马上就醒来，真是太好了！
MID_WU_A_2_SOON_#002,真抱歉我迟到了，下次我请您吃布罗帝亚薯！
MID_WU_A_2_WAKEUP_#001,呜……不光是布罗帝亚薯……
MID_WU_A_2_WAKEUP_#002,我还找到了能吃的杂草，难怪会坏事。
MID_WU_A_2_WAKEUP_#003,我每次找到就会忍不住要采啊……
MID_WU_B_1_HELLO_#001,早安。
MID_WU_B_1_HELLO_#002,我做了个神龙大人专用的闹钟。
MID_WU_B_1_HELLO_#003,它很实用，时间一到就会爆炸……
MID_WU_B_1_HELLO_#004,咦，您不需要吗……？
MID_WU_B_1_IN_#001,一个不小心就来早了呢。
MID_WU_B_1_SOON_#001,抱、抱歉，时间还早。
MID_WU_B_1_SOON_#002,也许您可以再睡个回笼觉……！
MID_WU_B_1_WAKEUP_#001,时间还没到，我来做点东西消磨时间吧。
MID_WU_B_1_WAKEUP_#002,把这块木头和这块木头，这样……
MID_WU_B_1_WAKEUP_#003,然后嵌入石头，钉牢，接着上色……
MID_WU_B_2_HELLO_#001,神龙大人，睡醒后来杯用水稀释过的牛奶如何？
MID_WU_B_2_HELLO_#002,稀释浓度两倍到十倍可以任选哦。
MID_WU_B_2_IN_#001,嘿哟……把牛奶和水搬过来真是累人啊。
MID_WU_B_2_SOON_#001,早安。
MID_WU_B_2_SOON_#002,早上就是要来杯用水稀释过的牛奶啊。
MID_WU_B_2_WAKEUP_#001,呵呵，之前神龙大人陪我锻炼，真的好开心啊。
MID_WU_B_2_WAKEUP_#002,他也很喜欢我做的背架……
MID_WU_B_2_WAKEUP_#003,下次要做什么好呢？
MID_WU_C_1_HELLO_#001,早安！太好了……
MID_WU_C_1_HELLO_#002,任务顺利完成，那我先告退了。
MID_WU_C_1_IN_#001,哇、哇哇哇……我好紧张……！
MID_WU_C_1_SOON_#001,啊！您起床了呀。
MID_WU_C_1_SOON_#002,这么富丽堂皇的房间，是我打扰了。
MID_WU_C_1_WAKEUP_#001,这就是圣地的祭坛吧？
MID_WU_C_1_WAKEUP_#002,每样摆设看起来都价格不菲，地砖的材质似乎也很好……
MID_WU_C_1_WAKEUP_#003,啊，高贵到我喘不过气来了……
MID_WU_C_2_HELLO_#001,啊，对不起。
MID_WU_C_2_HELLO_#002,我真是的，明明是来叫您起床的，居然在担心枕头……
MID_WU_C_2_HELLO_#003,早、早安。
MID_WU_C_2_IN_#001,睡觉可真好……睡着就不会觉得肚子饿了。
MID_WU_C_2_SOON_#001,早安，神龙大人。
MID_WU_C_2_SOON_#002,今天由我菈琵思负责叫您起床。
MID_WU_C_2_SOON_#003,那我先告退了……
MID_WU_C_2_WAKEUP_#001,神龙大人没有用枕头，这样会不会不舒服呀？
MID_WU_C_2_WAKEUP_#002,我倒是很习惯不睡枕头了……
MID_WU_C_2_WAKEUP_#003,下次帮神龙大人做一个好了。
MID_WU_S_1_HELLO_#001,早安，我们能不能……
MID_WU_S_1_HELLO_#002,再这样多待一会儿呢？
MID_WU_S_1_HELLO_#003,和您在一起的时光比什么都要珍贵……
MID_WU_S_1_HELLO_#004,我最喜欢这段时光了。
MID_WU_S_1_IN_#001,是、是我……神龙大人。
MID_WU_S_1_IN_#002,我终于不会紧张了。
MID_WU_S_1_SOON_#001,早安，看您起得干脆我很开心……
MID_WU_S_1_SOON_#002,但我也很喜欢努力叫您起床哦。
MID_WU_S_1_SOON_#003,只要和您在一起，无论做什么我都很开心。
MID_WU_S_1_WAKEUP_#001,我今天戴了“约定戒指”哦。
MID_WU_S_1_WAKEUP_#002,挖薯类时容易弄脏……
