key,text
MID_WU_A_1_HELLO_#001,早安，我发现了一个很严重的问题……
MID_WU_A_1_HELLO_#002,一直守在这里实在太可疑了……我还是离开吧。
MID_WU_A_1_IN_#001,我的预测应该不会错才对……
MID_WU_A_1_SOON_#001,啊，果然没错。
MID_WU_A_1_SOON_#002,我就知道您今天不会赖床。
MID_WU_A_1_SOON_#003,这是我特地为您准备的红茶。
MID_WU_A_1_SOON_#004,我用了些家乡的葡萄增添香气，外头可是喝不到的哦。
MID_WU_A_1_WAKEUP_#001,呵呵……大家会轮流来叫神龙大人起床……
MID_WU_A_1_WAKEUP_#002,也就是说只要我待在这里……
MID_WU_A_1_WAKEUP_#003,就能看到神龙大人与每个人的配对啊……！
MID_WU_A_2_HELLO_#001,看来我……
MID_WU_A_2_HELLO_#002,想让神龙大人跟弟弟们见面呢。
MID_WU_A_2_HELLO_#003,啊……那个画面……
MID_WU_A_2_HELLO_#004,一定很赏心悦目……
MID_WU_A_2_IN_#001,我把负责叫您起床的事也写进家书了。
MID_WU_A_2_SOON_#001,哦，您想知道我写了什么吗？
MID_WU_A_2_SOON_#002,当然，我也写了神龙大人的事哦。
MID_WU_A_2_SOON_#003,像是……没想到神龙大人不太会赖床呢。
MID_WU_A_2_WAKEUP_#001,我照着您的建议想到什么就写下来……
MID_WU_A_2_WAKEUP_#002,结果就写了一堆神龙大人的事。
MID_WU_A_2_WAKEUP_#003,啊……！难道我对神龙大人……
MID_WU_B_1_HELLO_#001,啊，神龙大人。早安。
MID_WU_B_1_HELLO_#002,……哎呀，真不好意思。
MID_WU_B_1_HELLO_#003,我刚才完全沉浸在想象里……
MID_WU_B_1_HELLO_#004,要不是听见自己低沉的男声，恐怕还醒不过来呢。
MID_WU_B_1_IN_#001,今天就来想想我和神龙大人配对的可能性吧。
MID_WU_B_1_SOON_#001,……哎呀，我都还没来得及想，您就醒了呢。
MID_WU_B_1_SOON_#002,不过这样也好。早安，神龙大人。
MID_WU_B_1_WAKEUP_#001,既然这个房间里没有百合蔷薇之园……
MID_WU_B_1_WAKEUP_#002,那我就自己做一个出来。
MID_WU_B_1_WAKEUP_#003,我是美丽的女骑士……
MID_WU_B_1_WAKEUP_#004,我是美丽又楚楚可怜的女骑士……
MID_WU_B_2_HELLO_#001,哦，没想到这对神龙大人也有用。
MID_WU_B_2_HELLO_#002,我还真是上了一课呢。
MID_WU_B_2_HELLO_#003,那么，您就赶紧去享用早点吧。
MID_WU_B_2_IN_#001,比起叫醒我那些弟弟，我更喜欢叫神龙大人起床。
MID_WU_B_2_SOON_#001,您醒得真快啊……
MID_WU_B_2_SOON_#002,我老家的弟弟们根本无法与您比较。
MID_WU_B_2_SOON_#003,啊，神龙大人……我愿意追随您一辈子。
MID_WU_B_2_WAKEUP_#001,我那三个弟弟每天早上都很难叫醒。
MID_WU_B_2_WAKEUP_#002,不过，大多都能靠这一句话来解决。
MID_WU_B_2_WAKEUP_#003,……“你再不起来就没早饭吃了哦！”
MID_WU_C_1_HELLO_#001,啊，您醒了呀。
MID_WU_C_1_HELLO_#002,这么一来，我的任务就算完成了。
MID_WU_C_1_HELLO_#003,我打算去逛逛那边的百合蔷薇之园，先失陪了。
MID_WU_C_1_IN_#001,不好意思，我是来叫您起床的。
MID_WU_C_1_SOON_#001,早安。
MID_WU_C_1_SOON_#002,幸好您起床了，我实在是不忍心叫醒您呢。
MID_WU_C_1_SOON_#003,那么，我就先告辞了。
MID_WU_C_1_WAKEUP_#001,不过，打扰别人睡觉真的不太好啊……
MID_WU_C_1_WAKEUP_#002,我还是先到外头看看风景好了。
MID_WU_C_1_WAKEUP_#003,哦？那里好像有对不错的……
MID_WU_C_2_HELLO_#001,嗯……
MID_WU_C_2_HELLO_#002,像是深闺千金……或是眉清目秀的青年骑士……
MID_WU_C_2_HELLO_#003,啊，神龙大人。您什么时候醒来了？
MID_WU_C_2_IN_#001,已经早上喽，神龙大人。
MID_WU_C_2_IN_#002,……就算这么说，您也不会马上起床吧。
MID_WU_C_2_SOON_#001,什么……！我本来是怕冷掉才……
MID_WU_C_2_SOON_#002,要是知道您这么快起床，我就把红茶端来了。
MID_WU_C_2_WAKEUP_#001,不过话说回来……
MID_WU_C_2_WAKEUP_#002,起床后与其看到我这种不起眼的人……
MID_WU_C_2_WAKEUP_#003,还是俊男美女比较赏心悦目吧……
MID_WU_S_1_HELLO_#001,早安。来，把手给我吧。
MID_WU_S_1_HELLO_#002,为什么？因为我是您的守护使者呀。
MID_WU_S_1_HELLO_#003,既然您选择了我……
MID_WU_S_1_HELLO_#004,我就得把您照顾得无微不至才行。
MID_WU_S_1_IN_#001,都叫您起床这么多次了，没想到我还是会难为情呢。
MID_WU_S_1_SOON_#001,哇，您别突然醒来啊。
MID_WU_S_1_SOON_#002,虽然我已经习惯在远处看着您……
MID_WU_S_1_SOON_#003,但像这样四目相接……我还是很不习惯呢。
MID_WU_S_1_WAKEUP_#001,没想到您会将“约定戒指”送给我。
MID_WU_S_1_WAKEUP_#002,我之前还在猜神龙大人会送给谁……
MID_WU_S_1_WAKEUP_#003,一想到各种可能的配对我就兴奋不已呢。
MID_WU_S_1_WAKEUP_#004,不过，我其实心里松了一口气。
MID_WU_S_1_WAKEUP_#005,不知从何时开始……只要看见您和其他人在一起……
MID_WU_S_1_WAKEUP_#006,我的胸口就会觉得很难受。
MID_WU_S_2_HELLO_#001,虽然我还有话想说……
MID_WU_S_2_HELLO_#002,但既然您已经起来，还是留到之后再说吧。
MID_WU_S_2_HELLO_#003,下次我们就一边享用红茶……
MID_WU_S_2_HELLO_#004,一边慢慢聊吧。
MID_WU_S_2_IN_#001,神龙大人，已经早上喽。
MID_WU_S_2_IN_#002,您今天会马上起床吗？还是……
MID_WU_S_2_SOON_#001,呵呵，早安。
MID_WU_S_2_SOON_#002,您这么急着起来是怕我跑走吗？
MID_WU_S_2_SOON_#003,……不用担心，这辈子我都不会离开您。
MID_WU_S_2_WAKEUP_#001,您还想再睡一会儿吗？这也在我预料之中呢。
MID_WU_S_2_WAKEUP_#002,咦？神龙大人睡觉时……
MID_WU_S_2_WAKEUP_#003,还戴着我送给您的戒指呢。
MID_WU_S_2_WAKEUP_#004,真是高兴……
MID_WU_S_2_WAKEUP_#005,我直到最近才渐渐习惯和您在一起呢。
MID_WU_S_2_WAKEUP_#006,您身旁的位置只属于我。
MID_WU_S_2_WAKEUP_#007,就算是在想象的世界里，我也不许别人抢走它……
