key,text
MID_WU_A_1_HELLO_#001,嗨！
MID_WU_A_1_HELLO_#002,今天也是个美妙的早晨呢。
MID_WU_A_1_HELLO_#003,反正结果都是要去战斗，
MID_WU_A_1_HELLO_#004,这小段时间就轻松度过吧！
MID_WU_A_1_IN_#001,我最喜欢的神龙大人～♪
MID_WU_A_1_IN_#002,总是睡到最后一刻～♪
MID_WU_A_1_SOON_#001,一想到这……
MID_WU_A_1_SOON_#002,马上就醒来了！
MID_WU_A_1_SOON_#003,今天我稍微提早了一点，还有一些时间哦。
MID_WU_A_1_SOON_#004,要和我一起晨间散步吗？？
MID_WU_A_1_WAKEUP_#001,嗯……听到我的歌也不会马上醒来，
MID_WU_A_1_WAKEUP_#002,这点让我体会到我们之间的牵绊哦。
MID_WU_A_1_WAKEUP_#003,明明连妈妈听到也是马上就醒了，神龙大人真厉害。
MID_WU_A_2_HELLO_#001,早安！
MID_WU_A_2_HELLO_#002,都听到这里了，你一定已经理解了吧？
MID_WU_A_2_HELLO_#003,我们是在绝境中并肩作战的关系哦。
MID_WU_A_2_HELLO_#004,往后也让我们继续做一对好搭档吧！
MID_WU_A_2_IN_#001,猜～猜我是谁？
MID_WU_A_2_IN_#002,神龙大人要是仅靠这些线索猜中，就真的很厉害哦！
MID_WU_A_2_SOON_#001,锵～
MID_WU_A_2_SOON_#002,正确答案是我……蜜丝提拉哦。
MID_WU_A_2_SOON_#003,我们可是有一起消灭盗贼的交情哦，
MID_WU_A_2_SOON_#004,其实你马上就猜到了对吧？
MID_WU_A_2_WAKEUP_#001,或许说明详细一点你就会理解了吧……
MID_WU_A_2_WAKEUP_#002,之前，我们曾经两个人和盗贼战斗吧？
MID_WU_A_2_WAKEUP_#003,虽然当下被包围，情况有些紧张，
MID_WU_A_2_WAKEUP_#004,但是获胜的时候非常爽快呢！
MID_WU_B_1_HELLO_#001,啊，啊哈哈……没有啦，
MID_WU_B_1_HELLO_#002,我可没有在这里烤肉哦？
MID_WU_B_1_HELLO_#003,好了，赶快离开房间去吃饭吧！
MID_WU_B_1_HELLO_#004,我的肚子要饿扁了！
MID_WU_B_1_IN_#001,跑步之后肚子就饿了……
MID_WU_B_1_IN_#002,在叫神龙起床之前，就在这边吃饭吧？
MID_WU_B_1_SOON_#001,早安！
MID_WU_B_1_SOON_#002,要是神龙大人你再晚一点醒来……
MID_WU_B_1_SOON_#003,我就准备要在这里生火烤肉了呢！
MID_WU_B_1_WAKEUP_#001,生火之后，把肉放好……
MID_WU_B_1_WAKEUP_#002,嗯，烤好了……
MID_WU_B_1_WAKEUP_#003,咦？糟糕！火势变大了！
MID_WU_B_1_WAKEUP_#004,必，必须用水熄火才行！看我的！
MID_WU_B_2_HELLO_#001,醒了醒了！
MID_WU_B_2_HELLO_#002,好，今天和敌人战斗之前，先和大量的肉战斗吧！
MID_WU_B_2_HELLO_#003,要是放着坏掉了，
MID_WU_B_2_HELLO_#004,就太浪费了！
MID_WU_B_2_IN_#001,我烤了很多肉哦，神龙大人也来帮忙吃吧！
MID_WU_B_2_SOON_#001,真抱歉，打扰到你睡觉。
MID_WU_B_2_SOON_#002,虽然我也请大家帮忙了，
MID_WU_B_2_SOON_#003,但大家接二连三地倒下……
MID_WU_B_2_SOON_#004,我很期待神龙大人的食量哦！
MID_WU_B_2_WAKEUP_#001,那是狩猎拿下的猎物，
MID_WU_B_2_WAKEUP_#002,巨大野猪的肉哦。
MID_WU_B_2_WAKEUP_#003,啊……这次我没有像上次那样
MID_WU_B_2_WAKEUP_#004,深入敌营引诱敌人了，你可以放心哦。
MID_WU_C_1_HELLO_#001,一唱歌神龙大人就醒了～♪
MID_WU_C_1_HELLO_#002,抱歉抱歉，
MID_WU_C_1_HELLO_#003,是不是稍微吵到你了？早安！
MID_WU_C_1_IN_#001,早啊！真是个清爽的早晨呢，神龙大人！
MID_WU_C_1_SOON_#001,很好很好，很快就醒了呢！
MID_WU_C_1_SOON_#002,看到你这么健康，我就放心了。
MID_WU_C_1_SOON_#003,军队总帅就是要这样才对嘛！
MID_WU_C_1_WAKEUP_#001,我会不会来得太早了呢？
MID_WU_C_1_WAKEUP_#002,那么就高歌几曲来消磨时间吧。
MID_WU_C_1_WAKEUP_#003,早晨到～太阳公公在闪耀～
MID_WU_C_1_WAKEUP_#004,神龙大人睡香香～♪
MID_WU_C_2_HELLO_#001,啊，你醒了呢，神龙大人！
MID_WU_C_2_HELLO_#002,走吧走吧，我们去吃些什么吧！
MID_WU_C_2_HELLO_#003,找一些好吃的，
MID_WU_C_2_HELLO_#004,而且当然要特大号的美食！
MID_WU_C_2_IN_#001,肚子饿了！神龙大人，我们一起去吃饭吧！
MID_WU_C_2_IN_#002,啊，还在睡呢。
MID_WU_C_2_SOON_#001,啊，醒了醒了。
MID_WU_C_2_SOON_#002,我们去吃点什么吧～！
MID_WU_C_2_SOON_#003,我就算已经吃了别的东西，也是马上就会饿呢～
MID_WU_C_2_SOON_#004,是运动的关系吗？
MID_WU_C_2_WAKEUP_#001,对了。
MID_WU_C_2_WAKEUP_#002,要是念一些食物名称，神龙大人会不会醒来呢？
MID_WU_C_2_WAKEUP_#003,烤肉、炸鱼……
MID_WU_C_2_WAKEUP_#004,饼干、水果、刚出炉的面包……
MID_WU_S_1_HELLO_#001,早安～！
MID_WU_S_1_HELLO_#002,今天我也最～喜欢你了。
MID_WU_S_1_HELLO_#003,嗯～我好幸福哦。
MID_WU_S_1_HELLO_#004,……要是我成为女王之后，
MID_WU_S_1_HELLO_#005,每天也可以像现在这样和你互道早安就好了。
MID_WU_S_1_IN_#001,是我啊，神龙大人！听到这美妙的嗓音，你已经知道是谁了吧？
MID_WU_S_1_SOON_#001,早安！
MID_WU_S_1_SOON_#002,果然一天要从看到搭档的脸开始呢。
MID_WU_S_1_SOON_#003,明天也要继续活着，
MID_WU_S_1_SOON_#004,一定要平安地互道早安哦。
MID_WU_S_1_WAKEUP_#001,呵呵，不论你是睡是醒，
MID_WU_S_1_WAKEUP_#002,早上的这段时间对我来说都很开心哦。
MID_WU_S_1_WAKEUP_#003,虽然我也希望可以一～直这样下去……
MID_WU_S_1_WAKEUP_#004,但我们的寿命不一样，
MID_WU_S_1_WAKEUP_#005,虽然很不甘心，但我会比你先离开人世吧。
MID_WU_S_1_WAKEUP_#006,……要是有一天我不在了，
MID_WU_S_1_WAKEUP_#007,你一个人也要好好起床哦，神龙大人。
MID_WU_S_2_HELLO_#001,早安。
MID_WU_S_2_HELLO_#002,因为我想见你的心情已经得到满足了，
MID_WU_S_2_HELLO_#003,我就先去锻炼了哦！
MID_WU_S_2_HELLO_#004,今天我也最喜欢你了。
MID_WU_S_2_HELLO_#005,希望你也和我一样，
MID_WU_S_2_HELLO_#006,这份感情永～远不变哦。
MID_WU_S_2_IN_#001,因为我想见你，就过来了。
MID_WU_S_2_IN_#002,就算把你吵醒了我也不会道歉的哦。
MID_WU_S_2_SOON_#001,嘿嘿嘿，平常我也会有些顾虑的，
MID_WU_S_2_SOON_#002,但是我们已经是搭档了呢。
MID_WU_S_2_SOON_#003,你赋予了我随时能和喜欢的人见面的自由，
MID_WU_S_2_SOON_#004,谢谢你。
MID_WU_S_2_WAKEUP_#001,让我意外的是，收下这只“约定戒指”之后，
MID_WU_S_2_WAKEUP_#002,从没想过竟然会变得比过去还要自由呢。
MID_WU_S_2_WAKEUP_#003,因为有了这只戒指，我可以义无反顾助你一臂之力。
MID_WU_S_2_WAKEUP_#004,也可以在任何时间来找你。
MID_WU_S_2_WAKEUP_#005,不过……想想真是不可思议。
MID_WU_S_2_WAKEUP_#006,我的自由明明没有任何受限，
MID_WU_S_2_WAKEUP_#007,却变得越来越离不开你了。
