key,text
MID_WU_A_1_HELLO_#001,很抱歉弄醒了您。
MID_WU_A_1_HELLO_#002,每次在战场上夺走他人性命后……
MID_WU_A_1_HELLO_#003,我总是莫名地想祈祷。
MID_WU_A_1_HELLO_#004,明知道自己绝不可能会被原谅……
MID_WU_A_1_IN_#001,神龙大人，请饶恕我打破这片寂静……
MID_WU_A_1_SOON_#001,很对不起……
MID_WU_A_1_SOON_#002,每次战役过后，我就是忍不住想祈祷。
MID_WU_A_1_SOON_#003,明明被我吵醒了……
MID_WU_A_1_SOON_#004,您也不生气吗？
MID_WU_A_1_SOON_#005,神龙大人……您真是仁慈。
MID_WU_A_1_WAKEUP_#001,好安静呢。战争好像就只是一场错觉……
MID_WU_A_1_WAKEUP_#002,感觉在这里的话……
MID_WU_A_1_WAKEUP_#003,化为繁星的生命也能听到我的祷告……
MID_WU_A_1_WAKEUP_#004,神啊，请赐予亡魂永恒的安息……
MID_WU_A_2_HELLO_#001,啊，神龙大人。
MID_WU_A_2_HELLO_#002,前阵子谢谢您参与餐会。
MID_WU_A_2_HELLO_#003,托您的福，大家都很开心……
MID_WU_A_2_HELLO_#004,咦？您那个饶有深意的眼神是……
MID_WU_A_2_HELLO_#005,我，我知道啦……
MID_WU_A_2_HELLO_#006,……嘿咿～！
MID_WU_A_2_IN_#001,嘿咿～神龙大人，嘿咿～
MID_WU_A_2_SOON_#001,早安。
MID_WU_A_2_SOON_#002,呃……在前阵子的餐会中……
MID_WU_A_2_SOON_#003,您说没人向您用“嘿咿～”的招呼方式。
MID_WU_A_2_SOON_#004,还显得一脸悲伤的样子……
MID_WU_A_2_SOON_#005,我这句嘿咿您觉得怎样？
MID_WU_A_2_WAKEUP_#001,嗯……
MID_WU_A_2_WAKEUP_#002,当着您的面吵闹果然不太好啊。
MID_WU_A_2_WAKEUP_#003,就算神龙大人喜欢……
MID_WU_A_2_WAKEUP_#004,我还是得自制一下才行，嗯嗯。
MID_WU_B_1_HELLO_#001,哇～！
MID_WU_B_1_HELLO_#002,神龙大人，真的很对不起！
MID_WU_B_1_HELLO_#003,请您饶恕我乱吵乱叫的罪孽！
MID_WU_B_1_HELLO_#004,这里没有忏悔室对吧……！？
MID_WU_B_1_IN_#001,耶咿～！神龙大人～安安～！
MID_WU_B_1_SOON_#001,……对不起。
MID_WU_B_1_SOON_#002,我完全就是个可疑人物啊。
MID_WU_B_1_SOON_#003,我一踏进这里就会紧张起来……
MID_WU_B_1_SOON_#004,所以才会想这样激励一下自己。
MID_WU_B_1_SOON_#005,还请您见谅。
MID_WU_B_1_WAKEUP_#001,嘿～！
MID_WU_B_1_WAKEUP_#002,我来叫您起床喽，神龙大人～！
MID_WU_B_1_WAKEUP_#003,虽然平常都很紧张，但今天感觉……
MID_WU_B_1_WAKEUP_#004,还是很紧张啊，而且还很失敬。
MID_WU_B_2_HELLO_#001,哇！您听见了我的话吗……？
MID_WU_B_2_HELLO_#002,咦？您要我把话说完？
MID_WU_B_2_HELLO_#003,虽然有点失敬……
MID_WU_B_2_HELLO_#004,……我一直以来……都觉得您就好像是朋友一般。
MID_WU_B_2_IN_#001,“圣地索拉涅尔里沉睡着一位神龙之子”……
MID_WU_B_2_SOON_#001,不好意思。
MID_WU_B_2_SOON_#002,我想起了祭司跟我说过的故事……
MID_WU_B_2_SOON_#003,于是就忍不住过来了。
MID_WU_B_2_SOON_#004,我真的……
MID_WU_B_2_SOON_#005,被那个故事救赎了呢……
MID_WU_B_2_WAKEUP_#001,当时完全没想到这个故事是真的呢。
MID_WU_B_2_WAKEUP_#002,祭司跟我说过……
MID_WU_B_2_WAKEUP_#003,她认为神龙之子是个年幼的小孩……
MID_WU_B_2_WAKEUP_#004,我一直以来都……
MID_WU_C_1_HELLO_#001,啊……您醒了啊。
MID_WU_C_1_HELLO_#002,不妙，这副情景真是太神圣了……
MID_WU_C_1_HELLO_#003,我身为神职人员，怎样都没办法不祈祷……！
MID_WU_C_1_IN_#001,没想到我会有踏入这个祭坛的一天……
MID_WU_C_1_SOON_#001,神龙大人，早安……！
MID_WU_C_1_SOON_#002,您不介意的话……
MID_WU_C_1_SOON_#003,我能就这样向您祈祷吗……？
MID_WU_C_1_WAKEUP_#001,呜呜，居然让我来叫醒神龙大人……
MID_WU_C_1_WAKEUP_#002,我怎么敢做这种失敬的事……
MID_WU_C_1_WAKEUP_#003,但也不能让神龙大人睡过头……
MID_WU_C_1_WAKEUP_#004,只好硬着头皮来了……神龙大人！
MID_WU_C_2_HELLO_#001,我，我就说了啊～！
MID_WU_C_2_HELLO_#002,把神龙大人弄醒了……
MID_WU_C_2_HELLO_#003,我明明想祈个祷就回去……
MID_WU_C_2_HELLO_#004,我这个笨蛋！可恶的派对狂……！
MID_WU_C_2_IN_#001,我把身子从头到脚洗过一遍才来的。那恕我打扰了……
MID_WU_C_2_SOON_#001,这样啊……
MID_WU_C_2_SOON_#002,果然不管把身子洗多干净……
MID_WU_C_2_SOON_#003,您就是能察觉到我这头污秽不堪的羔羊的气息……
MID_WU_C_2_SOON_#004,真不愧是神龙大人。
MID_WU_C_2_WAKEUP_#001,这祭坛真美……
MID_WU_C_2_WAKEUP_#002,要是能在这里举办宴会，那该有多开心啊……
MID_WU_C_2_WAKEUP_#003,不不，这可不行。
MID_WU_C_2_WAKEUP_#004,神龙大人会感应到我这种邪念的……
MID_WU_S_1_HELLO_#001,早安。
MID_WU_S_1_HELLO_#002,来吧，我们向战场出发吧。
MID_WU_S_1_HELLO_#003,无论要手刃多少人……
MID_WU_S_1_HELLO_#004,只要能守护您……
MID_WU_S_1_HELLO_#005,哪怕是下地狱我也在所不惜。
MID_WU_S_1_IN_#001,神龙大人，是起床的时间了。
MID_WU_S_1_IN_#002,今天祭坛的空气也很清新呢……
MID_WU_S_1_SOON_#001,早安，神龙大人。
MID_WU_S_1_SOON_#002,……咦？您说我太见外？那，那么……
MID_WU_S_1_SOON_#003,早安，我的搭档。
MID_WU_S_1_SOON_#004,这，这样已经是我的极限了……！
MID_WU_S_1_WAKEUP_#001,到现在还像是在做梦一样。
MID_WU_S_1_WAKEUP_#002,没想到神龙大人居然会送我“约定戒指”……
MID_WU_S_1_WAKEUP_#003,一看到这枚戒指，我就幸福得要哭出来……
MID_WU_S_1_WAKEUP_#004,终有一日，我会先您而去。
MID_WU_S_1_WAKEUP_#005,但我们的这段缘分……
MID_WU_S_1_WAKEUP_#006,会将我的心永远系在您身边。
MID_WU_S_2_HELLO_#001,早安。
MID_WU_S_2_HELLO_#002,咦？您从我说“嘿咿”起就在听着！？
MID_WU_S_2_HELLO_#003,呜呜……好害羞……
MID_WU_S_2_HELLO_#004,不过，我果然没办法……
MID_WU_S_2_HELLO_#005,向神龙大人隐藏我的心意呢。
MID_WU_S_2_IN_#001,嘿咿～！
MID_WU_S_2_IN_#002,……啊，不行，就算成为搭档还是很紧张……
MID_WU_S_2_SOON_#001,我吵到您是吧？真的很抱歉……！
MID_WU_S_2_SOON_#002,我每次来这里都会很紧张……
MID_WU_S_2_SOON_#003,这是因为我对您的思念太强烈了。
MID_WU_S_2_SOON_#004,还请您原谅我。
MID_WU_S_2_WAKEUP_#001,会这样也不奇怪……
MID_WU_S_2_WAKEUP_#002,毕竟对象是我一直信仰的神龙大人嘛。
MID_WU_S_2_WAKEUP_#003,就算互许终身了……
MID_WU_S_2_WAKEUP_#004,也没办法突然就稀松平常地搭话啊。
MID_WU_S_2_WAKEUP_#005,这样的关系会随着岁月累积而改变吗……？
MID_WU_S_2_WAKEUP_#006,不……我比较喜欢现在这样。
MID_WU_S_2_WAKEUP_#007,我想永远都能体会思念您的痛苦……
