key,text
MID_WU_A_1_HELLO_#001,我会帮您跟大家说一声的……
MID_WU_A_1_HELLO_#002,您就再休息一会儿吧。
MID_WU_A_1_HELLO_#003,晚餐随时都能吃……
MID_WU_A_1_HELLO_#004,但休息时间却是稍纵即逝的。
MID_WU_A_1_IN_#001,差不多该去吃晚餐了，神龙大人。
MID_WU_A_1_IN_#002,神龙大人会睡午觉还真是稀奇呢。
MID_WU_A_1_SOON_#001,呵呵，我还以为您是太累了。
MID_WU_A_1_SOON_#002,听到晚餐就跳了起来，看来是不用担心了呢。
MID_WU_A_1_SOON_#003,好了，我们走吧。
MID_WU_A_1_WAKEUP_#001,您一定是累了吧……
MID_WU_A_1_WAKEUP_#002,毕竟每天都带着大家东征西讨。
MID_WU_A_1_WAKEUP_#003,是我的话可能早就累垮了吧……
MID_WU_A_2_HELLO_#001,哦，您总算醒了呢。
MID_WU_A_2_HELLO_#002,您说我看起来特别有精神吗？
MID_WU_A_2_HELLO_#003,这是当然的啊。
MID_WU_A_2_HELLO_#004,为了不让朋友的在天之灵担心……
MID_WU_A_2_HELLO_#005,我可得多加点油才行呢。
MID_WU_A_2_IN_#001,神龙大人，我们来锻炼吧。
MID_WU_A_2_IN_#002,活动一下筋骨，迎接清爽的早晨！
MID_WU_A_2_SOON_#001,您醒得真快啊。
MID_WU_A_2_SOON_#002,那我们这就去锻炼吧。
MID_WU_A_2_SOON_#003,为了神龙大人和那些逝去的朋友……
MID_WU_A_2_SOON_#004,我一定要变得更强。
MID_WU_A_2_WAKEUP_#001,虽然我仍未放弃复仇的想法……
MID_WU_A_2_WAKEUP_#002,但多亏了神龙大人，我心中的重担才减轻了不少。
MID_WU_A_2_WAKEUP_#003,我很高兴能有您这样的朋友。
MID_WU_B_1_HELLO_#001,抱歉，不小心让鱼给溜了。
MID_WU_B_1_HELLO_#002,不过楼下就是厨房……
MID_WU_B_1_HELLO_#003,应该会有人抓住它吧，哈哈哈！
MID_WU_B_1_IN_#001,这是今天早上刚抓到的鱼哦！
MID_WU_B_1_SOON_#001,神龙大人您也喜欢吃鱼吗？
MID_WU_B_1_SOON_#002,这条鱼是帝亚曼德殿下钓到的哦。
MID_WU_B_1_SOON_#003,这么大的鱼在索拉涅尔可不常见呢……
MID_WU_B_1_SOON_#004,今天的晚餐还真是叫人期待啊。
MID_WU_B_1_WAKEUP_#001,等等……不要乱动！
MID_WU_B_1_WAKEUP_#002,这家伙实在太大了……抓不住啊！
MID_WU_B_1_WAKEUP_#003,啊，掉到地上了！不要跑！
MID_WU_B_1_WAKEUP_#004,糟糕……让它跑出去了。
MID_WU_B_2_HELLO_#001,您醒了吗？
MID_WU_B_2_HELLO_#002,有机会的话我们再一起锻炼吧。
MID_WU_B_2_HELLO_#003,只要您一句话，我随时奉陪！
MID_WU_B_2_IN_#001,呵呵，真是可爱的睡脸。
MID_WU_B_2_SOON_#001,早安。
MID_WU_B_2_SOON_#002,神龙大人的睡相可真是优雅啊……
MID_WU_B_2_SOON_#003,对了，您有睡到从床上滚下来的经验吗？
MID_WU_B_2_WAKEUP_#001,躺得也是直挺挺的呢。
MID_WU_B_2_WAKEUP_#002,唉……我一个晚上至少会滚个三圈……
MID_WU_B_2_WAKEUP_#003,早上常常是在地板上醒过来的……
MID_WU_C_1_HELLO_#001,早安。
MID_WU_C_1_HELLO_#002,早晨的问候可是很重要的哦。
