key,text
MID_WU_A_1_HELLO_#001,早安。
MID_WU_A_1_HELLO_#002,我刚好完成了“紫云秘药”。
MID_WU_A_1_HELLO_#003,只要“喝下”这个……
MID_WU_A_1_HELLO_#004,“睡意”就会立刻“消失”。
MID_WU_A_1_IN_#001,今天似乎“睡得”很熟呢……
MID_WU_A_1_IN_#002,真“不忍心”“打扰”他。
MID_WU_A_1_SOON_#001,嗯？您居然马上就“起床”了……
MID_WU_A_1_SOON_#002,看来我“判断”失误了呢。
MID_WU_A_1_SOON_#003,“早”安。
MID_WU_A_1_WAKEUP_#001,我很习惯待在“沉睡者”的“身边”……
MID_WU_A_1_WAKEUP_#002,来调配“新的药”……
MID_WU_A_1_WAKEUP_#003,“打发”一下时间吧。
MID_WU_A_1_WAKEUP_#004,把这个叶子，和这个果实切开，捣碎……
MID_WU_A_2_HELLO_#001,呵……您居然“默默”地起身，“盯着”我看。
MID_WU_A_2_HELLO_#002,这次您“热衷”于……
MID_WU_A_2_HELLO_#003,意味深长的“行为”了吗？
MID_WU_A_2_IN_#001,我比“预定的时间”还要早到了。来准备“工作”吧……
MID_WU_A_2_SOON_#001,您这么“快”醒来……
MID_WU_A_2_SOON_#002,会让我觉得有什么“特殊的意义”呢……
MID_WU_A_2_SOON_#003,和神龙大人在一起都不会“腻”。
MID_WU_A_2_WAKEUP_#001,神龙大人以前……
MID_WU_A_2_WAKEUP_#002,对我这样“耐人寻味”的“说话方式”感兴趣……
MID_WU_A_2_WAKEUP_#003,但“这个房间”还不至于如此呢。
MID_WU_B_1_HELLO_#001,您“醒了”吗。
MID_WU_B_1_HELLO_#002,啊啊，请不要在意“我”。
MID_WU_B_1_HELLO_#003,因为我每次“睡觉”……
MID_WU_B_1_HELLO_#004,都只是“打个盹”而已。
MID_WU_B_1_IN_#001,您总是“睡得”很香呢……
MID_WU_B_1_SOON_#001,而且，还“不会”“赖床”。
MID_WU_B_1_SOON_#002,真是令人“羡慕”啊……
MID_WU_B_1_SOON_#003,神龙大人。
MID_WU_B_1_WAKEUP_#001,您就这样沉睡了“千年”吗……
MID_WU_B_1_WAKEUP_#002,如此“深层的睡眠”……
MID_WU_B_1_WAKEUP_#003,究竟是什么感觉呢？
MID_WU_B_1_WAKEUP_#004,会不会作“恶梦”呢……
MID_WU_B_2_HELLO_#001,既然您“醒了”……
MID_WU_B_2_HELLO_#002,那我要再出去“搜集东西”了。
MID_WU_B_2_HELLO_#003,如果您有兴致了……
MID_WU_B_2_HELLO_#004,欢迎再到那个“房间”来玩。
MID_WU_B_2_IN_#001,仔细看看这个房间还真是“无趣”呢……
MID_WU_B_2_IN_#002,不多放点“东西”吗？
MID_WU_B_2_SOON_#001,早安。
MID_WU_B_2_SOON_#002,这个房间“什么也没有”……
MID_WU_B_2_SOON_#003,您有没有可能会“无聊”到“睡着”呢？
MID_WU_B_2_WAKEUP_#001,“偷偷跟您说”……
MID_WU_B_2_WAKEUP_#002,自从神龙大人您来玩之后……
MID_WU_B_2_WAKEUP_#003,“秘密小屋”里的“东西”又“增加”了。
MID_WU_B_2_WAKEUP_#004,这是为什么呢……
MID_WU_C_1_HELLO_#001,早安。
MID_WU_C_1_HELLO_#002,您脸上写着“不服气”呢。
MID_WU_C_1_HELLO_#003,不好意思，可没有人规定……
MID_WU_C_1_HELLO_#004,达到“目的”的“手段”啊。
MID_WU_C_1_IN_#001,神龙大人，该“起床”了。
MID_WU_C_1_SOON_#001,哦，“些微的动静”就让您醒了？警惕性可真高。
MID_WU_C_1_SOON_#002,那我就先告退了……
MID_WU_C_1_WAKEUP_#001,……“叫不醒”啊。
MID_WU_C_1_WAKEUP_#002,伤脑筋……我工作很忙的。
MID_WU_C_1_WAKEUP_#003,看来只好用点“非常手段”了……
MID_WU_C_1_WAKEUP_#004,试着在他耳边用金属制造点“噪音”吧。
MID_WU_C_2_HELLO_#001,您意外地很快就“醒”了呢。
MID_WU_C_2_HELLO_#002,我都准备好要“长期抗战”……
MID_WU_C_2_HELLO_#003,开始读起“哲学书”了……
MID_WU_C_2_HELLO_#004,看来是我“想太多”了。
MID_WU_C_2_IN_#001,……“房间里好安静”啊。
MID_WU_C_2_IN_#002,简直像座“坟场”……
MID_WU_C_2_SOON_#001,太好了。
MID_WU_C_2_SOON_#002,方才完全听不到一点“呼吸声”……
MID_WU_C_2_SOON_#003,一个不小心就“瞎操心”了。
MID_WU_C_2_WAKEUP_#001,……神龙大人“活着”呢。
MID_WU_C_2_WAKEUP_#002,那我等神龙大人醒来吧。
MID_WU_C_2_WAKEUP_#003,只要知道他总有一天“会醒”……
MID_WU_C_2_WAKEUP_#004,就不觉得“无聊”了……
MID_WU_S_1_HELLO_#001,您“醒了”吗？
MID_WU_S_1_HELLO_#002,来吧，“准备开战”了。
MID_WU_S_1_HELLO_#003,让世界变得和平，变得“无趣”……
MID_WU_S_1_HELLO_#004,我希望一辈子都能和您边笑边说着“好无聊”。
MID_WU_S_1_IN_#001,我“来”了，神龙大人。我“可以”进去吧。
MID_WU_S_1_SOON_#001,就算“我”来了……
MID_WU_S_1_SOON_#002,也请您不要突然“醒来”……
MID_WU_S_1_SOON_#003,叫醒搭档的这段时间……
MID_WU_S_1_SOON_#004,是我最大的幸福。
MID_WU_S_1_WAKEUP_#001,好，在神龙大人“醒来”之前，我今天要“专注”于什么呢。
