key,text
MID_FORTUNE_BAD_01,"[セアダス] t 
[セアダス] Normal 

[セアダス] 
『孤立』のカードだ…今日は一人でいないほうがいいよ。 
気にしている人と一緒にプールに飛び込むと吉。"
MID_FORTUNE_BAD_01_S,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『孤立』のカードか…一人で静かに過ごすと良くないね。 
気にしている人と、歌いながらソラネルを練り歩こっと。"
MID_FORTUNE_BAD_02,"[セアダス] t 
[セアダス] Normal 

[セアダス] 
『悪評』のカードだ…ミョーな噂をされちゃってるかも。 
気にしている人に優しくして、みんなに見せつけると吉。"
MID_FORTUNE_BAD_02_S,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『悪評』のカードか…この前の盗み食いがバレそうだな。 
気にしている人に最近食が細いってアピールしてこよう。"
MID_FORTUNE_BAD_03,"[セアダス] t 
[セアダス] Normal 

[セアダス] 
『凶作』のカードだ…今日は何か植えたら即枯れるよ。 
気にしている人と一緒に土でも耕して待ってると吉。"
MID_FORTUNE_BAD_03_S,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『凶作』のカードか…今日は植物と触れ合ったら負けだ。 
食事の野菜は全部、気にしている人の皿に移そうっと。"
MID_FORTUNE_BAD_04,"[セアダス] t 
[セアダス] Shy 

[セアダス] 
『暗雲』のカードだ…突然頭上から水とか槍が降るかも。 
気にしている人と相合傘してれば防げそう。"
MID_FORTUNE_BAD_04_S,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『暗雲』のカードか…これを引くとよく水に落ちるんだ。 
気にしている人に、すぐ水着を持ってきてもらおう。"
MID_FORTUNE_BAD_05,"[セアダス] t 
[セアダス] 
Angry 

[セアダス] 
『争乱』のカードだ…誰かと、すっごいケンカしそう。 
気にしている人だけでも味方にしておこう。さあ、早く！"
MID_FORTUNE_BAD_05_S,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『争乱』のカードか…気にしている人とケンカになったら 
とっておきの蜂蜜を差し出して、その隙に逃げようっと。"
MID_FORTUNE_BAD_06,"[セアダス] t 
[セアダス] Normal 

[セアダス] 
『挫折』のカードだ…全部パーッと諦めたくなりそう。 
気にしている人と二人三脚でソラネル一周できたら吉。"
MID_FORTUNE_BAD_06_S,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『挫折』のカードか…我慢できずに暴食する予感がする。 
気にしている人に罵倒してもらって気を引き締めよっと。"
MID_FORTUNE_BAD_07,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『絶望』のカードだ…思い悩んでるから、気晴らしして。 
気にしている人と一緒に、壁に穴でも開けてきたら？"
MID_FORTUNE_BAD_07_S,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『絶望』のカードか…今日は暗い気分になったらダメだ。 
気にしている人と蝋燭に火を灯しまくって過ごそうかな。"
MID_FORTUNE_BAD_08,"[セアダス] t 
[セアダス] Surprise 

[セアダス] 
『裏切』のカードだ…え？　裏切られる覚えがない？ 
気にしている人が、取っといたお菓子食べてるかもよ。"
MID_FORTUNE_BAD_08_S,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『裏切』のカードか…さては誰か俺のおやつを食べたな。 
気にしている人が怪しいと思うんだ、早速確かめよう。"
MID_FORTUNE_BAD_09,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『怪我』のカードだ…歩き出した瞬間、転ぶんじゃない？ 
気にしている人に手当てしてもらえば、早く治るかもね。"
MID_FORTUNE_BAD_09_S,"[セアダス] t 
[セアダス] Sad 

[セアダス] 
『怪我』のカードか…こんなの出たら外出できないよ。 
気にしている人を誘って今日はここに引きこもろうかな。"
MID_FORTUNE_BAD_10,"[セアダス] t 
[セアダス] Normal 

[セアダス] 
『怠惰』のカードだ…占いの結果聞くのも面倒でしょ。 
気にしている人に背中でも叩いて貰えばシャンとするよ。"
