key,text
MID_GR_Alfred_A_#001,"[アルフレッド] 1 
[セリカ] 2 
[セリカ] 
あら、アルフレッド？ 
あなた、軍議に参加していたはずじゃ…"
MID_GR_Alfred_A_#002,"[アルフレッド] 
それがすっかり行き詰まってしまってね。 
こうして体を動かして、考えをまとめているんだよ。"
MID_GR_Alfred_A_#003,"[アルフレッド] 
我が国の未来のためにも、良い策を立てないと… 
ずっとフィレネにいてくれたセリカに顔向けができない。"
MID_GR_Alfred_A_#004,"[セリカ] 
…ありがとう、アルフレッド。 
ふふっ、今日は走り込みに付き合おうかしら。"
MID_GR_Alfred_B_#001,"[アルフレッド] 1 
[セリカ] 2 
[セリカ] 
アルフレッド…まだ明け方だけれど、 
こんな朝早くからどうしたの？"
MID_GR_Alfred_B_#002,"[アルフレッド] 
これから見回りをしに行こうと思ってね。 
その後は日課の走り込みさ。セリカも一緒にどうだい？"
MID_GR_Alfred_C_#001,"[アルフレッド] 1 
[セリカ] 2 
[アルフレッド] 
我が国に託されていた指輪には、こんなに心強い 
紋章士が宿っていたんだね。話ができて幸せだよ。"
MID_GR_Alfred_C_#002,"[セリカ] 
私もよ、アルフレッド。 
一緒に力を合わせて、世界に平和をもたらしましょう。"
MID_GR_Anna_A_#001,"[アンナ] 1 
[セリカ] 2 
[アンナ] 
ねぇねぇ、セリカ、見て見て！ 
新しい商品を作ってみたの！"
MID_GR_Anna_A_#002,"[セリカ] 
へぇ、どんな商品なの？"
MID_GR_Anna_A_#003,"[アンナ] 
ここに薪をおいて、斧をさして、みぞに石をころがすと… 
ほら！　自動で薪をわるのよ！　すごく楽でしょ！？"
MID_GR_Anna_A_#004,"[セリカ] 
…確かに楽そうね。 
でも、これだと自分で割った方が早いかもしれないわ…"
MID_GR_Anna_B_#001,"[アンナ] 1 
[セリカ] 2 
[セリカ] 
アンナ…いえ、アンナさん。 
はぐれてしまった家族の手掛かりは見つかった？"
MID_GR_Anna_B_#002,"[アンナ] 
まだ、全然…でも心配はしてないの。 
きっとみんな、元気にしてるはずだから！"
MID_GR_Anna_C_#001,"[アンナ] 1 
[セリカ] 2 
[アンナ] 
いっかく千金！　しょーばい繁盛！ 
あなたと出会った記念に今日は大安売りしちゃうわよ。"
MID_GR_Anna_C_#002,"[セリカ] 
あら、可愛いお店ね。 
折角だから、見せてもらおうかしら。"
MID_GR_Bonet_A_#001,"[ボネ] 1 
[セリカ] 2 
[ボネ] 
これでは、こちらの世界の料理となにも変わらんな… 
すまん。どうやら今回も失敗のようだ…"
MID_GR_Bonet_A_#002,"[セリカ] 
やっぱり、口で説明しただけで、 
私の世界の料理を作るのは難しいみたいね…"
MID_GR_Bonet_A_#003,"[ボネ] 
しかし、私はセリカに、故郷の料理を見せたい… 
食べられなくとも幸せだと言ってくれたのなら、尚更だ。"
MID_GR_Bonet_A_#004,"[セリカ] 
ありがとう…ボネ。とても楽しみだわ。 
料理もだけれど、この時間が私にとっては幸せなのよ。"
MID_GR_Bonet_B_#001,"[ボネ] 1 
[セリカ] 2 
[セリカ] 
あなたのお料理は凄いわね。食べられなくても、 
見ているだけで幸せな気持ちになるから。"
MID_GR_Bonet_B_#002,"[ボネ] 
そう言われると嬉しいな。 
今日の夕食はセリカの好きそうな盛り付けにしよう。"
MID_GR_Bonet_C_#001,"[ボネ] 1 
[セリカ] 2 
[ボネ] 
セリカの指輪は、飴玉のような石が嵌まっているな… 
少し、味見させてもらってもいいか…？"
MID_GR_Bonet_C_#002,"[セリカ] 
間違って飲むと危ないわ。 
やめておいた方がいいと思うけれど…"
MID_GR_Boucheron_A_#001,"[ブシュロン] 1 
[セリカ] 2 

[ブシュロン] 
俺に頼みがあるだなんて、珍しいな。 
何か困りことでもあったのか？"
MID_GR_Boucheron_A_#002,"[セリカ] 
素敵な森があるって聞いたから、行ってみたくて。 
でもあまり遠くへは、自分一人では行けないから…"
MID_GR_Boucheron_A_#003,"[ブシュロン] 
なるほど。俺が指輪を着けて連れて行けばいいんだな。 
俺も森に行きたいけど迷子になりそうで、丁度良かった。"
MID_GR_Boucheron_A_#004,"[セリカ] 
ありがとう、ブシュロン。道案内なら私に任せて。 
楽しい時間を過ごしましょうね。"
MID_GR_Boucheron_B_#001,"[ブシュロン] 1 
[セリカ] 2 

[ブシュロン] 
セリカの世界にも色々な物語があるんだよな。 
いつか行って、読んでみたいものだよ。"
MID_GR_Boucheron_B_#002,"[セリカ] 
行くのは難しいかもしれないけど、 
私が知っている物語でいいなら、話してあげるわ。"
MID_GR_Boucheron_C_#001,"[ブシュロン] 1 
[セリカ] 2 
[セリカ] 
ど、どうしたの、泣き腫らした目をして。 
何か辛いことでもあったの？"
MID_GR_Boucheron_C_#002,"[ブシュロン] 
素晴らしい本を読んで感動していただけなんだ。 
心配をしてくれてありがとう…ううっ。"
MID_GR_Celine_A_#001,"[セリーヌ] 1 
[セリカ] 2 

[セリーヌ] 
セリカとこうしてお話しできるようになってから、 
毎日が幸せでたまらないの。"
MID_GR_Celine_A_#002,"[セリカ] 
ありがとう、セリーヌ。 
私も同じ気持ちよ。"
MID_GR_Celine_A_#003,"[セリーヌ] 
でも、それが怖くもあるの。今以上の幸せなんて、 
もう来ないんじゃないかって思えてしまうから…"
MID_GR_Celine_A_#004,"[セリカ] 
不安に思う必要なんて無い。 
あなたはもっともっと幸せになれるわ。私が保証する。"
MID_GR_Celine_B_#001,"[セリーヌ] 1 
[セリカ] 2 
[セリカ] 
素敵な香りね。 
今日はどこの紅茶なの？"
MID_GR_Celine_B_#002,"[セリーヌ] 
茶畑の里のオリジンティーよ。 
好きな銘柄だから、そう言ってもらえて嬉しいわ。"
MID_GR_Celine_C_#001,"[セリーヌ] 1 
[セリカ] 2 

[セリーヌ] 
話したいことがたくさんあったはずなのに、 
こうして目の前にすると、なかなか言葉が出てこないわ。"
MID_GR_Celine_C_#002,"[セリカ] 
私も同じよ、セリーヌ。 
焦らずにゆっくり、お互いのことを話していきましょう？"
