key,text
MID_GR_Alfred_A_#001,"[アルフレッド] 1 

[リン] 2 
[リン] 
あなたと気が合うってこと、当たってる気がしてきたわ。 
私も長い草原暮らしで早寝早起きが染みついてるし。"
MID_GR_Alfred_A_#002,"[アルフレッド] 
ははは、そうだろう？ 
やはり僕の見立ては間違っていなかったようだ。"
MID_GR_Alfred_A_#003,"[アルフレッド] 
一つ提案があるんだ。僕と一緒に鍛錬しないかい？ 
リンなら、きっと綺麗な筋肉がつくと思うんだ。"
MID_GR_Alfred_A_#004,"[リン] 
残念ながら筋肉がつくことはないと思うけど… 
でも、楽しそうだから付き合ってあげる！"
MID_GR_Alfred_B_#001,"[アルフレッド] 1 

[リン] 2 
[アルフレッド] 
やあ、おはよう、リン。 
今日も爽やかな良い朝だね。"
MID_GR_Alfred_B_#002,"[リン] 
おはよう…って夜明け前よ？ 
朝というか、むしろまだ夜って感じだけど…"
MID_GR_Alfred_C_#001,"[アルフレッド] 1 

[リン] 2 
[アルフレッド] 
イルシオンに、君のような紋章士がいたとは意外だよ。 
共に戦って思ったが…リン、君と僕は気が合いそうだ。"
MID_GR_Alfred_C_#002,"[リン] 
あら、そう？　あなたのようなきちんとした王子様と、 
私は違うタイプに見えるけど。ま、これからよろしくね。"
MID_GR_Anna_A_#001,"[アンナ] 1 

[リン] 2 
[アンナ] 
考えてくれた？　お店番をするって話。 
リンなら、いい物と引きかえてあげるわよ！"
MID_GR_Anna_A_#002,"[リン] 
うーん…私に店番なんて務まるのかしら？ 
物が盗まれそうでも、注意することしかできないし。"
MID_GR_Anna_A_#003,"[アンナ] 
それは大丈夫。たつじんの眼力ってすごいんだから。 
リンにみつめられたら、悪いことなんかできないわよ。"
MID_GR_Anna_A_#004,"[リン] 
そういうものかしら…？　でも、やっぱり遠慮しとく。 
お店にアンナさんがいないと、みんな寂しいと思うから。"
MID_GR_Anna_B_#001,"[アンナ] 1 

[リン] 2 
[リン] 
紋章士の私にも熱心に営業してくれるのは嬉しいわ。 
でも申し訳ないけど、私そもそもお金を持ってないの。"
MID_GR_Anna_B_#002,"[アンナ] 
そっか…じゃあ、しはらいはお金じゃなくて、 
お店のてつだいでいいわよ？　お店番、どうかしら？"
MID_GR_Anna_C_#001,"[アンナ] 1 

[リン] 2 
[アンナ] 
いかかですかー！　めずらしいもの、揃ってますよー！ 
あなたも、おひとついかが？"
MID_GR_Anna_C_#002,"[リン] 
あら。こうしてよく見たら。あなたの顔どこかで… 
ううん、気のせいよね！"
MID_GR_Bonet_A_#001,"[ボネ] 1 

[リン] 2 
[リン] 
ちょっといいかしら。最近、何もない方向を 
ぼうっと見つめてたりしてるけど、大丈夫？"
MID_GR_Bonet_A_#002,"[ボネ] 
悩んでるんだ。食材とそれ以外に違いはあるのか、と。 
森羅万象、あらゆる物は結局食材なのではないか。"
MID_GR_Bonet_A_#003,"[リン] 
私は実体がないから、少なくとも食材にはならないわね。 
それに、空や風や雲も食材にはならないと思うけど…？"
