key,text
MID_BT10_#001,"M011_グリ b 
M011_グリ Status 
M011_グリ 
痛めつけるのは得意じゃないが… 
どこがいいかは、よーく知ってるぜ？"
MID_BT11_#001,"M011_グリ b 
M011_グリ 
Smile 
M011_グリ 
へえ…思ったよりは楽しめたが、 
こんな痛みじゃ足りねえな…"
MID_BT12_#001,"M011_マロン b 
M011_マロン Strike 
M011_マロン 
こーんな奴がボクの相手？ 
弱そうだし、すぐ殺しちゃうよ！"
MID_BT13_#001,"M011_マロン b 
M011_マロン Sad 
M011_マロン 
見た目よりやるじゃん… 
顔ぐらいは覚えておいてあげる。"
MID_BT14_#001,"M011_モーヴ b 
M011_モーヴ 
Angry 
M011_モーヴ 
一方的な蹂躙は気が引ける… 
抵抗を示すなら全力で頼む。"
MID_BT15_#001,"M011_モーヴ b 
M011_モーヴ Pain 
M011_モーヴ 
貴殿を見くびっていたようだ… 
次があるならば、改めて…"
MID_BT1_#001,"M011_敵マルス b 
M011_敵マルス 
…………"
MID_BT2_#001,"M011_敵シグルド b 
M011_敵シグルド 
…………"
MID_BT3_#001,"M011_敵セリカ b 
M011_敵セリカ 
…………"
MID_BT4_#001,"M011_敵ミカヤ b 
M011_敵ミカヤ 
…………"
MID_BT5_#001,"M011_敵リーフ b 
M011_敵リーフ 
…………"
MID_BT6_#001,"M011_敵ロイ b 
M011_敵ロイ 
…………"
MID_BT7_#001,"M011_ヴェイル b 
M011_ヴェイル 
Smile 
M011_ヴェイル 
私に歯向かうだなんて、命知らずですね。 
その度胸だけは褒めて差し上げましょう。"
MID_BT8_#001,"M011_セピア b 
M011_セピア 
Smile 
M011_セピア 
お友達を失って、可哀想にねえ。 
私が優しく慰めてあげましょうか…"
MID_BT9_#001,"M011_セピア b 
"" M011_セピア StandBy 
M011_セピア 
ふふ、優しくしてあげたのに…ひどい人。 
ヴェイル様に言いつけなきゃ。"
MID_ED1_#001,"[アイビー] 1 
[リュール] 2 

[アイビー] 
こっちよ。森に身を隠しながら進めるわ… 
このままソルム王国に向かいましょう…"
MID_ED1_#002,"妹を残してきたのが気がかりだけれど… 
この国にはもう…いられないわ。"
MID_ED1_#003,"[スタルーク] 3 

[スタルーク] 
イルシオンに…置いていくものが多すぎます…"
MID_ED1_#004,"[スタルーク] 
[ディアマンド] 3 
[ディアマンド] 
くっ…父上…"
MID_ED1_#005,"[ディアマンド] 
[アルフレッド] 3 
[アルフレッド] 
今は辛いが、堪えるんだ。 
ここで戻っては、本当にすべてを失ってしまう。"
MID_ED1_#006,"[アイビー] 
道案内をするわ…ついて来て。"
MID_ED1_#007,"[リュール] 
…………"
MID_ED1_#008,"マルス……みんな… 
ごめんなさい…"
MID_ED2_#001,"ヴェイル_白_悪 2 
ヴェイル_白_悪 
取り逃がしましたか。 
まさか、アイビーが暗躍するとは。"
MID_ED2_#002,"奪われた指輪は、大教会にあった 
『聖王女の指輪』と『草原の公女の指輪』…"
MID_ED2_#003,"痛手ではありますが、 
神竜が集めた指輪はすべて此方の手中。"
MID_ED2_#004,"これから、ゆっくりと殺してあげますよ。 
仲間も、民も、そして…"
MID_ED2_#005,…その心も何もかも。
MID_ED3_#001,"[アイビー] 1 
[リュール] 2 

[アイビー] 
ここまで来れば大丈夫よ。 
追っ手も、もう来ていないみたい…"
MID_ED3_#002,"[リュール] 
…ヴェイルがまさか、邪竜の娘だったなんて。"
MID_ED3_#003,指輪を奪われてしまうだなんて…
MID_ED3_#004,"こうなってしまったのは、私のせいです。 
みんな…ごめんなさい…"
MID_ED3_#005,"[アルフレッド] 4 
[アルフレッド] 
君のせいじゃない。 
あの場では、誰も、どうしようもなかった。"
MID_ED3_#006,"[アイビー] 
[ディアマンド] 1 
[ディアマンド] 
謝るべきは私だ。父上を失った怒りで、 
神竜様に戦わせてくれと頼んでしまった。"
MID_ED3_#007,"[スタルーク] 3 

[スタルーク] 
僕も…父上を置いていきたくないと、 
そう言ってしまったから…"
MID_ED3_#008,"[アルフレッド] 
[アイビー] 4 

[アイビー] 
亡骸に執着して、神竜様の判断を鈍らせたの…？ 
それは愚かな選択だわ…"
MID_ED3_#009,"[スタルーク] 
あ、あなたがそれを言うんですか！？ 
元はといえば、あなたが足止めをしなければ！"
MID_ED3_#010,"[リュール] 
やめてください、仲間割れは…"
MID_ED3_#011,"[スタルーク] 
仲間…？　僕はそう思えません。 
こいつさえいなければ、間に合ったかもしれない。"
MID_ED3_#012,父上は死なずに済んだかもしれないのに！
MID_ED3_#013,"[リュール] 
スタルーク…"
MID_ED3_#014,"[ディアマンド] 
アイビー王女が儀式を教えてくれなければ、 
私たちは大教会に辿り着けなかった。"
MID_ED3_#015,"父上は今も望まぬ姿で剣を振るっていた。 
そうだろう、スタルーク。"
MID_ED3_#016,"[スタルーク] 
兄上は悔しくないんですか！？ 
こいつのせいで父上は…死んだようなものなのに！"
MID_ED3_#017,"[ディアマンド] 
父の仇はハイアシンス王だ！ 
そして彼も、邪竜の手によって死んだ！"
MID_ED3_#018,"ハイアシンス王は、 
亡骸すら、残らなかったんだ…！"
MID_ED3_#019,"[スタルーク] 
！！"
MID_ED3_#020,"[リュール] 
やめましょう。これ以上争っても、 
もう、何にもなりません…"
MID_ED3_#021,"[ディアマンド] 
すまない…"
MID_ED3_#022,アイビー王女、弟の非礼を許してくれ。
MID_ED3_#023,"[アイビー] 
いえ…こちらこそ。 
父を止められなかったこと、謝罪するわ…"
MID_ED3_#024,"[スタルーク] 
僕は…まだそこまで、割り切れません… 
父上に、もう会えないんですよ…"
MID_ED3_#025,"ブロディアにあった指輪だって、 
もう二度と…"
MID_ED3_#026,"[ディアマンド] 
……"
MID_ED3_#027,"[アイビー] 
[ディアマンド] 
[リュール] 1 

[リュール] 
…確かに私たちは、 
多くの犠牲を払ってしまいました。"
MID_ED3_#028,"けれど紋章士たちは、死んだわけでも、 
決して戻らないわけでもありません。"
MID_ED3_#029,"いつか取り戻せる。 
私はそう信じています。"
MID_ED3_#030,"[スタルーク] 
神竜様…"
MID_ED3_#031,"[スタルーク] 

[リン] 2 
[リン] 
その通りよ。 
それに、全員いなくなったわけじゃないわ。"
MID_ED3_#032,"[ルキナ] 4 
[ルキナ] 
私たちのことを忘れていただいては困りますね。"
MID_ED3_#033,"[リュール] 
リン、ルキナ。"
MID_ED3_#034,"[リン] 
今まで一緒だった紋章士とは違うかもしれないけど、 
私たちだって強いのよ。"
MID_ED3_#035,"[ルキナ] 
このまま終わるのが運命だとは思いません。 
奪われても、逃げても、負けたわけではないのですから。"
MID_ED3_#036,"[リュール] 
逃げても、負けではない…"
MID_ED3_#037,"でも、私は母さんに、逃げないでと言われました。 
皆を守る神竜として逃げては駄目だと…"
MID_ED3_#038,"[リン] 
撤退は、逃げることとは違うわ。 
本当に逃げることは…諦めること。"
MID_ED3_#039,"[リュール] 
諦めること…"
MID_ED3_#040,"[リン] 
あなたはここまで逃げなかったのね。 
母の教えを守り戦った。立派なことよ。"
MID_ED3_#041,"でも残って戦うことだけが…頑なに動かないことだけが、 
皆を守る道ではないって、そう思う。"
MID_ED3_#042,"[ルキナ] 
ルミエルさんは、これからの時間の中で 
そう教えたかったのだと思います。"
MID_ED3_#043,"でも、残念ながら… 
そうするだけの時間は残されていなかった。"
MID_ED3_#044,"[リュール] 
マルスも、あの時… 
そう言いたかったのでしょうか。"
MID_ED3_#045,"[ルキナ] 
はい。きっと。"
MID_ED3_#046,"[リュール] 
……そうですか。 
私は、思い違いをしていたようですね。"
MID_ED3_#047,"奪われても、逃げても、負けたわけではない… 
それならば、この撤退を勝利に繋げます。"
MID_ED3_#048,──私は神竜として、もっと強くなります。
MID_ED3_#049,"今度は必ず、皆を守れるように。 
もう誰一人として失わない。そして、"
MID_ED3_#050,"共に戦った仲間を、 
必ず取り戻してみせる。"
MID_ED3_#051,ついて来てくれますか。みんな…
MID_ED3_#052,"[リン] 
[ルキナ] 
[アルフレッド] 2 
[アルフレッド] 
ああ、もちろんさ。 
いつかこの盤面を覆してやろう。"
MID_ED3_#053,[アルフレッド]
MID_ED3_#054,"[ディアマンド] 2 
[ディアマンド] 
このままで終わる気はない。 
失ったものは、取り戻すまでだ。"
MID_ED3_#055,"[ディアマンド] 

[スタルーク] 2 

[スタルーク] 
こんな時でも、希望を見せてくれるんですね… 
俯いている暇も、ないぐらい…"
MID_ED3_#056,"[アルフレッド] 
[アイビー] 2 

[アイビー] 
力になるわ… 
私でも、貴方の役に立てるのなら。"
MID_ED3_#057,"[リュール] 
ありがとうございます。"
MID_ED3_#058,"…行きましょう。ソルム王国へ。 
皆がいてくれるなら、私に恐れるものはありません。"
MID_EV10_#001,"[リュール] t 
[リュール] Surprise 

[リュール] 

その姿…あなたは、マルス…？"
MID_EV10_#002,"[ルキナ] b 
[ルキナ] 
いいえ、私はルキナです。"
MID_EV10_#003,"[リュール] Normal 

[リュール] 
ルキナ…"
MID_EV10_#004,"[ルキナ] Serious 
[ルキナ] 
私は英雄王ではありません。 
その代わりにもなれません。"
MID_EV10_#005,"ですが、あなたの力になりたい。 
深淵に沈んだ者たちの、希望の光となりたい。"
MID_EV10_#006,"[ルキナ] StandBy 
今は逃げるしかなくても… 
この撤退はいつか希望に繋がります。"
MID_EV10_#007,"[ルキナ] Status 
さあ、私とエンゲージしてください！"
MID_EV11_#001,"[ゼルコバ] b 
n0Tex_Event_ItemPicture_156picture_item_fade_in_normal 
[ゼルコバ] 
Angry 

[ゼルコバ] 
神竜様。「土産」は「もうひとつ」あります。"
MID_EV11_#002,"&gt;8picture_item_fade_out_normal 
[リュール] t 
[リュール] Surprise 

[リュール] 
これは、竜の時水晶…！？"
MID_EV11_#003,"[ゼルコバ] 
「闇」に紛れ、「拝借」してきました。 
「奪われた指輪」ではなく気が咎めますが…"
MID_EV11_#004,戦況打開の「一助」となれば幸いです。
MID_EV11_#005,"[リュール] 
Angry 

[リュール] 
ありがとうございます。"
MID_EV12_#001,"[リュール] t 
[リュール] 
Angry 

[リュール] 
今なら指輪を取り戻せるかもしれません…！"
MID_EV12_#002,"M011_ヴェイル b 
M011_ヴェイル 
そうはさせませんよ。"
MID_EV13_#001,"[リュール] t 
[リュール] Pain 

[リュール] 
！　そんな…！ 
指輪が、ヴェイルの元に…"
MID_EV13_#002,"M011_ヴェイル b 
M011_ヴェイル Shy 
M011_ヴェイル 
ふふ…簡単に渡すわけありません。 
精々無力なまま足掻きなさい。"
MID_EV14_#001,"M011_ヴェイル b 
"" M011_ヴェイル Strike 
M011_ヴェイル 
行きなさい、異形兵。 
奴らが絶望するまで、何度でも…"
MID_EV15_#001,"[リュール] t 
[リュール] 
Angry 

[リュール] 
…ここまで来れば、 
なんとか切り抜けられそうですね。"
MID_EV1_#001,"M011_ヴェイル b 
"" M011_ヴェイル Normal 
M011_ヴェイル 
しぶとい虫ケラども… 
やはり異形兵だけでは力不足でしたか。"
MID_EV1_#002,"$ M011_ヴェイル StandBy 
四狗よ、行きなさい。"
MID_EV2_#001,"M011_モーヴ t 
M011_モーヴ 
Angry 
M011_モーヴ 
拝命いたしました。 
必ずや奴らを仕留めましょう。"
MID_EV2_#002,"M011_モーヴ 
M011_マロン b 
M011_マロン 
Smile 
M011_マロン 
えへへ。 
このボクの餌食になるのはどいつかなぁ？"
MID_EV2_#003,"M011_マロン 
M011_グリ b 
M011_グリ 
Smile 
M011_グリ 
仕置きをする側は慣れてねえが、 
ヴェイル様の御命令なら喜んで。"
MID_EV2_#004,"M011_グリ 
M011_セピア t 
"" M011_セピア StandBy 
M011_セピア 
我々にお任せくださいな。 
奴らを逃がしはしませんわ。"
MID_EV3_#001,"[ヴァンドレ] t 

[ヴァンドレ] 
Angry 

[ヴァンドレ] 
新手が来るようですな。 
追いつかれる前に急ぎましょう！"
