key,text
MID_BT10_#001,"[モーヴ] b 
[モーヴ] Pain 
[モーヴ] 
此度は、命を賭してまでの任ではない… 
この辺りで、退かせてもらおう…"
MID_BT1_#001,"[オルテンシア] b 
&amp; [オルテンシア] Status 
[オルテンシア] 
お父様の…ため…指輪を…"
MID_BT2_#001,"[アイビー] t 
[アイビー] Pain 

[アイビー] 
オルテンシア、目を覚まして…！"
MID_BT2_#002,"[オルテンシア] b 
"" [オルテンシア] Pain 
[オルテンシア] 
どうして…止めるの…悲しまないの… 
あたしは…お父様のこと…ずっと…"
MID_BT2_#003,"[アイビー] StandBy 

[アイビー] 
悲しいわ…私だって、立ち直れないぐらい。 
だから、もし、貴方まで失ってしまったら…！"
MID_BT3_#001,"[オルテンシア] b 
"" [オルテンシア] Pain 
[オルテンシア] 
どうして…何もかも…うまくいかないの……"
MID_BT4_#001,"[セピア] b 
[セピア] 
Relax 
[セピア] 
デスタン大教会から奪った指輪… 
返してもらわねばいけませんわねえ？"
MID_BT5_#001,"[セピア] b 
[セピア] 
Smile 
[セピア] 
あらぁ、負け犬の神竜様。 
落ち延びたソルムは快適ですこと？"
MID_BT5_#002,"貴方の指輪たちは、此方で元気にしていますわよ。 
マルスも、シグルドも、みぃんな…"
MID_BT5_#003,"[リュール] t 
[リュール] Strike 

[リュール] 
セピア…！"
MID_BT5_#004,"[セピア] Strike 
[セピア] 
会いたかったかしら？ 
でも残念。今日は連れてこなかったのよ。"
MID_BT5_#005,"[セピア] 
Smile 
奪われでもしたら大変ですもの… 
ね、神竜様？"
MID_BT6_#001,"[セピア] b 
[セピア] Pain 
[セピア] 
そう都合よくはいきませんわよね… 
いいわ、また遊びましょう…"
MID_BT7_#001,"[マロン] b 
[マロン] Strike 
[マロン] 
へー、ここがソルム城…キレイだね。 
キミの墓場には、勿体ないくらい！"
MID_BT8_#001,"[マロン] b 
[マロン] Pain 
[マロン] 
床が滑ったせい！　絶対そうだよ！ 
ボク、もう帰る…！"
MID_BT9_#001,"[モーヴ] b 
[モーヴ] 
Angry 
[モーヴ] 
貴軍が強敵であることは承知の上… 
敬意を表し、全力で参る。"
MID_ED1_#001,"[オルテンシア] 3 
[アイビー] 4 
[オルテンシア] 
お…姉様……"
MID_ED1_#002,"[アイビー] 
良かった、正気に戻ったのね…"
MID_ED1_#003,"[オルテンシア] 
イルシオン兵たちは…？"
MID_ED1_#004,"[リュール] 2 

[リュール] 
撤退しました。"
MID_ED1_#005,"[オルテンシア] 
…あたしも、戻らなきゃ。"
MID_ED1_#006,"[リュール] 
今戻ったら危険です！ 
またセピアに洗脳されてしまうかも…"
MID_ED1_#007,"[オルテンシア] 
でも、あたしがいなくなったら、 
イルシオンのお城に誰もいなくなっちゃう。"
MID_ED1_#008,"お父様がいなくなったイルシオンを 
守れなくなっちゃう…"
MID_ED1_#009,"[アイビー] 
…そうね。 
でもそれは、仕方のないことよ。"
MID_ED1_#010,"[オルテンシア] 
お姉様はイルシオンが大事じゃないの！？"
MID_ED1_#011,"[アイビー] 
大事よ。死ぬほど大切で、守りたかった。 
けれどもう…あの国はイルシオンではないわ。"
MID_ED1_#012,"貴方だって、わかっているでしょう。 
あの国はとっくに…邪竜の国になったことを。"
MID_ED1_#013,"[オルテンシア] 
！！"
MID_ED1_#014,"[リュール] 
アイビー王女…"
MID_ED1_#015,"[アイビー] 
認めたくなんかなかったわ。けれど… 
邪竜が目覚めて、お父様が奴の言いなりになった時から、"
MID_ED1_#016,"あの国を統べる存在は王族ではなくなってしまった。 
今国を動かしているのは邪竜と、その娘と、四狗よ。"
MID_ED1_#017,"戻ったとして何ができるというの。 
奴らの牛耳る城にいて、国を、民たちを守れる？"
MID_ED1_#018,"[オルテンシア] 
それは……"
MID_ED1_#019,"[アイビー] 
私だって戻りたい… 
そうできれば、どんなにいいか。"
MID_ED1_#020,"でも、いまイルシオンのためにできることは、 
邪竜を倒すことよ。"
MID_ED1_#021,"それが、お父様を止められなかった責任だわ… 
国の事を本当に思うのなら、私たちと共に戦いましょう。"
MID_ED1_#022,"[オルテンシア] 
…………"
MID_ED1_#023,"…もう、戻れないのね。 
小さい頃からずっといたお城に。"
MID_ED1_#024,"[アイビー] 
ええ。"
MID_ED1_#025,"[オルテンシア] 
みんなと過ごしたあの部屋にも、 
お姉様と本を読んだ庭にも、お別れなのね。"
MID_ED1_#026,"臣下たちだって、置いてきちゃった… 
でも…"
MID_ED1_#027,"いつか、また取り戻すために… 
あたしも戦うわ。ここで一緒に。"
MID_ED1_#028,"[アイビー] 
オルテンシア…ありがとう。"
MID_ED1_#029,"[オルテンシア] 
…今までごめんなさい。 
この指輪、神竜サマに返すわね。"
MID_ED1_#030,"[リュール] 
『導き手の指輪』… 
取り戻してくれたこと、感謝します。"
MID_ED1_#031,"[オルテンシア] 
あたしはただ、 
自分のわがままで持ってきただけよ。"
MID_ED1_#032,"[リュール] 
それでも、ありがとうございます。"
MID_ED1_#033,『教導（おし）えよ、風花の紋章士＜エムブレム＞！』
MID_ED2_#001,"[ベレト] 1 
[リュール] 2 
[ベレト] 
…紋章士ベレトだ。 
とても、長い夢を見ていたような気がする。"
MID_ED2_#002,"再び神竜の元に戻れたのなら幸いだ。 
この力で皆を導こう。"
MID_ED2_#003,"[リュール] 
お願いします、紋章士ベレト。"
MID_ED3_#001,"[スフォリア] 1 
[リュール] 2 

[スフォリア] 
よっ、みんな無事かい！"
