key,text
MID_BGM_Amiibo_03_ST_Play,宿命～炎
MID_BGM_Amiibo_04_ST_Play,草原の風
MID_BGM_Amiibo_05_ST_Play,忠義尽くさん
MID_BGM_Amiibo_06_ST_Play,フォドラの暁風
MID_BGM_Amiibo_07_ST_Play,すべての路の果てに～煉
MID_BGM_Amiibo_08_ST_Play,最後の戦い
MID_BGM_Amiibo_09_ST_Play,終章（最後の聖戦）
MID_BGM_Amiibo_10_ST_Play,章終り ゆけゆけリーフ
MID_BGM_Amiibo_11_ST_Play,暁鐘の響鳴りて
MID_BGM_Amiibo_12_ST_Play,新たなる光の下へ～ロイの勇気
MID_BGM_Amiibo_13_ST_Play,戦闘マップ3 戦闘MAP2 1(セリカ1)
MID_BGM_Amiibo_14_ST_Play,ストーリー2 各マップの始まり
MID_BGM_Boss_01_Pre_ST_Play,秩序乱す者
MID_BGM_Boss_01_Start_ST_Play,秩序乱す者～烈
MID_BGM_Boss_02_Pre_ST_Play,叡智の暴虐者
MID_BGM_Boss_02_Start_ST_Play,叡智の暴虐者～烈
MID_BGM_Boss_03_Pre_ST_Play,逸話持つ者
MID_BGM_Boss_03_Start_ST_Play,逸話持つ者～烈
MID_BGM_Boss_04_Pre_ST_Play,四狗
MID_BGM_Boss_04_Start_ST_Play,四狗～烈
MID_BGM_Boss_05_Pre_ST_Play,欠陥品
MID_BGM_Boss_05_Start_ST_Play,欠陥品～烈
MID_BGM_Boss_06_Pre_ST_Play,光亡き神
MID_BGM_Boss_06_Start_ST_Play,光亡き神～烈
MID_BGM_Evt_26ED2_ST_Play,あたたかな別れ
MID_BGM_Evt_26ED_ST_Play,彼の旅路
MID_BGM_Evt_26OP_ST_Play,消えた光
MID_BGM_Evt_4ku_ST_Play,邪竜の狗たち
MID_BGM_Evt_4ku_Sad_ST_Play,ずっと家族が欲しかった
MID_BGM_Evt_Advent_Byleth_ST_Play,教導えよ、風花の紋章士
MID_BGM_Evt_Advent_Cellica_ST_Play,守護れ、響きの紋章士
MID_BGM_Evt_Advent_Corrin_ST_Play,竜穿ろ、選択の紋章士
MID_BGM_Evt_Advent_Eirika_ST_Play,晴碧れ、聖魔の紋章士
MID_BGM_Evt_Advent_Ike_ST_Play,勇闘え、蒼炎の紋章士
MID_BGM_Evt_Advent_Leif_ST_Play,解放て、系譜の紋章士
MID_BGM_Evt_Advent_Lucina_ST_Play,燃起がれ、覚醒の紋章士
MID_BGM_Evt_Advent_Lyn_ST_Play,吹翠れ、烈火の紋章士
MID_BGM_Evt_Advent_Marth_ST_Play,星炎け、始まりの紋章士
MID_BGM_Evt_Advent_Micaiah_ST_Play,癒救せ、暁の紋章士
MID_BGM_Evt_Advent_Roy_ST_Play,焔向え、封印の紋章士
MID_BGM_Evt_Advent_Sigurd_ST_Play,継承えよ、聖戦の紋章士
MID_BGM_Evt_Amb_Brodia_ST_Play,武力のブロディア
MID_BGM_Evt_Amb_Filene_ST_Play,豊穣のフィレネ
MID_BGM_Evt_Amb_Ircion_ST_Play,叡智のイルシオン
MID_BGM_Evt_Amb_Lithos2_Black_ST_Play,焦地グラドロン
MID_BGM_Evt_Amb_Lithos2_ST_Play,聖地リトス
MID_BGM_Evt_Amb_Lithos_Black_ST_Play,闇の回廊
MID_BGM_Evt_Amb_Lithos_ST_Play,光の庭園
MID_BGM_Evt_Amb_Solum_ST_Play,自由のソルム
MID_BGM_Evt_Appear_Diamand_ST_Play,武力の王子
MID_BGM_Evt_Appear_Ivy_ST_Play,叡智の王女
MID_BGM_Evt_BlackLumiere_Die_ST_Play,ありがとう…かあさん
MID_BGM_Evt_BlackLumiere_ST_Play,千年の孤独
MID_BGM_Evt_Brave_ST_Play,目覚めし光芒
MID_BGM_Evt_Collide_ST_Play,激突
MID_BGM_Evt_Consultation_ST_Play,合議
MID_BGM_Evt_Daily1_ST_Play,談笑
MID_BGM_Evt_Daily2_ST_Play,日常
MID_BGM_Evt_Daily3_ST_Play,平穏
MID_BGM_Evt_Danger1_ST_Play,危機
MID_BGM_Evt_Danger2_ST_Play,[急襲]
MID_BGM_Evt_Danger_Church_ST_Play,惨劇
MID_BGM_Evt_Determination_Brodia_ST_Play,誇りのために兵を
MID_BGM_Evt_Determination_Filene_ST_Play,平和のために剣を
MID_BGM_Evt_Determination_Ircion_ST_Play,信祈のために契を
