key,text
MID_RELIANCE_A_#001,"[アルフレッド] 1 

[ミスティラ] 2 

[ミスティラ] 
今日はアルフレッド王子と野営～♪"
MID_RELIANCE_A_#002,"[ミスティラ] 
ごはんはおいしかったし～♪ 
歌も絶好調～♪"
MID_RELIANCE_A_#003,"[ミスティラ] 
空には満点の星～♪ 
もう何も言うことなし～♪"
MID_RELIANCE_A_#004,"[アルフレッド] 
さすがミスティラ王女だね。 
今の心情がよく表れていたよ。"
MID_RELIANCE_A_#005,"[ミスティラ] 
あたしの歌を褒めてくれるなんて… 
アルフレッド王子って、すっごく珍しい人だよ。"
MID_RELIANCE_A_#006,"[アルフレッド] 
僕はミスティラ王女の歌、好きだよ。 
楽しい気持ちになれるからね。"
MID_RELIANCE_A_#007,"[ミスティラ] 
あはは。 
いつも楽しく歌ってるからね！"
MID_RELIANCE_A_#008,"[ミスティラ] 
ありがとう、アルフレッド王子。"
MID_RELIANCE_A_#009,"[ミスティラ] 
あっ、焚き火の火が弱くなってきた。"
MID_RELIANCE_A_#010,"[アルフレッド] 
ええと、確かこうするんだったね…"
MID_RELIANCE_A_#011,"[ミスティラ] 
そうそう！ 
完璧だよ、アルフレッド王子！"
MID_RELIANCE_A_#012,"[ミスティラ] 
これで次からは一人でも野営できるね！"
MID_RELIANCE_A_#013,"[アルフレッド] 
ありがとう。 
師匠のご指導が良かったおかげだね。"
MID_RELIANCE_A_#014,"[ミスティラ] 
ふふん。 
いくらでも褒めていいのよ。"
MID_RELIANCE_A_#015,"[アルフレッド] 
ありがとう、ミスティラ王女。 
君のおかげで色々と学ぶことができた。"
MID_RELIANCE_A_#016,"[アルフレッド] 
これでソルム王国の人たちの気持ちや考え方を 
以前よりも知ることができる気がするよ。"
MID_RELIANCE_A_#017,"[ミスティラ] 
なるほどね。 
ソルムのことを学ぶために色々と体験してみた、と。"
MID_RELIANCE_A_#018,"[アルフレッド] 
その国の人たちと同じことを経験した方が 
より理解を深められると思ってね。"
MID_RELIANCE_A_#019,"[ミスティラ] 
ふむふむ。 
それで…"
MID_RELIANCE_A_#020,"[ミスティラ] 
…その得た知識で、ソルムに攻め入る？"
MID_RELIANCE_A_#021,"[アルフレッド] 
とんでもない。"
MID_RELIANCE_A_#022,"[アルフレッド] 
君から学んだことはすべて、 
両国が手を繋ぐために役に立てると約束するよ。"
MID_RELIANCE_A_#023,"[ミスティラ] 
ええ、わかってるわ。 
ちょっとからかってみただけ。"
MID_RELIANCE_A_#024,"[ミスティラ] 
でも、今のままじゃ不十分かな。"
MID_RELIANCE_A_#025,"[アルフレッド] 
どうしてだい？"
MID_RELIANCE_A_#026,"[ミスティラ] 
今度はあたしがフィレネ王国のことを学ぶ番。 
…ってこと。"
MID_RELIANCE_A_#027,"[ミスティラ] 
国と国との関係は… 
お互いに理解し合ってこそ、でしょ？"
MID_RELIANCE_A_#028,"[アルフレッド] 
確かにその通りだね。"
MID_RELIANCE_A_#029,"[ミスティラ] 
色々と教えてね、アルフレッド王子。 
ソルムとフィレネ。隣り合う両国の未来のためにも。"
MID_RELIANCE_A_#030,"[アルフレッド] 
ああ。喜んで。 
ミスティラ王女。"
MID_RELIANCE_B_#001,"[アルフレッド] 1 

[ミスティラ] 2 
[アルフレッド] 
ミスティラ王女。 
君はオオカミに乗れると聞いたが本当かい？"
MID_RELIANCE_B_#002,"[ミスティラ] 
うん、本当だよ。"
MID_RELIANCE_B_#003,"[ミスティラ] 
懐かしいな。小さい頃はオオカミに乗って 
ソルム城内を走り回ったものだよ…"
MID_RELIANCE_B_#004,"[アルフレッド] 
へえ、それはすごいね。 
そこまで奔放な王族は、フィレネにはいなかったよ。"
MID_RELIANCE_B_#005,"[ミスティラ] 
ソルムの王族は大体そんな感じだよ。"
MID_RELIANCE_B_#006,"[ミスティラ] 
それでアルフレッド王子は、 
オオカミに乗ってみたいの？"
MID_RELIANCE_B_#007,"[アルフレッド] 
ああ。 
少し興味があってね。"
MID_RELIANCE_B_#008,"[ミスティラ] 
いいじゃない！ 
それじゃあ、あたしが教えてあげるわ。"
MID_RELIANCE_B_#009,"[ミスティラ] 
何回も振り落とされるし 
何回も噛まれるけど別にいいよね？"
MID_RELIANCE_B_#010,"[アルフレッド] 
えっ！？ 
何回もかい？"
MID_RELIANCE_B_#011,"[ミスティラ] 
うん。何回も。 
離しなさいって言っても多分、無理。"
MID_RELIANCE_B_#012,"[ミスティラ] 
自力でどうにかするしかないの。"
MID_RELIANCE_B_#013,"[アルフレッド] 
うーん…"
MID_RELIANCE_B_#014,"[ミスティラ] 
昔から慣れ親しんだ人ならともかく、 
アルフレッド王子は初体験だからね。"
MID_RELIANCE_B_#015,"[ミスティラ] 
もしかしたら怪我だけじゃすまないかも。"
MID_RELIANCE_B_#016,"[アルフレッド] 
そ、そうか…"
MID_RELIANCE_B_#017,"[アルフレッド] 
悔しいけど今はやっぱり止めておくよ。 
この戦から離脱するわけにはいかないからね。"
MID_RELIANCE_B_#018,"[ミスティラ] 
うんうん。 
やめる勇気も大事だね。"
MID_RELIANCE_B_#019,"[アルフレッド] 
代わりに野営の仕方を教えてくれないか？"
MID_RELIANCE_B_#020,"[アルフレッド] 
ソルムの人たちのたくましさを、 
少しでも学びたいんだ。"
MID_RELIANCE_B_#021,"[ミスティラ] 
もちろん！ 
そういうことなら喜んで！"
MID_RELIANCE_B_#022,"[ミスティラ] 
寝床の作り方から危険な動物の対処まで！ 
あたしが知ってることはなんでも教えてあげる！"
MID_RELIANCE_B_#023,"[ミスティラ] 
そうそう。一番大事なのは、楽しい歌ね。 
野営中に歌うと最高なんだから。"
MID_RELIANCE_B_#024,"[アルフレッド] 
よろしく頼むよ、ミスティラ王女。"
MID_RELIANCE_C_#001,"[アルフレッド] 1 

[ミスティラ] 2 

[ミスティラ] 
待って待ってー！ 
アルフレッド王子！"
MID_RELIANCE_C_#002,"[アルフレッド] 
やあ、ミスティラ王女。 
僕に何か用かい？"
MID_RELIANCE_C_#003,"[ミスティラ] 
んっふふー。さてはアルフレッド王子、 
これからおいしいもの食べに行くつもりでしょ？"
MID_RELIANCE_C_#004,"[アルフレッド] 
いいや。 
これから鍛錬を始めようとしていたんだ。"
MID_RELIANCE_C_#005,"[ミスティラ] 
そうなの！？ 
じゃあ、なんであんなにニコニコしてたの？"
MID_RELIANCE_C_#006,"[アルフレッド] 
それは僕が鍛錬を好きだからだよ。"
MID_RELIANCE_C_#007,"[ミスティラ] 
ふーん、そういうことだったのね。 
勘違いしちゃった。"
MID_RELIANCE_C_#008,"[ミスティラ] 
おいしいもの食べるんだったら、 
あたしもお呼ばれしようと思ったのに。"
MID_RELIANCE_C_#009,"[アルフレッド] 
あはは。 
それは悪いことをしたね。"
MID_RELIANCE_C_#010,"[ミスティラ] 
鍛錬は鍛錬で構わないわ。 
あたしもついていくね！"
MID_RELIANCE_C_#011,"[アルフレッド] 
一緒に鍛錬してくれるのかい？"
MID_RELIANCE_C_#012,"[ミスティラ] 
うん！"
MID_RELIANCE_C_#013,"[ミスティラ] 
で、鍛錬が終わったらご褒美に 
あたしに何かおいしいものをごちそうして。"
MID_RELIANCE_C_#014,"[アルフレッド] 
なるほどね。 
それが目当てということか。"
MID_RELIANCE_C_#015,"[アルフレッド] 
かまわないよ。ソルム王国の第一王女とは 
一度、ゆっくり話してみたかったからね。"
MID_RELIANCE_C_#016,"[ミスティラ] 
難しい話はナシね。 
せっかくのお食事会なんだから。"
MID_RELIANCE_C_#017,"[アルフレッド] 
わかっているよ、ミスティラ王女。 
明るく楽しく、幸せな話をしようじゃないか。"
