key,text
MID_RELIANCE_A_#001,"[ブシュロン] 1 
[カゲツ] 2 
[カゲツ] 
はぁ…はぁ…心満意足… 
今日もいい手合わせじゃった。"
MID_RELIANCE_A_#002,"[ブシュロン] 
ああ。 
あんたとの手合わせは、どんな鍛錬にも勝る。"
MID_RELIANCE_A_#003,"[カゲツ] 
同感じゃ。"
MID_RELIANCE_A_#004,"[カゲツ] 
余は、そなたと親友になりたいと思っておる。 
しかし、そなたは少し違うようじゃ…"
MID_RELIANCE_A_#005,"[カゲツ] 
だから、手合わせ仲間ぐらいのところで我慢してやろう。 
それだけでも感慨無量じゃからな。"
MID_RELIANCE_A_#006,"[ブシュロン] 
そうでもない。 
俺だってあんたの親友になりたいと思ってるさ。"
MID_RELIANCE_A_#007,"[ブシュロン] 
でも…"
MID_RELIANCE_A_#008,"[カゲツ] 
でも？"
MID_RELIANCE_A_#009,"[ブシュロン] 
あんた、故郷のこといつ話してくれるんだ？"
MID_RELIANCE_A_#010,"[ブシュロン] 
人はそういう話をしていくうちに、 
少しずつ親友になるものなんだぞ。"
MID_RELIANCE_A_#011,"[カゲツ] 
ふむ。 
わかった。よかろう。"
MID_RELIANCE_A_#012,"[カゲツ] 
…余の故郷は、和という名の雰囲気を有しておる。 
人々はみんな穏やかで、米と魚が本当にうまい。"
MID_RELIANCE_A_#013,"[ブシュロン] 
家族は？"
MID_RELIANCE_A_#014,"[カゲツ] 
父は王族の親戚で剣の名手、 
母は不思議な力を持つ巫女じゃった。"
MID_RELIANCE_A_#015,"[ブシュロン] 
なるほど。 
あんたの腕は親父さん譲りってわけだ。"
MID_RELIANCE_A_#016,"[カゲツ] 
かもしれぬのう。"
MID_RELIANCE_A_#017,"[ブシュロン] 
家族とはよく会っているのか？"
MID_RELIANCE_A_#018,"[カゲツ] 
いや… 
余は故郷を捨てた身だからな。"
MID_RELIANCE_A_#019,"[カゲツ] 
外の世界への憧れが捨てきれなかった… 
簡単に言えばそういうことじゃ。"
MID_RELIANCE_A_#020,"[ブシュロン] 
家族に会いたいか？"
MID_RELIANCE_A_#021,"[カゲツ] 
もちろんじゃが… 
今更、半端には帰れぬ。"
MID_RELIANCE_A_#022,"[カゲツ] 
衣錦還郷… 
こっちでがんばって、故郷に錦を飾らねば…"
MID_RELIANCE_A_#023,"[ブシュロン] 
うっ…"
MID_RELIANCE_A_#024,"[カゲツ] 
どうしたのじゃ？ 
泣いておるのか？"
MID_RELIANCE_A_#025,"[ブシュロン] 
手合わせしていて思ったんだ…"
MID_RELIANCE_A_#026,"[ブシュロン] 
あんたは飄々としているけど、 
いろんなものを背負ってるんだろうなって…"
MID_RELIANCE_A_#027,"[カゲツ] 
うっ…やめるのじゃ… 
余まで泣けてくるではないか…"
MID_RELIANCE_A_#028,"[カゲツ] 
さあ、きっすじゃ！ 
責任を取って早くきっすするのじゃ！"
MID_RELIANCE_A_#029,"[ブシュロン] 
えっ？"
MID_RELIANCE_A_#030,"[カゲツ] 
余の故郷では、人前で泣いたらきっすしなくてはならぬ。 
早くするのじゃ！"
MID_RELIANCE_A_#031,"[ブシュロン] 
ええっ！？"
MID_RELIANCE_A_#032,"[カゲツ] 
あはは、冗談じゃよ。 
そなたをからかうと本当におもしろいのう。"
MID_RELIANCE_A_#033,"[ブシュロン] 
はあ…いい加減にしろよ…"
MID_RELIANCE_A_#034,"[カゲツ] 
また手合わせするか？ 
余が降参したら、余のことをもっと話してやろう。"
MID_RELIANCE_A_#035,"[ブシュロン] 
いいだろう。 
では俺が降参したら、俺のことを話す。"
MID_RELIANCE_A_#036,"[カゲツ] 
それは楽しみじゃ！ 
では、いざ！"
MID_RELIANCE_B_#001,"[ブシュロン] 1 
[カゲツ] 2 
[カゲツ] 
おお、親友。 
待たせて悪かったのう！"
MID_RELIANCE_B_#002,"[ブシュロン] 
親友？ 
一度、手合わせしただけだろう？"
MID_RELIANCE_B_#003,"[カゲツ] 
何を言っておる。 
一度、手合わせしたら親友じゃ！"
MID_RELIANCE_B_#004,"[ブシュロン] 
あんたの故郷ではそうなのか？"
MID_RELIANCE_B_#005,"[カゲツ] 
当然至極。 
それとも、そなたの国では違うと言うのか？"
MID_RELIANCE_B_#006,"[ブシュロン] 
まあな…"
MID_RELIANCE_B_#007,"[カゲツ] 
そうか…では、何をしたら親友になる？ 
もしかして、きっすか？"
MID_RELIANCE_B_#008,"[ブシュロン] 
きっす？　きっすって何だ？"
MID_RELIANCE_B_#009,"[カゲツ] 
よく、親しき者たちが 
口と口を合わせているじゃろう。"
MID_RELIANCE_B_#010,"[カゲツ] 
ほれ、はよしてこい。 
そなたなら、してよいぞ。"
MID_RELIANCE_B_#011,"[ブシュロン] 
きっす… 
親しい者たちが口と口を合わせる…"
MID_RELIANCE_B_#012,"[ブシュロン] 
キスのことか？"
MID_RELIANCE_B_#013,"[カゲツ] 
そうそう、それじゃ。 
ほれ、はよしてこい。"
MID_RELIANCE_B_#014,"[ブシュロン] 
いや、するわけないだろう。 
キスは恋人とかがするやつで、親友とはしないんだ。"
MID_RELIANCE_B_#015,"[カゲツ] 
そうなのか？ 
他国の文化は、難しいものじゃ。"
MID_RELIANCE_B_#016,"[カゲツ] 
ま、冗談はさておき、 
そろそろ今日の手合わせをしよう。"
MID_RELIANCE_B_#017,"[ブシュロン] 
冗談だったのか…"
MID_RELIANCE_B_#018,"[カゲツ] 
笑止千万。 
親友はきっすしないなんてこと、誰でも知っておる。"
MID_RELIANCE_B_#019,"[ブシュロン] 
くっ… 
からかうなよ…"
MID_RELIANCE_B_#020,"[カゲツ] 
ふふ。 
悔しかったら、余を降参させてみよ。"
MID_RELIANCE_B_#021,"[ブシュロン] 
いいだろう。 
手加減はしないぞ。"
MID_RELIANCE_B_#022,"[カゲツ] 
いい目つきじゃ。いざ！"
MID_RELIANCE_C_#001,"[ブシュロン] 1 
[カゲツ] 2 
[カゲツ] 
そなた、フィレネ王国のブシュロンじゃな。 
かなりの腕の持ち主と見た。"
MID_RELIANCE_C_#002,"[カゲツ] 
余はイルシオン王国のカゲツ。 
ぜひ手合わせを願いたい！"
MID_RELIANCE_C_#003,"[ブシュロン] 
…いい目をしているな。 
いいだろう。受けて立とう。"
MID_RELIANCE_C_#004,"[カゲツ] 
感謝いたす。 
では…いざ、真剣勝負！"
MID_RELIANCE_C_#005,"[カゲツ] 
たぁ！　せいっ！"
MID_RELIANCE_C_#006,"[ブシュロン] 
ふふ、やるな。 
だが軽い！"
MID_RELIANCE_C_#007,"[カゲツ] 
ふぅ…力戦奮闘じゃった。 
今日のところは、この辺でお開きじゃ。"
MID_RELIANCE_C_#008,"[カゲツ] 
余は嬉しいぞ。 
見込んだ通りの腕じゃった。"
MID_RELIANCE_C_#009,"[カゲツ] 
いい体をしてるだけあって… 
一撃が重く、防御も固い。"
MID_RELIANCE_C_#010,"[ブシュロン] 
あんたもよかったよ。 
独特な動きで、防ぐのに苦労した。"
MID_RELIANCE_C_#011,"[カゲツ] 
独特な動き？ 
ああ、きっとそれは余の故郷の影響じゃろう。"
MID_RELIANCE_C_#012,"[ブシュロン] 
故郷？"
MID_RELIANCE_C_#013,"[カゲツ] 
いかにも。 
余は独自の文化を持つ地域の出でな。"
MID_RELIANCE_C_#014,"[ブシュロン] 
そうだったのか… 
それは興味深いな。"
MID_RELIANCE_C_#015,"[カゲツ] 
知りたければ、もっと余をうならせてくれ。 
未熟者には何も教えてやらぬぞ。"
MID_RELIANCE_C_#016,"[ブシュロン] 
なるほど、そうくるわけか… 
いいだろう。乗った。"
MID_RELIANCE_C_#017,"[カゲツ] 
ではぜひ、また近いうちに手合わせを。"
MID_RELIANCE_C_#018,"[ブシュロン] 
ああ。ぜひ頼む。"
