key,text
MID_RELIANCE_A_#001,"[セリーヌ] 1 
[オルテンシア] 2 
[オルテンシア] 
…………"
MID_RELIANCE_A_#002,"[セリーヌ] 
オルテンシア王女。 
今日は元気がなさそうですね。"
MID_RELIANCE_A_#003,"[オルテンシア] 
セリーヌ王女…"
MID_RELIANCE_A_#004,"[オルテンシア] 
…認めるわ。"
MID_RELIANCE_A_#005,"[セリーヌ] 
え…？"
MID_RELIANCE_A_#006,"[オルテンシア] 
セリーヌ王女…あなたは可愛い。 
勝負はあなたの勝ちよ。"
MID_RELIANCE_A_#007,"[オルテンシア] 
ほんとは最初から認めてたの。 
目が離せなくなるほどの圧倒的な魅力を。"
MID_RELIANCE_A_#008,"[セリーヌ] 
まあ…そんなに褒めてくださるなんて。 
ありがとうございます、オルテンシア王女。"
MID_RELIANCE_A_#009,"[セリーヌ] 
ですが…"
MID_RELIANCE_A_#010,"[セリーヌ] 
ぷにぷに。"
MID_RELIANCE_A_#011,"[オルテンシア] 
わわわっ！？ 
な、なんでぷにぷにするの！"
MID_RELIANCE_A_#012,"[セリーヌ] 
勝負は仲良く、 
引き分けにしましょう？"
MID_RELIANCE_A_#013,"[セリーヌ] 
オルテンシア王女も、とても可愛いですよ。 
思ったことがすぐ顔に出てしまうほど素直で。"
MID_RELIANCE_A_#014,"[セリーヌ] 
その素直さに、周りの人も 
どれだけ癒されていることか。"
MID_RELIANCE_A_#015,"[オルテンシア] 
セリーヌ王女…"
MID_RELIANCE_A_#016,"[セリーヌ] 
オルテンシア王女。 
あなたにも素晴らしい魅力があります。"
MID_RELIANCE_A_#017,"[セリーヌ] 
だから笑ってください。 
あなたには笑顔が似合いますから。"
MID_RELIANCE_A_#018,"[オルテンシア] 
うう…そ、そんなこと言われたら… 
あたし…あたし…"
MID_RELIANCE_A_#019,"[オルテンシア] 
あなたのことがもっと好きになっちゃうじゃない！"
MID_RELIANCE_A_#020,"[セリーヌ] 
わたしはとっくにオルテンシア王女のことが 
好きですけれどね。"
MID_RELIANCE_A_#021,"[オルテンシア] 
う、うわ～ん！　その余裕が悔しいけど！ 
もう何だっていいわ！"
MID_RELIANCE_A_#022,"[セリーヌ] 
ねえ、オルテンシア王女。 
今日は紅茶をご一緒しませんか？"
MID_RELIANCE_A_#023,"[セリーヌ] 
ずっとあなたをお誘いしたかったの。"
MID_RELIANCE_A_#024,"[オルテンシア] 
へ？ 
あたしを…？"
MID_RELIANCE_A_#025,"[セリーヌ] 
ええ。同じ妹王女という立場同士、 
色々お話しさせてくださると嬉しいです。"
MID_RELIANCE_A_#026,"[セリーヌ] 
友好のしるしとして、 
イルシオンの茶葉を取り寄せてあるの。"
MID_RELIANCE_A_#027,"[オルテンシア] 
ほんと？　行く行く！ 
セリーヌ王女、大好き！"
MID_RELIANCE_A_#028,"[セリーヌ] 
良かった。 
素敵なお茶会にしましょうね。"
MID_RELIANCE_B_#001,"[セリーヌ] 1 
[オルテンシア] 2 

[セリーヌ] 
こんにちは。 
オルテンシア王女。"
MID_RELIANCE_B_#002,"[オルテンシア] 
きたわね、セリーヌ王女！"
MID_RELIANCE_B_#003,"[オルテンシア] 
さっそくだけど勝負よ！ 
どっちがお肌ぷにぷにか選手権！"
MID_RELIANCE_B_#004,"[オルテンシア] 
ぷに。 
ぷにぷに。"
MID_RELIANCE_B_#005,"[セリーヌ] 
あはは。 
くすぐったいです。"
MID_RELIANCE_B_#006,"[オルテンシア] 
…………"
MID_RELIANCE_B_#007,"[オルテンシア] 
ぷにぷに選手権は中止よ！"
MID_RELIANCE_B_#008,"[セリーヌ] 
もうですか？"
MID_RELIANCE_B_#009,"[オルテンシア] 
別に諦めたわけじゃないわ！ 
勘違いしないでちょうだい！"
MID_RELIANCE_B_#010,"[セリーヌ] 
それは残念です。 
わたしもオルテンシア王女をぷにぷにしたかったのに。"
MID_RELIANCE_B_#011,"[オルテンシア] 
そ、そうなの？ 
でも、今は勝負してるから邪魔しないで。"
MID_RELIANCE_B_#012,"[セリーヌ] 
ふふ、わかりました。"
MID_RELIANCE_B_#013,"[オルテンシア] 
んんん…セリーヌ王女が相手だと、 
なんかいつもの感じで立ち回れないわ。"
MID_RELIANCE_B_#014,"[オルテンシア] 
やっぱりセリーヌ王女のことを、 
ほんとは可愛いって認めているからなのかしら。"
MID_RELIANCE_B_#015,"[セリーヌ] 
ぷにぷに。"
MID_RELIANCE_B_#016,"[オルテンシア] 
こ、こらー！ 
ぷにぷに選手権は中止って言ったでしょ！"
MID_RELIANCE_B_#017,"[セリーヌ] 
ごめんなさい、オルテンシア王女。 
どうしても触ってみたくて、つい。"
MID_RELIANCE_B_#018,"[オルテンシア] 
そ、そんな素敵な笑顔で謝られたら… 
好きになっちゃうじゃない。"
MID_RELIANCE_B_#019,"[オルテンシア] 
もうやめてよ！ 
あたしが世界で一番、可愛いんだから！"
MID_RELIANCE_B_#020,"[オルテンシア] 
うわ～～～～～ん！"
MID_RELIANCE_B_#021,"[オルテンシア] 

[セリーヌ] 
…行ってしまったわ。 
残念、今日こそお茶に誘いたかったのに。"
MID_RELIANCE_C_#001,"[セリーヌ] 1 
[オルテンシア] 2 

[セリーヌ] 
こんにちは、オルテンシア王女。"
MID_RELIANCE_C_#002,"[オルテンシア] 
むっ！ 
セリーヌ王女！"
MID_RELIANCE_C_#003,"[オルテンシア] 
ふむふむ。へぇ… 
なるほどなるほどね…"
MID_RELIANCE_C_#004,"[オルテンシア] 
これは強敵ね。 
でも、あたしだって負けてないわ。"
MID_RELIANCE_C_#005,"[セリーヌ] 
…オルテンシア王女。 
先ほどから何を？"
MID_RELIANCE_C_#006,"[オルテンシア] 
よし、いけるわ。 
いけるいける。"
MID_RELIANCE_C_#007,"[オルテンシア] 
正直に言うとほぼ互角って感じだけど、 
初めから認めるわけにはいかないわ。"
MID_RELIANCE_C_#008,"[オルテンシア] 
だって、これは勝負なんだから。 
負けるわけにはいかない大事な勝負。"
MID_RELIANCE_C_#009,"[セリーヌ] 
はあ…勝負。"
MID_RELIANCE_C_#010,"[オルテンシア] 
だからこそ、今は不都合なところには目をつぶって 
高らかに宣言するのよ。"
MID_RELIANCE_C_#011,"[オルテンシア] 
セリーヌ王女！ 
恐るるに足らずよ！"
MID_RELIANCE_C_#012,"[オルテンシア] 
可愛さだけじゃないわ！ 
何もかもあたしの方が勝ってる！"
MID_RELIANCE_C_#013,"[セリーヌ] 
…………"
MID_RELIANCE_C_#014,"[セリーヌ] 
ふふっ。何を仰るのかと思えば。 
オルテンシア王女はいつも元気ですね。"
MID_RELIANCE_C_#015,"[オルテンシア] 
げ、元気ですって…？"
MID_RELIANCE_C_#016,"[オルテンシア] 
ふんだ。 
そうやって余裕ぶるのも今のうちよ。"
MID_RELIANCE_C_#017,"[オルテンシア] 
これからいっぱい、 
あたしの方が優秀だって証明してあげるんだから！"
