key,text
MID_RELIANCE_A_#001,"[ジャン] 2 
[ジャン] 
うーん… 
頭に入っていかへん…"
MID_RELIANCE_A_#002,"[セリーヌ] 1 

[セリーヌ] 
ジャン、お疲れ様。 
お勉強、頑張っているみたいね。"
MID_RELIANCE_A_#003,"[ジャン] 
セリーヌ王女。"
MID_RELIANCE_A_#004,"[ジャン] 
頑張ってはいるんですけど、中々。 
だんだん頭も疲れてきて…あかんなあ…"
MID_RELIANCE_A_#005,"[セリーヌ] 
そんなときは、これをどうぞ。"
MID_RELIANCE_A_#006,"[ジャン] 
この香り… 
自分の故郷のお茶ですか？"
MID_RELIANCE_A_#007,"[セリーヌ] 
ええ、その通りよ。"
MID_RELIANCE_A_#008,"[セリーヌ] 
ジャンがお勉強で悩んでいる姿が見えたから。 
お茶を飲んで気分転換できればと思ったの。"
MID_RELIANCE_A_#009,"[ジャン] 
セリーヌ王女… 
ありがとうございます。"
MID_RELIANCE_A_#010,"[ジャン] 
…うん。懐かしい香りや。 
美味しいし、ほっとする。"
MID_RELIANCE_A_#011,"[セリーヌ] 
…ねえ、ジャン。あなたはこの間、 
お茶は人を救えないと言っていたけれど…"
MID_RELIANCE_A_#012,"[セリーヌ] 
わたしはジャンの故郷のお茶に、 
何度も救われたと思っているのよ。"
MID_RELIANCE_A_#013,"[ジャン] 
お茶に救われた…ですか？"
MID_RELIANCE_A_#014,"[セリーヌ] 
物事が上手くいかなくて、落ち込んだ気分のとき… 
美味しいお茶を飲むの。"
MID_RELIANCE_A_#015,"[セリーヌ] 
すると、たちまち心が軽くなるわ。"
MID_RELIANCE_A_#016,"[セリーヌ] 
ただの気分転換かもしれないけれど、 
それを機に物事がうまくいくこともある。"
MID_RELIANCE_A_#017,"[セリーヌ] 
それを救いと呼ぶのは…大袈裟かしら？"
MID_RELIANCE_A_#018,"[ジャン] 
…いいえ、そんなことありません。"
MID_RELIANCE_A_#019,"[ジャン] 
実際、自分も今、 
気分が軽くなってますから。"
MID_RELIANCE_A_#020,"[ジャン] 
ありがとうございます、セリーヌ王女。 
大切なことを教えてくれて。"
MID_RELIANCE_A_#021,"[ジャン] 
それから…ごめんなさい。医者の卵としても… 
お茶は人を救うと、考えを改めます。"
