key,text
MID_RELIANCE_A_#001,"[セリーヌ] 1 
[モーヴ] 2 

[セリーヌ] 
モーヴ。 
どうして思い出の場所探しをやめたの？"
MID_RELIANCE_A_#002,"[モーヴ] 
セリーヌ殿…"
MID_RELIANCE_A_#003,"[モーヴ] 
申し訳ありません。"
MID_RELIANCE_A_#004,"[モーヴ] 
協力して頂いたセリーヌ殿には、 
説明しなければなりませんでしたね。"
MID_RELIANCE_A_#005,"[セリーヌ] 
話したくなければいいの。 
ただ、少し気になってしまって。"
MID_RELIANCE_A_#006,"[モーヴ] 
セリーヌ殿に協力してもらえば、いつかは… 
思い出の場所を見つけることができたと思います。"
MID_RELIANCE_A_#007,"[モーヴ] 
ですが、気づいてしまったのです。"
MID_RELIANCE_A_#008,"[モーヴ] 
俺があの場所を忘れなかったのは、 
景色の美しさに圧倒されたのではなく…"
MID_RELIANCE_A_#009,"[モーヴ] 
あの場所で家族と 
幸せな時間を過ごしたからなのだと。"
MID_RELIANCE_A_#010,"[セリーヌ] 
…そういうことだったのね。"
MID_RELIANCE_A_#011,"[モーヴ] 
木漏れ日に照らされる優しい母の笑顔。 
俺の頭を撫でてくれた父…"
MID_RELIANCE_A_#012,"[モーヴ] 
好物のパイ包みを頬張って、幸せだった… 
あの頃は、不安や恐れなど、何もなかった。"
MID_RELIANCE_A_#013,"[セリーヌ] 
モーヴ…"
MID_RELIANCE_A_#014,"[モーヴ] 
今更、あの場所を見つけて訪れたとしても、 
俺はそれほど感動しないでしょう。"
MID_RELIANCE_A_#015,"[モーヴ] 
大好きだった家族は、 
もうこの世にいないのですから…"
MID_RELIANCE_A_#016,"[セリーヌ] 
…………"
MID_RELIANCE_A_#017,"[セリーヌ] 
それでも探しましょう。 
あなたの思い出の場所を。"
MID_RELIANCE_A_#018,"[モーヴ] 
え？"
MID_RELIANCE_A_#019,"[セリーヌ] 
ご家族はもういないけれど… 
今度はわたしたちと一緒に、そこで過ごしましょう？"
MID_RELIANCE_A_#020,"[モーヴ] 
セリーヌ殿…"
MID_RELIANCE_A_#021,"[モーヴ] 
以前の言葉は撤回します。 
思い出の場所探しの協力…引き続きお願いします。"
MID_RELIANCE_A_#022,"[セリーヌ] 
ええ。もちろん。"
MID_RELIANCE_A_#023,"[セリーヌ] 
大切な仲間と共に過ごせば… 
幸せな思い出が、また新しく生まれるはずだわ。"
MID_RELIANCE_A_#024,"[モーヴ] 
…ありがとうございます。 
セリーヌ殿。"
MID_RELIANCE_B_#001,"[セリーヌ] 1 
[モーヴ] 2 

[セリーヌ] 
これはどうかしら？"
MID_RELIANCE_B_#002,"[モーヴ] 
うーん… 
あまりピンとこないです。"
MID_RELIANCE_B_#003,"[セリーヌ] 
じゃあ、こっちの絵画は？"
MID_RELIANCE_B_#004,"[モーヴ] 
…違いますね。 
見たこともない景色です。"
MID_RELIANCE_B_#005,"[セリーヌ] 
そう。フィレネの有名な観光地の絵画を 
何枚か見てもらったけれど…"
MID_RELIANCE_B_#006,"[セリーヌ] 
どれもモーヴの思い出の場所では 
ないみたいね。"
MID_RELIANCE_B_#007,"[モーヴ] 
申し訳ありません。 
こんなに用意してもらったのに…"
MID_RELIANCE_B_#008,"[セリーヌ] 
他に何か思い出せることはない？ 
その場所の景色以外で。"
MID_RELIANCE_B_#009,"[モーヴ] 
…………"
MID_RELIANCE_B_#010,"[モーヴ] 
思い出しました。"
MID_RELIANCE_B_#011,"[モーヴ] 
パイ包みです。 
母の手作りの。"
MID_RELIANCE_B_#012,"[モーヴ] 
大きな広葉樹の下に座って 
父と母と三人で食べたんです。"
MID_RELIANCE_B_#013,"[モーヴ] 
美味かったな…"
MID_RELIANCE_B_#014,"[セリーヌ] 
うふふ。 
素敵な思い出ね。"
MID_RELIANCE_B_#015,"[モーヴ] 
すみません。 
場所の特定に繋がりはしない情報でした。"
MID_RELIANCE_B_#016,"[セリーヌ] 
いいえ、構わないわ。 
きっと幸せな時間だったのでしょうね…"
MID_RELIANCE_B_#017,"[モーヴ] 
…………"
MID_RELIANCE_B_#018,"[モーヴ] 
…そうか。"
MID_RELIANCE_B_#019,"[モーヴ] 
だから俺は、ずっと…"
MID_RELIANCE_B_#020,"[セリーヌ] 
モーヴ？"
MID_RELIANCE_B_#021,"[モーヴ] 
セリーヌ殿。 
ここまで協力していただき感謝します。"
MID_RELIANCE_B_#022,"[モーヴ] 
ですが、これ以上はもう大丈夫です。 
今までありがとうございました。"
MID_RELIANCE_B_#023,"[モーヴ] 

[セリーヌ] 
あっ、ちょっとモーヴ…"
MID_RELIANCE_B_#024,"[セリーヌ] 
いきなりどうしたのかしら。"
MID_RELIANCE_C_#001,"[セリーヌ] 1 
[モーヴ] 2 
[モーヴ] 
セリーヌ殿。 
つかぬことをお聞きしても？"
MID_RELIANCE_C_#002,"[セリーヌ] 
ええ、構わないわ。"
MID_RELIANCE_C_#003,"[モーヴ] 
フィレネのどこかに…大きな広葉樹が 
一本だけ立つ丘陵はありませんか？"
MID_RELIANCE_C_#004,"[セリーヌ] 
大きな広葉樹？ 
すぐには思い浮かばないのだけれど…"
MID_RELIANCE_C_#005,"[セリーヌ] 
そこがどうかしたの？"
MID_RELIANCE_C_#006,"[モーヴ] 
実は俺はフィレネの生まれなのです。"
MID_RELIANCE_C_#007,"[モーヴ] 
幼少時、その丘陵に 
家族で旅行へと出かけたことを覚えていて…"
MID_RELIANCE_C_#008,"[モーヴ] 
詳しい地名などはわからないのですが、 
その美しい光景をずっと忘れられなくて。"
MID_RELIANCE_C_#009,"[モーヴ] 
願わくば再訪したいと思っているのです。"
MID_RELIANCE_C_#010,"[セリーヌ] 
まあ…そうだったのね。 
あなたがフィレネの出身だったなんて。"
MID_RELIANCE_C_#011,"[セリーヌ] 
けれど、その情報だけでは、 
場所を特定するのは少し難しいわね。"
MID_RELIANCE_C_#012,"[モーヴ] 
そうですか… 
困らせてしまい申し訳ない。"
MID_RELIANCE_C_#013,"[モーヴ] 
ずっと忘れられないほど、 
俺にとっては大切な思い出の場所だったので…"
MID_RELIANCE_C_#014,"[セリーヌ] 
そこまでの思い入れがあるのね…"
MID_RELIANCE_C_#015,"[セリーヌ] 
わかったわ。フィレネ出身の仲間の願いなら、 
簡単に諦めることなんてできない。"
MID_RELIANCE_C_#016,"[セリーヌ] 
どうか、わたしにも協力させて。"
MID_RELIANCE_C_#017,"[セリーヌ] 
フィレネの第一王女として、 
その思い出の場所を探してみせるわ。"
MID_RELIANCE_C_#018,"[モーヴ] 
ありがとうございます、セリーヌ殿。"
