key,text
MID_RELIANCE_A_#001,"[セリーヌ] 1 

[スタルーク] 2 

[セリーヌ] 
いい香りの紅茶ですね。 
とっても美味しいです。"
MID_RELIANCE_A_#002,"[スタルーク] 
良かった。ブロディアの高地で採れる茶葉です。 
安眠の効果があるとか…"
MID_RELIANCE_A_#003,"[セリーヌ] 
安眠の…"
MID_RELIANCE_A_#004,"[セリーヌ] 
そう、わたしのために用意してくださったのね。 
ありがとうございます。"
MID_RELIANCE_A_#005,"[スタルーク] 
どうですか、あれ以来。"
MID_RELIANCE_A_#006,"[セリーヌ] 
…だめですね。戦が苛烈になるにつれ、 
悪い夢を見る日も多くなってきています。"
MID_RELIANCE_A_#007,"[スタルーク] 
セリーヌ王女…"
MID_RELIANCE_A_#008,"[スタルーク] 
…………"
MID_RELIANCE_A_#009,"[スタルーク] 
僕たちは、国王にはなりませんよ。"
MID_RELIANCE_A_#010,"[セリーヌ] 
え…？"
MID_RELIANCE_A_#011,"[スタルーク] 
消極的な意味で言っているのではありません。 
万が一…そうなれば役目は果たします。でも…"
MID_RELIANCE_A_#012,"[スタルーク] 
失わないように戦いましょう。 
僕たちの兄を。未来の国王を。"
MID_RELIANCE_A_#013,"[スタルーク] 
悪い夢は消せなくとも、 
その通りにならないように戦うことはできます。"
MID_RELIANCE_A_#014,"[スタルーク] 
ですから…その…アルフレッド王子のこと、 
僕も守って差し上げます！"
MID_RELIANCE_A_#015,"[セリーヌ] 
…！"
MID_RELIANCE_A_#016,"[スタルーク] 
同盟を結んだ隣国の王太子であれば…そして、 
友人の兄であれば、僕の兄上も同然ですから。"
MID_RELIANCE_A_#017,"[スタルーク] 
って…僕なんかに兄上認定されたうえ、 
守られるなんて嫌かもしれませんけど。"
MID_RELIANCE_A_#018,"[セリーヌ] 
とんでもありません！ 
嬉しいです…すごく。涙が出そうなぐらい。"
MID_RELIANCE_A_#019,"[セリーヌ] 
スタルーク王子のように腕の立つ方が 
守ってくださるなら心強いわ。"
MID_RELIANCE_A_#020,"[スタルーク] 
そ、そんなにご評価いただき、恐縮です。"
MID_RELIANCE_A_#021,"[セリーヌ] 
わたしもお守りします。あなたのお兄様… 
ディアマンド王子のことを。"
