key,text
MID_RELIANCE_A_#001,"[クラン] 1 

[エーティエ] 2 
[クラン] 
エーティエさん。 
新しいピクルスができたよ。"
MID_RELIANCE_A_#002,"[クラン] 
今回は三種類の野菜を漬けてみたんだ。 
でも…"
MID_RELIANCE_A_#003,"[エーティエ] 
どうしましたの？"
MID_RELIANCE_A_#004,"[クラン] 
おいしくないんだよ… 
本当にごめん…これは渡せないや。"
MID_RELIANCE_A_#005,"[クラン] 
新しい野菜が、いつもの感じにならなくって。 
最初から作り直そうかなって思ってるんだ。"
MID_RELIANCE_A_#006,"[エーティエ] 
まあ、気にしないでくださいな。 
あたくしにとって、そんなこと問題ではございません。"
MID_RELIANCE_A_#007,"[クラン] 
えっ？　どうして？"
MID_RELIANCE_A_#008,"[エーティエ] 
クランさんが作ってくださるピクルスは味も最高です。 
でも、何より素敵なのはあなたの気持ち。"
MID_RELIANCE_A_#009,"[エーティエ] 
あなたはこのピクルスを作るため、 
あたくしのことをよく観察してくださっていますわよね。"
MID_RELIANCE_A_#010,"[エーティエ] 
それにあたくしがおいしく食べられるように 
思いを込めてくださっています。"
MID_RELIANCE_A_#011,"[エーティエ] 
あなたのピクルスは、あたくしの体だけを 
癒やしてくれるのではありません。"
MID_RELIANCE_A_#012,"[エーティエ] 
あなたの優しい思いが、 
あたくしの心をも癒やしてくださるのです。"
MID_RELIANCE_A_#013,"[エーティエ] 
だから何も気になさらず、食べさせてくださいな。"
MID_RELIANCE_A_#014,"[クラン] 
エーティエさん…"
MID_RELIANCE_A_#015,"[エーティエ] 
！？"
MID_RELIANCE_A_#016,"[クラン] 
今のって、エーティエさんのお腹の音？"
MID_RELIANCE_A_#017,"[エーティエ] 
ご…ごめんなさい。"
MID_RELIANCE_A_#018,"[クラン] 
もしかして、 
ピクルスの味なんか問題ないって言ってくれたのは…"
MID_RELIANCE_A_#019,"[クラン] 
お腹が空きすぎて、 
早くピクルスを食べたかったから？"
MID_RELIANCE_A_#020,"[エーティエ] 
ち、違います！ 
もう、からかわないでくださいませっ。"
MID_RELIANCE_A_#021,"[クラン] 
あ、そろそろ鍛錬の時間じゃない？"
MID_RELIANCE_A_#022,"[エーティエ] 
あら、本当ですわ。 
ではこのピクルスをいただいてからまいりましょう。"
MID_RELIANCE_A_#023,"[クラン] 
おいしくなかったらごめんね。"
MID_RELIANCE_A_#024,"[エーティエ] 
もう、そんなこと言いっこなしですわ。 
それでは、いただきます。"
MID_RELIANCE_B_#001,"[クラン] 1 

[エーティエ] 2 

[エーティエ] 
クランさん。見つけましたわ。"
MID_RELIANCE_B_#002,"[クラン] 
どうしたの？ 
もうピクルスなくなっちゃった？"
MID_RELIANCE_B_#003,"[エーティエ] 
お恥ずかしいお話なのですが、そうなのです。"
