key,text
MID_RELIANCE_A_#001,"[クラン] 1 
[フラン] 2 
[クラン] 
…………"
MID_RELIANCE_A_#002,"[フラン] 
もう。 
クランったら何をいじけてるの？"
MID_RELIANCE_A_#003,"[クラン] 
だって…"
MID_RELIANCE_A_#004,"[クラン] 
僕は恥ずかしくて冊子を配れなかった… 
神竜様のファン失格だよ。"
MID_RELIANCE_A_#005,"[フラン] 
あのねえ。 
クランは神竜様のことが好きなんでしょ？"
MID_RELIANCE_A_#006,"[クラン] 
もちろんだよ。 
フランだって知ってるでしょ。"
MID_RELIANCE_A_#007,"[フラン] 
ならハッキリ言うわね。"
MID_RELIANCE_A_#008,"[フラン] 
ファンに失格とかないから。"
MID_RELIANCE_A_#009,"[クラン] 
え？"
MID_RELIANCE_A_#010,"[フラン] 
ファンに一番大切なのは、 
好きって気持ちでしょ？"
MID_RELIANCE_A_#011,"[フラン] 
それさえなくさなければ、 
何があってもクランは神竜様のファンのはずよ。"
MID_RELIANCE_A_#012,"[クラン] 
…………"
MID_RELIANCE_A_#013,"[クラン] 
そうだよね。"
MID_RELIANCE_A_#014,"[クラン] 
僕、もう一回、挑戦してみる。 
次はちゃんと…この手で冊子を配るよ。"
MID_RELIANCE_A_#015,"[フラン] 
うんうん、その意気よ！"
MID_RELIANCE_A_#016,"[クラン] 
でも折角だから、 
悔いの残っている箇所を整えたいな。"
MID_RELIANCE_A_#017,"[フラン] 
今から？"
MID_RELIANCE_A_#018,"[クラン] 
うん。大切なのは好きって気持ち。 
なら、それをもっと前面に押し出したいんだ。"
MID_RELIANCE_A_#019,"[クラン] 
竜の守り人としてのコメントが薄すぎるから 
ここをもっと手厚くして神竜様のお人柄を伝えたい。"
MID_RELIANCE_A_#020,"[クラン] 
神竜様のお姿の絵も足りないから、 
絵が得意な人に頼んでもっと増やしてもらおうよ。"
MID_RELIANCE_A_#021,"[クラン] 
それから神竜様への質問もこれじゃ足りないよね。 
最低でも好きな色は知りたいと思うんだけどどう？"
MID_RELIANCE_A_#022,"[フラン] 
こ、凝り性だし、 
いきなりすっごい喋ってくる…"
MID_RELIANCE_A_#023,"[フラン] 
でもまあ、やる気が出たならいいわ。"
MID_RELIANCE_A_#024,"[フラン] 
クラン。三十三代目竜の守り人として、 
神竜様のために最高の冊子を作りましょ！"
MID_RELIANCE_A_#025,"[クラン] 
勿論だよ、フラン！"
MID_RELIANCE_B_#001,"[クラン] 1 
[フラン] 2 
[クラン] 
人がたくさんいるね…"
MID_RELIANCE_B_#002,"[フラン] 
当たり前よ。町に来たんだから。"
MID_RELIANCE_B_#003,"[フラン] 
ここなら神竜様の素晴らしさを 
たっぷりと布教できるはずよ。"
MID_RELIANCE_B_#004,"[クラン] 
なんか緊張してきた…"
MID_RELIANCE_B_#005,"[フラン] 
今日のために二人でがんばったんだから 
大勢の人に読んでもらわないとね。"
MID_RELIANCE_B_#006,"[クラン] 
う、うん…"
MID_RELIANCE_B_#007,"[フラン] 
それじゃあ、クラン。 
さっそく冊子を配りましょう。"
MID_RELIANCE_B_#008,"[フラン] 
さあさあ、みなさーん！ 
ご覧あれー！"
MID_RELIANCE_B_#009,"[クラン] 
…………"
MID_RELIANCE_B_#010,"[フラン] 
クラン。どうしたの？ 
この次は私たちが何者か名乗らなきゃ。"
MID_RELIANCE_B_#011,"[フラン] 
そうしないと怪しんで受け取ってもらえないって 
クランが言ったんじゃない。"
MID_RELIANCE_B_#012,"[クラン] 
ちょっと緊張しちゃって…"
MID_RELIANCE_B_#013,"[フラン] 
情けないわね。 
みんながじろじろ見てるじゃない。"
MID_RELIANCE_B_#014,"[フラン] 
じゃあ、私がクランのことも紹介してあげるから。"
MID_RELIANCE_B_#015,"[クラン] 
う、うん…"
