key,text
MID_RELIANCE_A_#001,"[クラン] 1 
[ジャン] 2 
[クラン] 
痛っ！"
MID_RELIANCE_A_#002,"[ジャン] 
クラン、大丈夫か！？"
MID_RELIANCE_A_#003,"[クラン] 
平気だよ。 
ちょっと転んで擦り剥いただけだから。"
MID_RELIANCE_A_#004,"[ジャン] 
擦り傷かて、放っておいたら 
感染症にかかる可能性があるんや。"
MID_RELIANCE_A_#005,"[ジャン] 
見せてみ。 
すぐに消毒してあげるさかい。"
MID_RELIANCE_A_#006,"[クラン] 
うん…"
MID_RELIANCE_A_#007,"[ジャン] 
血が出とるな。 
消毒するで。"
MID_RELIANCE_A_#008,"[クラン] 
うぅ、しみる…"
MID_RELIANCE_A_#009,"[ジャン] 
よし、これで終いや。 
な、すぐ終わったやろ。"
MID_RELIANCE_A_#010,"[クラン] 
ありがとう…"
MID_RELIANCE_A_#011,"[ジャン] 
礼なんてええ。当然のことや。 
自分にとって、クランは恩人やから…"
MID_RELIANCE_A_#012,"[クラン] 
えっ？"
MID_RELIANCE_A_#013,"[ジャン] 
…この間、言うてくれたよな。"
MID_RELIANCE_A_#014,"[ジャン] 
失敗と成功を繰り返して、 
少しずつ成長すればいいって。"
MID_RELIANCE_A_#015,"[クラン] 
うん。"
MID_RELIANCE_A_#016,"[ジャン] 
なんか…温かい言葉で、 
家族に言われたみたいな気がしたんや。"
MID_RELIANCE_A_#017,"[クラン] 
ジャン…"
MID_RELIANCE_A_#018,"[ジャン] 
自分、フィレネの島の出身でな。 
まだなかなか慣れへんねん。"
MID_RELIANCE_A_#019,"[ジャン] 
せやから、クランの言葉が心に染みたんや。"
MID_RELIANCE_A_#020,"[クラン] 
そうだったんだ…"
MID_RELIANCE_A_#021,"[クラン] 
ジャンがよければ、 
僕のことを、お兄さんと思ってもいいよ。"
MID_RELIANCE_A_#022,"[クラン] 
僕なんてまだまだだし、頼りないところも 
あるかもしれないけど…"
MID_RELIANCE_A_#023,"[ジャン] 
そんなことない。 
クランみたいなお兄ちゃんがいたら百人力やで！"
MID_RELIANCE_A_#024,"[クラン] 
あはは。 
そうだといいな。"
MID_RELIANCE_A_#025,"[ジャン] 
さ、そろそろ食事の時間や。歩けるか？"
MID_RELIANCE_A_#026,"[クラン] 
大丈夫だよ。 
ジャンの手当てがよかったからね。"
MID_RELIANCE_A_#027,"[ジャン] 
無理せんと肩につかまり。 
兄弟仲良く、肩を組んでいこ。"
MID_RELIANCE_B_#001,"[クラン] 1 
[ジャン] 2 
[ジャン] 
この前、迷子になってる自分を 
クランが助けてくれたやろ。"
MID_RELIANCE_B_#002,"[クラン] 
うん。"
MID_RELIANCE_B_#003,"[ジャン] 
あの時採った薬草が、戦の帰りに役立ったんや。 
戦場の近くで怪我した子供がいてな。"
MID_RELIANCE_B_#004,"[ジャン] 
持ってた薬草を使ったら 
すぐに治してあげることができた。"
MID_RELIANCE_B_#005,"[クラン] 
そうだったんだ。 
良かったね…！"
MID_RELIANCE_B_#006,"[ジャン] 
子供を治せたんは… 
あの日、無事に帰れたおかげや。"
MID_RELIANCE_B_#007,"[ジャン] 
クランが自分のことを見つけてくれたおかげやで。 
ほんまにありがとうな。"
MID_RELIANCE_B_#008,"[クラン] 
僕は道案内をしただけさ。 
大したことをしたわけじゃないよ。"
MID_RELIANCE_B_#009,"[ジャン] 
そんなことないで。"
MID_RELIANCE_B_#010,"[ジャン] 
話を聞いたら、子供は貧しい家庭みたいで… 
医者へ行くのも難しいらしいんや。"
MID_RELIANCE_B_#011,"[ジャン] 
あの薬草がなかったら、 
手当もできずに悪くなってたかもしれん。"
MID_RELIANCE_B_#012,"[クラン] 
そうだったんだ。"
MID_RELIANCE_B_#013,"[ジャン] 
自分、反省してるんや。 
迷子になることを軽く考えてたけど…"
MID_RELIANCE_B_#014,"[ジャン] 
万が一、医者の立場にある者が 
一人いなくなるだけで、救える命は減る。"
MID_RELIANCE_B_#015,"[ジャン] 
もっと気をつけなあかんな。"
MID_RELIANCE_B_#016,"[クラン] 
反省も必要だけど、考えすぎたらダメだよ。"
MID_RELIANCE_B_#017,"[クラン] 
誰だって、うまくいかないことはあるし。"
MID_RELIANCE_B_#018,"[クラン] 
失敗と成功を繰り返して、 
少しずつ成長すればいいんじゃないかな。"
MID_RELIANCE_B_#019,"[クラン] 
って、僕も竜の守り人のお仕事、 
いつも失敗ばっかりなんだけどね。"
MID_RELIANCE_B_#020,"[ジャン] 
クランが？　意外やな。 
こんなにしっかりしたはるのに。"
MID_RELIANCE_B_#021,"[クラン] 
そうでもないよ。僕もまだ半人前。 
だから、一緒に成長していこうよ。"
MID_RELIANCE_B_#022,"[クラン] 
ここには、僕より年上の人が多いから… 
ジャンみたいに年の近い人がいて、うれしいよ。"
MID_RELIANCE_B_#023,"[ジャン] 
…………"
MID_RELIANCE_B_#024,"[クラン] 
ど、どうしたの。 
変なこと言っちゃったかな。"
MID_RELIANCE_B_#025,"[ジャン] 
ううん。嬉しかったんや。 
ずっと足手まといになってると思ってたから。"
MID_RELIANCE_B_#026,"[ジャン] 
クランみたいな人に受け入れてもらえて、 
自分は幸せもんやな。"
MID_RELIANCE_B_#027,"[クラン] 
そんな、おおげさな。"
MID_RELIANCE_B_#028,"[ジャン] 
クランに負けんように成長せなあかんな。 
これからもよろしゅう。"
MID_RELIANCE_C_#001,"[ジャン] 2 
[ジャン] 
どうしよう。 
迷ってしもた…"
MID_RELIANCE_C_#002,"[ジャン] 
早く帰らな心配させてまう…"
MID_RELIANCE_C_#003,"[ジャン] 
うぅ…"
MID_RELIANCE_C_#004,"[クラン] 1 
[クラン] 
ジャン？ 
だ、大丈夫？"
MID_RELIANCE_C_#005,"[ジャン] 
クラン…"
MID_RELIANCE_C_#006,"[クラン] 
泣いてたみたいだけど、 
何かあったの？"
MID_RELIANCE_C_#007,"[ジャン] 
な、泣いてなんかないで。 
迷子になってちょっぴり恐かっただけや。"
MID_RELIANCE_C_#008,"[ジャン] 
最近、軍で怪我人が多いから… 
傷に効く薬草を探しにきてたんや。"
MID_RELIANCE_C_#009,"[クラン] 
そうだったんだ。 
いつもありがとう。"
MID_RELIANCE_C_#010,"[ジャン] 
薬草はちゃんと見つけられたんやけど、 
探すのに夢中になりすぎてしもて…"
MID_RELIANCE_C_#011,"[クラン] 
迷っちゃったんだね。"
MID_RELIANCE_C_#012,"[ジャン] 
クランは、なんでここにいるん？"
MID_RELIANCE_C_#013,"[クラン] 
僕はピクルス作りに使う 
香草を探してたんだ。"
MID_RELIANCE_C_#014,"[ジャン] 
そうやったんや。 
ほな、帰り道は…"
MID_RELIANCE_C_#015,"[クラン] 
ここはよく来る場所だから 
案内できるよ。"
MID_RELIANCE_C_#016,"[ジャン] 
ほ、ほんま？ 
安心したわ。"
MID_RELIANCE_C_#017,"[クラン] 
一人で森へ入るときは、 
細心の注意を払わないと駄目だよ。"
MID_RELIANCE_C_#018,"[ジャン] 
そうやな…次からは気をつけるで。"
MID_RELIANCE_C_#019,"[クラン] 
でも、偶然会えてよかった。 
一緒に帰ろう、ジャン。"
MID_RELIANCE_C_#020,"[ジャン] 
クラン、おおきに。"
