key,text
MID_RELIANCE_A_#001,"[ディアマンド] 1 
[アンバー] 2 
[ディアマンド] 
アンバー。 
この間の話の続きなんだが…"
MID_RELIANCE_A_#002,"[アンバー] 
俺はあなたのことが大好きです。 
なぜなら…の続きですね。"
MID_RELIANCE_A_#003,"[ディアマンド] 
うむ。"
MID_RELIANCE_A_#004,"[アンバー] 
俺はこう言いたかったのでしょう。 
なぜならアルパカに似ているから、と。"
MID_RELIANCE_A_#005,"[ディアマンド] 
…なに！？ 
アルパカに！？"
MID_RELIANCE_A_#006,"[アンバー] 
あの日から常にそう思っているので、 
間違いないと思います。"
MID_RELIANCE_A_#007,"[ディアマンド] 
あの日とは？"
MID_RELIANCE_A_#008,"[アンバー] 
数年前…俺は家族の反対を押し切って、 
国を挙げての武術大会に出場しました。"
MID_RELIANCE_A_#009,"[アンバー] 
決勝戦でジェーデに負けてしまったのですが、 
故郷のみんなはアルパカの里の奇跡と喜んでくれました。"
MID_RELIANCE_A_#010,"[ディアマンド] 
だが、アンバーは満足できなかった。 
会場で号泣していたからな。"
MID_RELIANCE_A_#011,"[アンバー] 
ええ… 
絶対に優勝したかったので。"
MID_RELIANCE_A_#012,"[アンバー] 
俺が泣いているとディアマンド様がやってきて、 
臣下にならないかと言ってくださいました。"
MID_RELIANCE_A_#013,"[アンバー] 
優しく微笑むあなたを見て、 
俺は思ったんです。"
MID_RELIANCE_A_#014,"[アンバー] 
この人、アルパカに雰囲気が似てるって。"
MID_RELIANCE_A_#015,"[ディアマンド] 
そこで！？"
MID_RELIANCE_A_#016,"[アンバー] 
俺はすぐに決心しました。 
この人についていこうと。"
MID_RELIANCE_A_#017,"[ディアマンド] 
…………"
MID_RELIANCE_A_#018,"[アンバー] 
何ですか、その珍妙な顔は…"
MID_RELIANCE_A_#019,"[ディアマンド] 
わからん… 
私のどこがアルパカなのだ…"
MID_RELIANCE_A_#020,"[アンバー] 
ですから、雰囲気ですよ。 
うまく言えないですが、なんかどこか似ているんです。"
MID_RELIANCE_A_#021,"[アンバー] 
優しくて、安心できて、守りたくなって、 
ふわふわしてる。"
MID_RELIANCE_A_#022,"[ディアマンド] 
ふわふわ…だと…"
MID_RELIANCE_A_#023,"[アンバー] 
ディアマンド様、誤解しないでくださいよ。 
俺にとってのアルパカはすごくいい意味なので。"
MID_RELIANCE_A_#024,"[ディアマンド] 
本当にそうか？"
MID_RELIANCE_A_#025,"[アンバー] 
本当ですって…"
MID_RELIANCE_A_#026,"[ディアマンド] 
よし。もう一度、秘薬を使ってみてくれ。 
そうしたら本当かどうかわかる。"
MID_RELIANCE_A_#027,"[アンバー] 
えーーーっ？"
MID_RELIANCE_A_#028,"[ディアマンド] 
はは、冗談だ。 
まあ、お前がそこまで言うなら信じよう。"
MID_RELIANCE_A_#029,"[ディアマンド] 
アンバー、アルパカ級の好意を持ってくれてありがとう。 
これからも頼もしい臣下として、期待しているぞ。"
MID_RELIANCE_A_#030,"[アンバー] 
ありがとうございます。 
このアンバー、何があってもあなたをお守りします！"
MID_RELIANCE_B_#001,"[ディアマンド] 1 
[アンバー] 2 
[ディアマンド] 
アンバー、この間の秘薬の話だ。 
お前は私にこう言ってくれた。"
MID_RELIANCE_B_#002,"[アンバー] 
なんでしょう？"
MID_RELIANCE_B_#003,"[ディアマンド] 
その… 
私に感謝しているし、尊敬していると…"
MID_RELIANCE_B_#004,"[アンバー] 
あはは、そんなことを言ったんですか！ 
でも、とっくに知ってますよね？"
MID_RELIANCE_B_#005,"[ディアマンド] 
ああ。アンバーはいつも私を慕ってくれている。 
そのことに救われているし、とても感謝しているよ。"
MID_RELIANCE_B_#006,"[ディアマンド] 
あと、こうも言っていた。"
MID_RELIANCE_B_#007,"[ディアマンド] 
あなたがいなければ、 
俺は今ごろアルパカ牧場にいたでしょう…と。"
MID_RELIANCE_B_#008,"[アンバー] 
まあその通りですね。 
うちの実家は田舎の牧場ですから。"
MID_RELIANCE_B_#009,"[アンバー] 
観光名所も、華やかな店もない。崖しかない町で… 
俺はいつかここを出て騎士になりたいと思っていた。"
