key,text
MID_RELIANCE_A_#001,"[ディアマンド] 1 
[ヴェイル] 2 
[ディアマンド] 
いったい… 
どうすればいいんだ…"
MID_RELIANCE_A_#002,"[ヴェイル] 
うぅ…今日は食事会当日なのに… 
ディアマンド、ごめん…"
MID_RELIANCE_A_#003,"[ディアマンド] 
ヴェイル王女の作った料理が、 
まさか激辛料理ばかりとはな。"
MID_RELIANCE_A_#004,"[ディアマンド] 
流石にこれらを 
民に振舞うわけには…"
MID_RELIANCE_A_#005,"[ヴェイル] 
本当にごめんなさい。"
MID_RELIANCE_A_#006,"[ヴェイル] 
激辛料理はわたしの大好物だから、 
みんなも喜んでくれると思っていたの…"
MID_RELIANCE_A_#007,"[ディアマンド] 
ヴェイル王女に悪気があったわけではない。 
どんな料理を作るのか確認しなかった私が悪いんだ。"
MID_RELIANCE_A_#008,"[ヴェイル] 
せっかく人助けができると思ったのに、 
結局、ディアマンドに迷惑をかけたね。"
MID_RELIANCE_A_#009,"[ヴェイル] 
少しでも役に立つことをして、 
みんなを笑顔にしたかったのに…"
MID_RELIANCE_A_#010,"[ディアマンド] 
みんなを笑顔に…"
MID_RELIANCE_A_#011,"[ディアマンド] 
そうだ。 
いいことを思いついたぞ。"
MID_RELIANCE_A_#012,"[ヴェイル] 
えっ…"
MID_RELIANCE_A_#013,"[ディアマンド] 
食事会を激辛我慢大会に変更するんだ。 
きっと盛り上がって、みんな笑顔になるぞ。"
MID_RELIANCE_A_#014,"[ヴェイル] 
ディアマンドはそれでいいの？ 
我慢大会でみんなとの距離は縮められる？"
MID_RELIANCE_A_#015,"[ディアマンド] 
食事会よりいいかもしれない。 
皆が楽しんでくれれば、私との距離も縮まるだろう。"
MID_RELIANCE_A_#016,"[ヴェイル] 
すごい…わたしたち二人の悩みが 
全部解決しちゃうんだね！"
MID_RELIANCE_A_#017,"[ディアマンド] 
ああ。 
きっと今日はいい日になるぞ。"
MID_RELIANCE_A_#018,"[ヴェイル] 
激辛我慢大会なら、 
わたしが優勝しちゃうかも。"
MID_RELIANCE_A_#019,"[ディアマンド] 
ふっ… 
私だって負けるつもりはない。"
MID_RELIANCE_A_#020,"[ヴェイル] 
みんなが集まるまでもう少しね。 
ディアマンド、張り切って準備しよう！"
MID_RELIANCE_B_#001,"[ディアマンド] 1 
[ヴェイル] 2 

[ヴェイル] 
ねぇ、ディアマンド。 
今日こそ何か困ってない？"
MID_RELIANCE_B_#002,"[ディアマンド] 
特にないな…"
MID_RELIANCE_B_#003,"[ディアマンド] 
と言いたいところだが、 
実は今ちょうど困り事があってな。"
MID_RELIANCE_B_#004,"[ヴェイル] 
ほんと！？"
MID_RELIANCE_B_#005,"[ヴェイル] 
必ずわたしが解決するわ。 
どんなことに困ってるのか教えて。"
MID_RELIANCE_B_#006,"[ディアマンド] 
この前、一緒に町へ出かけて 
困っている人を探しただろう。"
MID_RELIANCE_B_#007,"[ヴェイル] 
うん。 
困っている人は見つからなかったけど。"
MID_RELIANCE_B_#008,"[ディアマンド] 
警備兵にあとから聞いたことなんだが… 
町の人たちは本当は困り事を多く抱えているらしい。"
MID_RELIANCE_B_#009,"[ヴェイル] 
えっ？　じゃあどうして 
わたしたちに相談してくれなかったの？"
MID_RELIANCE_B_#010,"[ディアマンド] 
民衆は王子である私に気を遣って 
困り事を相談できなかったそうだ。"
MID_RELIANCE_B_#011,"[ヴェイル] 
そうだったんだ…"
MID_RELIANCE_B_#012,"[ディアマンド] 
だから、どうにか民との距離を縮めて 
意見を言いやすい環境を作りたいと考えているんだが…"
MID_RELIANCE_B_#013,"[ディアマンド] 
如何せん方法が思いつかなくてな。"
MID_RELIANCE_B_#014,"[ヴェイル] 
なんだ。 
そんなの簡単だよ。"
MID_RELIANCE_B_#015,"[ディアマンド] 
策があるのなら是非聞かせてくれ。"
MID_RELIANCE_B_#016,"[ヴェイル] 
わたしね、とっても好きな料理があるんだ。 
それを食べればとっても元気になれるの。"
MID_RELIANCE_B_#017,"[ヴェイル] 
だから、わたしが料理を作って、 
それをみんなに振る舞う食事会を開けばいいわ。"
MID_RELIANCE_B_#018,"[ディアマンド] 
なるほど…"
MID_RELIANCE_B_#019,"[ディアマンド] 
食事会で人々と何気ない会話をして 
距離を縮めていくというわけだな。"
MID_RELIANCE_B_#020,"[ヴェイル] 
ええ。 
さっそく準備をしてくるわ。善は急げよ。"
MID_RELIANCE_C_#001,"[ディアマンド] 1 
[ヴェイル] 2 

[ヴェイル] 
ディアマンド… 
何か困ってることはない？"
MID_RELIANCE_C_#002,"[ディアマンド] 
ヴェイル王女。 
どうしたんだ、急に。"
MID_RELIANCE_C_#003,"[ヴェイル] 
わたしは…ディアマンドに酷いことをしたわ。 
だから、何か償えることはないかなと思って。"
MID_RELIANCE_C_#004,"[ディアマンド] 
父上のことなら気に病む必要はない。 
あの時のヴェイル王女は正気ではなかったのだ。"
MID_RELIANCE_C_#005,"[ヴェイル] 
でも…"
MID_RELIANCE_C_#006,"[ディアマンド] 
成程。それではヴェイル王女の気持ちに 
決着がつかないということか。"
MID_RELIANCE_C_#007,"[ディアマンド] 
しかし、あいにく今の私には困り事はない。"
MID_RELIANCE_C_#008,"[ディアマンド] 
…そうだ。 
私と一緒に人助けをしないか？"
MID_RELIANCE_C_#009,"[ヴェイル] 
人助け？"
MID_RELIANCE_C_#010,"[ディアマンド] 
私はブロディア王国第一王子として、 
民の悩みを解消する必要がある。"
MID_RELIANCE_C_#011,"[ディアマンド] 
悩める民を助けることは 
私を助けることにも繋がるはずだ。"
MID_RELIANCE_C_#012,"[ディアマンド] 
ヴェイル王女、それでいいか？"
MID_RELIANCE_C_#013,"[ヴェイル] 
うん。 
ディアマンド、よろしくね！"
MID_RELIANCE_C_#014,
MID_RELIANCE_C_#015,"[ヴェイル] 
うう… 
どうしてぇ…"
MID_RELIANCE_C_#016,"[ヴェイル] 
一日中、町を歩き回ったのに 
どうして困ってる人が見つからないの？"
MID_RELIANCE_C_#017,"[ディアマンド] 
まさか、悩みを抱えている人が 
誰一人いないとはな。"
MID_RELIANCE_C_#018,"[ディアマンド] 
しかし、困っている人が見つからないのは 
喜ばしいことだ。"
MID_RELIANCE_C_#019,"[ディアマンド] 
私はブロディア王国第一王子として、 
このことを誇りに思うぞ。"
MID_RELIANCE_C_#020,"[ヴェイル] 
でも、これじゃ償いにならないわ。"
MID_RELIANCE_C_#021,"[ディアマンド] 
仕方ない… 
では、一つ約束をしよう。"
MID_RELIANCE_C_#022,"[ディアマンド] 
いつか私が悩みを抱えたら、 
そのときはヴェイル王女に解決してもらう。"
MID_RELIANCE_C_#023,"[ディアマンド] 
それでどうだ？"
MID_RELIANCE_C_#024,"[ヴェイル] 
十分すぎる申し出だよ。 
ありがとう、ディアマンド。"
