key,text
MID_RELIANCE_A_#001,"[エーティエ] 1 
[セリーヌ] 2 

[セリーヌ] 
エーティエ、見て。"
MID_RELIANCE_A_#002,"[セリーヌ] 
オリジンティーに蜂蜜を入れてみたのだけれど、 
これは新発見かもしれないわ。"
MID_RELIANCE_A_#003,"[エーティエ] 
本当ですか？ 
では、あたくしも…"
MID_RELIANCE_A_#004,"[エーティエ] 
！"
MID_RELIANCE_A_#005,"[エーティエ] 
本当ですわ。これは絶品ですわね。"
MID_RELIANCE_A_#006,"[セリーヌ] 
うふふ。 
エーティエはすごいわ。"
MID_RELIANCE_A_#007,"[エーティエ] 
すごい…？　何がですの？"
MID_RELIANCE_A_#008,"[セリーヌ] 
ほら、もう手が震えなくなっている。 
筋肉がついた証拠ね。"
MID_RELIANCE_A_#009,"[エーティエ] 
そうではありませんわ。 
普通のティーカップに替えただけですの。"
MID_RELIANCE_A_#010,"[セリーヌ] 
どうして？ 
もしかして、もう鍛錬はやめるとか…？"
MID_RELIANCE_A_#011,"[エーティエ] 
鍛錬は続けますわ。 
ただ、セリーヌの前ではやめようかと。"
MID_RELIANCE_A_#012,"[セリーヌ] 
ごめんなさい。 
わたしがうるさく気にしたせいね。"
MID_RELIANCE_A_#013,"[エーティエ] 
いえ、違いますわ。"
MID_RELIANCE_A_#014,"[エーティエ] 
鍛錬は大事ですが、 
セリーヌと過ごす時間はもっと大事ですから。"
MID_RELIANCE_A_#015,"[エーティエ] 
ゆったりとしたお茶の時間にまで、 
鍛錬をするのはやめようと思いましたの。"
MID_RELIANCE_A_#016,"[セリーヌ] 
エーティエ…"
MID_RELIANCE_A_#017,"[エーティエ] 
戦局は日に日に厳しくなってきております。"
MID_RELIANCE_A_#018,"[エーティエ] 
こうして二人でいられる時間だって、 
いつかは取れなくなってしまうかもしれません…"
MID_RELIANCE_A_#019,"[エーティエ] 
だから、セリーヌと一緒のときは、 
鍛錬のことを考えないようにしたいのです。"
MID_RELIANCE_A_#020,"[セリーヌ] 
…………"
MID_RELIANCE_A_#021,"[エーティエ] 
セリーヌ？"
MID_RELIANCE_A_#022,"[セリーヌ] 
…今の言葉、感激してしまったの。 
そんな風に思ってもらえていたなんて。"
MID_RELIANCE_A_#023,"[エーティエ] 
当然ですわ。セリーヌは… 
あなたはかけがえのない親友なんですから。"
MID_RELIANCE_A_#024,"[セリーヌ] 
わたしも同じ気持ちよ。 
エーティエ。"
MID_RELIANCE_A_#025,"[エーティエ] 
ありがとう。 
光栄ですわ…"
MID_RELIANCE_A_#026,"[セリーヌ] 
…あら？ 
また手が震えているけれど…"
MID_RELIANCE_A_#027,"[エーティエ] 
これは鍛錬ではありません。 
涙をこらえるのに必死で。"
MID_RELIANCE_A_#028,"[セリーヌ] 
エーティエったら… 
さ、ほら。こんな時ぐらいわたしに甘えて。"
MID_RELIANCE_A_#029,"[エーティエ] 
うぅっ…セリーヌ…"
MID_RELIANCE_A_#030,"[セリーヌ] 
うふふ。 
そんなに強く抱きしめないで。"
MID_RELIANCE_A_#031,"[セリーヌ] 
って… 
う…うぐっ…"
MID_RELIANCE_A_#032,"[セリーヌ] 
エーティエ…ちょっと力が… 
本当に苦しいわ…"
MID_RELIANCE_B_#001,"[エーティエ] 1 
[セリーヌ] 2 

[セリーヌ] 
今日も紅茶が美味しいわね。 
ひと息つけるこの時間が、わたしは好きよ。"
MID_RELIANCE_B_#002,"[エーティエ] 
あたくしもですわ。大変なことも多いですが、 
この時間があるから頑張れていますの。"
MID_RELIANCE_B_#003,"[セリーヌ] 
本当ね。"
MID_RELIANCE_B_#004,"[エーティエ] 
あたくしたちが、一緒にお茶をするようになったのは 
いつ頃からでしょうか。"
MID_RELIANCE_B_#005,"[セリーヌ] 
はっきりとは覚えていないわ。 
でも随分幼い頃から、既にこうしていたわね。"
