key,text
MID_RELIANCE_A_#001,"[エーティエ] 1 
[パネトネ] 2 

[エーティエ] 
ごきげんよう、パネトネさん。 
先日は奇襲をかけて申し訳ございませんでしたわ。"
MID_RELIANCE_A_#002,"[パネトネ] 
ああ、先日のあれ… 
びっくりしたでございますです。"
MID_RELIANCE_A_#003,"[エーティエ] 
あたくしがあんなことをしたのは、 
悪気があったからではございません。"
MID_RELIANCE_A_#004,"[エーティエ] 
あたくしは、あなたのニセ淑女を 
あぶり出したかったのです。"
MID_RELIANCE_A_#005,"[エーティエ] 
なぜなら… 
あたくしも同じようなものですので。"
MID_RELIANCE_A_#006,"[パネトネ] 
えっ！？ 
では、あなたも平民の生まれなのです？"
MID_RELIANCE_A_#007,"[パネトネ] 
昔は荒れていて家出を繰り返し、 
手が早く口が悪いでございますですの？"
MID_RELIANCE_A_#008,"[エーティエ] 
いえ、そうではないのですが… 
とりあえず、あたくしの腹筋を触ってみてくださいな。"
MID_RELIANCE_A_#009,"[パネトネ] 
わかりましたでございますです…"
MID_RELIANCE_A_#010,"[パネトネ] 
！？"
MID_RELIANCE_A_#011,"[パネトネ] 
ここ、これが腹筋！？ 
鉄の防具としか思えないほど硬いですが！？"
MID_RELIANCE_A_#012,"[エーティエ] 
ええ。バキバキに鍛えておりますの。 
世の中にこんな淑女がいますでしょうか？"
MID_RELIANCE_A_#013,"[パネトネ] 
恐らくいないと思いますです…"
MID_RELIANCE_A_#014,"[エーティエ] 
見た感じは淑女なのに、中身は淑女じゃないよね。 
そう言われた経験、あなたにもおありでしょうね。"
MID_RELIANCE_A_#015,"[パネトネ] 
は、はい。"
MID_RELIANCE_A_#016,"[エーティエ] 
やっぱり！"
MID_RELIANCE_A_#017,"[エーティエ] 
そんな人間は世界であたくしだけと思っていましたが、 
やっと仲間が見つかりましたわ。"
MID_RELIANCE_A_#018,"[エーティエ] 
これからはともに手を取り合って 
生きていこうではありませんか。"
MID_RELIANCE_A_#019,"[パネトネ] 
エーティエさん…"
MID_RELIANCE_A_#020,"[パネトネ] 
ふふ。最初は驚きましたですが、 
腕っぷしの強い者同士仲良くなれそうですます。"
MID_RELIANCE_A_#021,"[パネトネ] 
髪の色も似ていますし、 
通じるところがあるのかもですわ。"
MID_RELIANCE_A_#022,"[エーティエ] 
では、お近づきのしるしに、 
これをどうぞ。"
MID_RELIANCE_A_#023,"[パネトネ] 
まあ、綺麗なお花でございますですね。"
MID_RELIANCE_A_#024,"[エーティエ] 
あたくしの故郷の名産で、 
花言葉は「風変わりな淑女」と「通い合う心」…"
MID_RELIANCE_A_#025,"[エーティエ] 
変わった淑女どうし、親睦を深められたらと思って 
お持ちしました。"
MID_RELIANCE_A_#026,"[パネトネ] 
まさにわたくしたちのためにあるようなお花… 
感激でございますです…！"
MID_RELIANCE_A_#027,"[エーティエ] 
これからは骨太の淑女として 
互いに切磋琢磨してまいりましょうね。"
MID_RELIANCE_A_#028,"[パネトネ] 
はい、ぜひとも。"
MID_RELIANCE_B_#001,"[エーティエ] 1 
[パネトネ] 2 

[エーティエ] 
パネトネさん。 
悪く思わないでくださいませ…"
MID_RELIANCE_B_#002,"[エーティエ] 
はああっ！"
MID_RELIANCE_B_#003,"[パネトネ] 
…！？"
MID_RELIANCE_B_#004,"[パネトネ] 
だ、誰だ！？"
MID_RELIANCE_B_#005,"[パネトネ] 
どこのどいつか知らねえが、 
闇討ちとはいい度胸してるじゃねえか！"
MID_RELIANCE_B_#006,"[パネトネ] 
ぶちのめしてやるぜえっ！"
MID_RELIANCE_B_#007,"[エーティエ] 
ちょっとお待ちを！ 
あたくしです！"
MID_RELIANCE_B_#008,"[パネトネ] 
！？"
MID_RELIANCE_B_#009,"[パネトネ] 
エーティエ…"
MID_RELIANCE_B_#010,"[パネトネ] 
さん…？"
MID_RELIANCE_B_#011,"[エーティエ] 
うふふ。パネトネさん。 
今のがあなたの本当の姿ですわね。"
MID_RELIANCE_B_#012,"[パネトネ] 
い、いえ…それは…"
MID_RELIANCE_B_#013,"[エーティエ] 
否定しても無駄ですの。"
MID_RELIANCE_B_#014,"[エーティエ] 
あなたの普段の態度は見せかけ。 
その本質は今、見せていただいたような姿…"
MID_RELIANCE_B_#015,"[エーティエ] 
つまり、ニセ淑女ですわ。"
MID_RELIANCE_B_#016,"[パネトネ] 
ち、違うでございますです！ 
違うったら違うんですます！"
MID_RELIANCE_B_#017,"[エーティエ] 
そんなに取り乱さないでくださいませ。 
あたくしは、悪い意味で言っているのではありません。"
MID_RELIANCE_B_#018,"[パネトネ] 
へっ？ 
では、どういう…"
MID_RELIANCE_B_#019,"[エーティエ] 
詳しくは、また今度お話ししますわ。 
ごきげんよう。"
MID_RELIANCE_B_#020,"[パネトネ] 
ご、ごきげんよう…でございますです…"
MID_RELIANCE_C_#001,"[エーティエ] 1 
[パネトネ] 2 

[エーティエ] 
パネトネさん、ご機嫌いかがですか？"
MID_RELIANCE_C_#002,"[パネトネ] 
おかげさまで絶好調ですます。"
MID_RELIANCE_C_#003,"[パネトネ] 
エーティエさんこそ、 
ご機嫌うるわしゅうでございますですの。"
MID_RELIANCE_C_#004,"[エーティエ] 
ええ、どうも。"
MID_RELIANCE_C_#005,"[エーティエ] 
…………"
MID_RELIANCE_C_#006,"[エーティエ] 
じー…"
MID_RELIANCE_C_#007,"[パネトネ] 
…？ 
なんでございますですの？"
MID_RELIANCE_C_#008,"[エーティエ] 
あっ、失礼いたしました。 
あたくしとしたことが、品のない…"
MID_RELIANCE_C_#009,"[エーティエ] 
…ごほん。"
MID_RELIANCE_C_#010,"[エーティエ] 
パネトネさん。あなたは言葉遣いが丁寧で、 
身のこなしに気品がある淑女ですわね。"
MID_RELIANCE_C_#011,"[パネトネ] 
ありがとうございますですわ。 
お褒めに預かり光栄ですます。"
MID_RELIANCE_C_#012,"[エーティエ] 
ただ…"
MID_RELIANCE_C_#013,"[パネトネ] 
ただ？"
MID_RELIANCE_C_#014,"[エーティエ] 
何か隠していませんこと？"
MID_RELIANCE_C_#015,"[パネトネ] 
隠すって… 
何をでございますです？"
MID_RELIANCE_C_#016,"[エーティエ] 
あなたは淑女でありながら、淑女ではない… 
ニセ淑女の匂いがいたしますの。"
MID_RELIANCE_C_#017,"[パネトネ] 
ニセ淑女！？ 
そ、そんなことないですます！"
MID_RELIANCE_C_#018,"[エーティエ] 
認めたくないようですわね。 
いいでしょう。"
MID_RELIANCE_C_#019,"[エーティエ] 
正攻法では無理というなら、 
別の手を使うしかありませんわ。"
MID_RELIANCE_C_#020,"[エーティエ] 
本日はこれにて失礼。"
MID_RELIANCE_C_#021,"[パネトネ] 
いきなり、何なんですますの…"
